id;voucher_id;specimen_id;error_type_id;error_type_code;category_id;discussion_available;notes
40;B101127394;;4;3b;9;0;Unnötig lokalisiert, nicht nachvollziehbar, die Ausdehnung der Stadt (Port Elisabeth, heute Gqeberha) ist groß und welcher Wald gemeint ist, geht nicht aus dem Etikett hervor, Geolokation mit < 5 km Genauigkeit erklärt sich nicht, korrekt: „Beleg kann nicht lokalisiert werden“
41;B 10 1039751;;9;7;2;0;Region ist aktuell „FR-OCC Occitanie“
42;B 10 0611585;;1;1;0;0;
43;B101071444;;1;1;0;0;
44;B 10 1177104;;2;2;6;0;Bestimmer korrekt: „G. M. Schulze“ nicht „G. M. Schultze“
45;B 10 0677116;;1;1;0;0;
46;B 10 1180957;;1;1;0;0;
47;B100013051;;5;3c;9;0;Ungenau lokalisiert, 10 km von korrekt entfernt, Fundortbeschreibung nicht beachtet (Malabo-Cupapa, km 15-16 = Straße von M nach C, nach 15 - 16 km) , < 20 km wurde gewählt, obwohl korrekt möglich gewesen wäre, siehe Validierungsproblem 
48;B100013051;;11;8b;9;0;Vorrangfrage, erste Eingabe ungenau und validiert (trotz < 20 km Angabe), spätere Eingabe ist korrekt, viel präziser 
49;B 30 0311183;;1;1;0;0;
50;B 30 0313717;;2;2;7;0;Ortsname und Straßenbezeichung „Flesch“ fehlt (liegt oberhalb Goppisberg) und Höhenangabe „1848 m“ fehlt auch
51;B 30 0313387;;2;2;2;0;Region sollte „CH-VD Waadt(Vaud)“ sein, nicht „Jura“, Jura auf dem Etikett bezieht sich auf die Gebirgsregion, an der auch Waadt einen Anteil hat
52;B 30 0313387;;5;3c;9;0;Ungenau lokalisiert, Fundortbeschreibung nicht beachtet (Etikett: 60 km N von Genf), es wurden Koordinaten gewählt, die 33 km N von Genf liegen. Außerdem lassen sich Le Brassus und La Burtigniere (46.5608, 6.1715 OpenTopo) genau lokalisieren und liegen nur 3,9 km auseinander (11 km von den gewählten Koordinaten entfernt), „Ich bin mir nicht sicher“ wurde zwar gewählt, aber bewirkt nichts, Koord. liegen in der richtigen Region Vaud, allerdings wurde die falsche Region bestimmt, siehe Validierungsproblem
53;B 30 0313387;;10;8a;2;0;Widerspruch falsche Region, nicht korrekte Koordinaten, die jedoch in der richtigen Region liegen
54;B 10 0048876;;4;3b;9;0;Unnötig lokalisiert, mit Umkreisangabe < 20 km, Dean Channel ist der obere Teil eines langen Fjordes und ca. 105 km lang, korrekt: „Beleg kann nicht lokalisiert werden“, https://geonames.nrcan.gc.ca/search-place-names/unique?id=JAPER
55;B100351714;;1;1;0;0;
56;B 10 1180626;;1;1;0;1;
57;B 10 0677282;;13;10;8;1;Wiki-Sonderregel nicht beachtet: „A. Peter, Reisen in Afrika 1913/16.“ in die Kategorie „Herbar von“ eintragen, da die Angaben für aktuelle Forschungen hohe Wichtigkeit besitzen
58;B101033452;;1;1;0;0;
59;B 10 0544073;;13;10;8;0;Wiki-Sonderregel nicht beachtet: „A. Peter, Reisen in Afrika 1913/16.“ in die Kategorie „Herbar von“ eintragen, da die Angaben für aktuelle Forschungen hohe Wichtigkeit besitzen
60;B101001103;;1;1;0;0;
61;B 10 1026882;;1;1;0;1;
62;B101071273;;1;1;0;0;
63;B 10 1184301;;1;1;0;0;Hinweis: leicht verbesserte Koordinaten, sehr gut gemacht
64;B 30 0318109;;1;1;0;0;100-Jahr-Fehler, beim barcode Check korrekt, man hätte genauer lokalisieren können: https://de.wikipedia.org/wiki/Mittelbruch_(Berlin-Buch) - die ehemaligen Torfstiche stehen unter Naturschutz, die von Herbonauten gewählten Koordinaten liegen nur 2km entfernt, deshalb als korrekt akzeptiert
65;B 10 1181903;;13;10;9;1;Wiki: Die Übertragung von Koordinaten von Institutionen (z.B. botanische Gärten) und auch privaten Gärten ist explizit nicht vorgesehen.
66;B 30 0316260;;6;4;7;0;Etikettentitel „Flora Europaea“ im Fundort überflüssig, 100-Jahr-Fehler beim barcode Check korrekt (JACQ)
67;B101126746;;1;1;0;1;
68;B101023395;;2;2;4;0;Initiale fehlt: „M. Poilane“, wobei unklar ist, was das M. bedeutet, es könnte sich um Eugene Poilane selbst oder die Ehefrau Yvonne Poilane, abgekürzt mit M. (Madame) Poilane handeln, siehe: https://www.wikidata.org/wiki/Q107199110
69;B 30 0317306;;1;1;0;0;
70;B 10 1175118;;1;1;0;0;
71;B 10 1182306;;1;1;0;0;Höhenmeter hätten besser beachtet werden können bei der Geolokation, aber ist ziemlich korrekt
72;B 10 1186687;;1;1;0;0;Ungenauigkeit < 1 km finde ich etwas gewagt bei so wenigen Details zum Fundort, aber ok
73;B101123595;;5;3c;9;1;Ungenau lokalisiert, Genauigkeit 5 km stimmt nicht, denn die Koordinaten liegen über 10,5 km von Kowisberge entfernt, und der eigene Diskussionsbeitrag mit Hinweis auf die korrekten Koordinaten wurde nicht beachtet), korrekte Koordinaten: „-26.616667 , 15.316667“, siehe auch Validierungsproblem: „bin mir nicht sicher“ wurde eingegeben
74;B101123595;;11;8b;9;1;Vorrangfrage, erste Eingabe ungenau und validiert trotz „bin mir nicht sicher“ und späterer korrekter Eingabe (Kowisberge Südseite, Koordinaten aus Diskussion)
75;B 10 1022869;;13;10;8;1;Wiki: Institutionelles Herbar ist angegeben, Sammler/in ist angegeben/ nicht angegeben -> Kein Eintrag im Feld „Herbar von“ 
76;B 10 1023013;;1;1;0;0;
77;B 10 1180140;;1;1;0;0;Cortijo de San Jerónimo, Gegend bei Botanikern beliebt
78;B101126024;;4;3b;9;1;Unnötig lokalisiert, auch mit Diskussion und Verlinkung auf den zweiten Beleg (selber Sammler, Datum) ist nicht klar, wie die unauffindbare Farm lokalisiert wurde, korrekt: „Beleg kann nicht lokalisiert werden“
79;B101200724;;1;1;0;0;
80;B101223153;;1;1;0;0;
81;B 30 0317835;;1;1;0;0;100-Jahr-Fehler (hier 200 Jahre!), beim barcode Check korrekt
82;B101125012;;2;2;5;1;Herbarnummer als Sammelnummer eingetragen
83;B 10 1175647;;1;1;0;0;„Herb. Ind. Or. Hook. fil. & Thomson.“ ist hier so etwas wie der Etikettenname (bspw. „Flora of India“) und „Ind. Or.“ ist nur leicht überflüssig im Fundort, da Indien klar ist, aber egal
84;B101199008;;7;5;3;1;Unentscheidbar, Etikett unten abgeschnitten und zwei Daten zu sehen, 26.9.(1910 oder 1918) und 30.03.05, M. de Vilmorin lebte bis 1918, nicht eindeutig, sollte in die Diskussion einfließen
85;B101122239;;1;1;0;0;Hinweise: d.d. = de dato = vom Datum = Sammeldatum, no. Cit.: numerus citatus = Sammelnummer
86;B 10 0299486;;1;1;0;0;
87;B 10 1177039;;2;2;2;0;Region sollte „CM-SW Sud-Ouest“  sein, nicht „Sud“
88;B 10 1177039;;10;8a;2;0;Widerspruch falsche Region, korrekte Koordinaten
89;B 10 1176059;;1;1;0;0;
90;B 10 1026762;;1;1;0;0;
91;B100740367;;1;1;0;1;
92;B100606260;;1;1;0;0;
93;B101071055;;1;1;0;0;
94;B 30 0319698;;8;6;7;0;Tippfehler im Ortsname von Frahm übernommen, außerdem Tippfehler in Höhenangabe: „15 me“ statt „15m“
95;B 30 0319698;;9;7;2;0;Region ist aktuell „TR-48 Muğla“
96;B 30 0319698;;11;8b;7;0;Vorrangfrage, die ersten beiden Eingaben sind fehlerhaft, die erste wurde validiert, die dritte Eingabe ist korrekt
97;B 10 0652779;;1;1;0;1;Ngambo ist ein Hügel/Berg in den Ost-Usambara-Bergen: https://peakvisor.com/peak/ngambo.html?yaw=0.00&pitch=0.00&hfov=60.00 ca. 6km von den Koordinaten der Herbonauten entfernt, die laut Diskussion auf eine Wetterstation weisen, die evtl. auch gemeint sein kann (Ngambo Fabrik)
98;B 10 1175097;;1;1;0;0;
99;B 10 1181192;;1;1;0;0;
100;B 10 9008122;;9;7;1;1;Land heißt jetzt korrekt „MK Nordmazedonien“ (Namensänderung in Kraft seit Februar 2019)
101;B 10 1178485;;1;1;0;0;
102;B 10 1039218;;1;1;0;0;
103;B 10 1176340;;2;2;5;0;MTB (Meßtischblatt-Nr.) als Sammelnummer eingetragen, korrekte Sammelnummer evtl. ganz oben rechts auf dem Blatt notiert („1582“), aber unsicher
104;B101028091;;1;1;0;1;
105;B101129715;;1;1;0;1;bin zwar unsicher, aber bessere Lösung eher unmöglich bzgl. Geolok.
106;B 10 1026269;;1;1;0;0;
107;B 10 1176614;;1;1;0;0;
108;B 30 0310329;;9;7;2;0;Region ist aktuell „FR-BFC Bourgogne-Franche-Comté“
109;B 10 0544037;;1;1;0;0;
110;B 30 0319011;;1;1;0;0;
111;B101213758;;1;1;0;0;
112;B 30 0314424;;1;1;0;0;
113;B101125171;;1;1;0;0;
114;B 10 1183132;;1;1;0;0;Umkreis nicht übernommen, Informationsverlust.
115;B101123239;;1;1;0;0;
116;B 10 1040143;;1;1;0;0;
117;B 30 0316132;;1;1;0;0;Hinweis: Geolokation auf 500m genau, Giselapromenade (bis 1918 so genannt) verläuft vor dem Kurhaus auf der anderen Flussseite, siehe: https://www.postcard-shop.de/meran-giselapromenade?a=2695886 und https://www.merano-suedtirol.it/en/merano/active-relaxing/walking-hiking/sissi-s-path.html 
118;B101123600;;1;1;0;0;
119;B101097177;;1;1;0;0;korrekt, aber die Koordinaten von IKO wären besser gewesen
120;B101122648;;1;1;0;0;
121;B 10 1182762;;7;5;6;1;Unentscheidbar, Leitfadenlücke, „Anonymous (Staff B)“ als Bestimmer, siehe Diskussion der Herbonauten, im Wiki findet sich keine Angabe zu dieser Frage und die übliche Praxis scheint eher zu sein, dass „keine Information“ ausgewählt wird
122;B101072429;;1;1;0;0;
123;B101126827;;2;2;2;0;Region sollte „MG-13 Diana“ sein, ist leer, Region wurde von 1 Person korrekt abgeleitet, obwohl 2 Personen Geokoordinaten eingegeben haben, hätte also auch von der 2. Person abgeleitet werden können
124;B101122229;;1;1;0;0;
125;B 10 0761465;;9;7;2;0;Region ist aktuell „IT-42 Liguria“
126;B100313046;;1;1;0;1;
127;B 30 0318860;;9;7;2;0;Region ist aktuell „FR-BFC Bourgogne-Franche-Comté“
128;B 10 0013588;;1;1;0;1;
129;B101200690;;1;1;0;1;es wäre schön, wenn der lokalisierte Ort bei Geolokalisierung mit angegeben worden wäre
130;B101072726;;1;1;0;0;
131;B 10 1021351;;13;10;6;0;Wiki: Ergänzungen, wie z.B. den kompletten Namen tragen Sie bitte NICHT in eckigen Klammern in das Feld, sondern nur in den Diskussionen ein
132;B 10 0677313;;8;6;7;0;Tippfehler: „V.1 Z.3“ statt „V.2 Z.3“, Artikel falsch übertragen: „der“ statt „das“ Luengeratal
133;B 10 0677313;;11;8b;7;0;Mehrheitsproblem vs. Ersteingabe, die erste Eingabe war korrekt, die beiden späteren Eingaben fehlerhaft (2 Fehler), aber in der Mehrheit und validiert
134;B 10 1186705;;1;1;0;0;
135;B 30 0316389;;1;1;0;0;100-Jahr-Fehler, beim barcode Check korrekt (JACQ), Region nicht eindeutig, laut Wiki dann „keine Information“, aber durch „ich bin mir nicht sicher“ und weil es 2 Leute gewählt haben, ist es richtig. Hier zeigt sich jedoch das Problem, dass in der validierten Form „guessed“, „not sure“ und „no information“ auf false stehen, da es nur von einer Person benutzt wurde und nicht von beiden. Diese Unsicherheitsinformationen gehen also verloren.
136;B 10 1022769;;1;1;0;0;
137;B 10 1182100;;13;10;8;0;Wiki: Institutionelles Herbar ist angegeben, Sammler/in ist angegeben/ nicht angegeben -> Kein Eintrag im Feld „Herbar von“
138;B 10 1182100;;5;3c;9;0;Ungenau lokalisiert, 10 km von korrekt entfernt, Fundortbeschreibung nicht beachtet, Himmelsrichtungsangabe auf dem Etikett (NNE) nicht beachtet, es wurden Koordinaten gewählt, die NNW von Penge liegen und angeblich unter 1km Genauigkeit haben. Korrekte Koordinaten der Gibraltar-Farm NNE von Penge: „-24.27135, 30.33763“ (geonames), zweite Eingabe korrekt, Validierungsproblem 
139;B 10 1182100;;11;8b;9;0;Vorrangfrage, erste Eingabe ungenau und validiert, zweite Eingabe ist korrekter (entsprechend Himmelsrichtung und km-Angabe auf Etikett)
140;B101072643;;13;10;4;1;Wiki: Ergänzungen, wie z.B. den kompletten Namen tragen Sie bitte NICHT in eckigen Klammern in das Feld, sondern nur in den Diskussionen ein
141;B 30 0314975;;9;7;2;0;Region ist aktuell „FR-BFC Bourgogne-Franche-Comté“
142;B101031667;;1;1;0;0;
143;B 10 1178139;;1;1;0;0;
144;B101097288;;4;3b;9;1;Unnötig lokalisiert, < 20 km wurde gewählt, sehr schwierig hier Land/Koordinaten festzustellen, da die Orte nicht oder nur unsicher gefunden werden, Uneinigkeit auch bei den Herbonauten. Diskussionshinweise vorhanden, Verweis auf andere Sammelnummber (208)  bezüglich Fundort/Standort, diese wäre hilfreich anzusehen, allerdings nicht auffindbar. Aus der Diskussion bin ich auf einen anderen Beleg gestoßen (Sammelnur. 222), der ähnlich ist und bei Fundort/Standort auf Sammelnr. 216 verweist. Zusätzlich gib es von 222 sogar 2 Fotos und auf beiden Fotos steht oben links mit Bleistift ein anderes Land: Tansania, Uganda. Wie kann ich hier wissen, was stimmt? Gibt es Sammelnr. 208 und 216 eventuell irgendwo zum Vergleichen? Beleg in JACQ macht zumindest Land/Region wahrscheinlicher  https://www.jacq.org/detail.php?ID=1192376
145;B101199434;;1;1;0;0;
146;B100429192;;1;1;0;0;
147;B 10 1022648;;1;1;0;0;
148;B101073094;;1;1;0;0;
149;B 10 1065387;;1;1;0;0;
150;B 10 1180619;;1;1;0;0;Hätte sehr genau lokalisiert werden können, da das alte Tauernhaus nur wenige Meter von der Hagener Hütte entfernt liegt, aber ist auf jeden Fall gut genug so. 47.02754150673747, 13.089433689707741
151;B 10 1062880;;1;1;0;0;
152;B 30 0316920;;2;2;7;0;Es fehlen so gut wie alle Informationen aus der Fundortbeschreibung.
153;B 30 0316920;;11;8b;7;0;Vorrangfrage, erste Eingabe inkorrekt und validiert, zweite Eingabe ist korrekt
154;B100013173;;2;2;3;0;Monat wurde falsch eingetragen – korrekt ist: 7. Dezember 1991
155;B100013173;;9;7;2;0;Region ist aktuell „MG-6 Anosy“
156;B 30 0318905;;9;7;2;0;Region ist aktuell „FR-GES Grand Est“
157;B101126648;;1;1;0;0;
158;B 10 1184532;;1;1;0;0;
159;B 10 1028688;;9;7;2;0;Region ist aktuell „GR-L Südliche Ägäis (Nótio Aigaío)“
160;B 30 0319419;;1;1;0;0;
161;B 30 0316605;;13;10;7;0;Wiki: Habitatsbeschreibungen gehören mit in den Fundort. Habitatangabe unvollständig: Es wurde nur „Weide südl. T.“ übernommen, die Information, dass es eine Festuca rubra Weide ist, fehlt.
162;B101023344;;1;1;0;0;
163;B101128752;;1;1;0;0;
164;B 10 0058831;;1;1;0;0;
165;B 10 1176370;;1;1;0;0;
166;B 10 0643077;;1;1;0;0;
167;B 10 0069652;;1;1;0;0;
168;B 10 1183066;;1;1;0;0;
169;B 10 1180609;;1;1;0;0;
170;B101213320;;13;10;4;1;Wiki: Ergänzungen, wie z.B. den kompletten Namen tragen Sie bitte NICHT in eckigen Klammern in das Feld, sondern nur in den Diskussionen ein 
171;B101200834;;1;1;0;0;
172;B 30 0317159;;1;1;0;0;
173;B 10 0677225;;13;10;8;0;Wiki-Sonderregel nicht beachtet: „A. Peter, Reisen in Afrika 1913/16.“ in die Kategorie „Herbar von“ eintragen, da die Angaben für aktuelle Forschungen hohe Wichtigkeit besitzen
174;B 10 0559369;;13;10;9;1;Wiki: Die Übertragung von Koordinaten von Institutionen (z.B. botanische Gärten) und auch privaten Gärten ist explizit nicht vorgesehen.
175;B 10 1178494;;1;1;0;1;Diskussion gibt Aufschluss über die Probleme der Lokalisierung/Region
176;B 30 0316088;;1;1;0;0;
177;B 10 1183062;;1;1;0;1;
178;B 30 0311429;;6;4;7;0;Landesname im Fundort überflüssig
179;B 30 0311429;;8;6;7;0;Tippfehler: „dystroh“ statt „dystroph“ übertragen
180;B 30 0311429;;9;7;2;0;Region ist aktuell „NO-34 Innlandet“ sein
181;B 30 0311429;;11;8b;7;0;Vorrangfrage, erste Eingabe inkorrekt und validiert, zweite Eingabe ist korrekt
182;B 10 1039482;;1;1;0;0;
183;B101024509;;2;2;4;1;Sammler nicht eingetragen, trotz Diskussionshinweis auf den korrekten Sammler
184;B101024509;;2;2;7;1;Es haben mehrere Herbonauten „hort“ als Fundort eingetragen, wobei es wahrscheinlich eher ein Hinweis auf eine kultivierte Pflanze ist (Herkunft ist Ost-Kanada und Ost-USA)
185;B 10 1040188;;1;1;0;1;
186;B 10 1161246;;1;1;0;1;
187;B101125242;;1;1;0;0;
188;B 30 0316332;;1;1;0;0;
189;B 30 0317190;;1;1;0;0;
190;B101126490;;1;1;0;0;
191;B101212066;;1;1;0;0;
192;B 10 0647754;;1;1;0;1;
193;B101123754;;1;1;0;0;
194;B 10 1025743;;7;5;2;1;Unentscheidbar, da sehr schwierig, fast unmöglich, die richtige Region herauszufinden, ebenso für die Herbonauten, siehe auch Diskussion dazu
195;B 10 0761461;;13;10;9;0;Wiki: Die Übertragung von Koordinaten von Institutionen (z.B. botanische Gärten) und auch privaten Gärten ist explizit nicht vorgesehen.
196;B101212777;;1;1;0;1;
197;B 10 1064818;;1;1;0;1;
198;B 10 1008266;;1;1;0;0;
199;B 30 0316925;;1;1;0;0;Akzente in der Fundortbeschreibung fehlen, aber ohne große Auswirkungen
200;B 30 0319800;;9;7;2;0;Region ist aktuell „FR-GES Grand Est“
201;B101179016;;1;1;0;1;guter Hinweis in Diskussion: der Beleg ist in der falschen Mission
202;B 30 0313468;;5;3c;9;0;Ungünstig lokalisiert, dadurch Konflikt mit Region, „Ich bin mir nicht sicher“ wurde gewählt, aber die gewählten Koordinaten liegen nicht in der Steiermark, sondern der Region Salzburg. Da der Lasaberg an der Grenze zur Steiermark liegt und die Salzwiesen in der Steiermark, wäre eine korrekte Setzung der Koordinaten möglich gewesen, siehe Validierungsproblem
203;B 30 0313468;;10;8a;9;0;Widerspruch falsche Koordinaten, korrekte Region
204;B 10 1027672;;13;10;4;0;Wiki: Ergänzungen, wie z.B. den kompletten Namen tragen Sie bitte NICHT in eckigen Klammern in das Feld, sondern nur in den Diskussionen ein, Beleg als Beispiel für Fehleranalyse (10/4): der Sammler Bothe ist sehr wahrscheinlich richtig abgeleitet, aber es fehlt eine Erklärung in der Diskussion, auf Etikett nichts angegeben, (über JACQ ist er zu finden und die Etiketten sind in der Tat immer sehr ähnlich, auch in der Liste der Unterschriften von Sammlern findet man Bothe)
205;B101072616;;1;1;0;1;
206;B 10 0544055;;1;1;0;0;
207;B 10 1021276;;1;1;0;0;
208;B 10 1178145;;9;7;2;0;Region ist aktuell „GR-C Westmakedonien (Dytikí Makedonía)“
209;B 10 1178145;;13;10;4;0;Wiki: Ergänzungen, wie z.B. den kompletten Namen tragen Sie bitte NICHT in eckigen Klammern in das Feld, sondern nur in den Diskussionen ein 
210;B 10 1025891;;1;1;0;0;
211;B101129485;;1;1;0;0;
212;B 10 1181000;;9;7;2;0;Region ist aktuell „GR-B Zentralmakedonien (Kentrikí Makedonía)“, Etikett: „Nom.Serres“ sollte dann mit in die Fundortbeschreibung
213;B 10 1028220;;2;2;3;0;Jahr wurde falsch erkannt, korrekt: 1907, es gibt mehrere Belege, mit Etiketten gleicher Art, auf denen 1907 als Sammeljahr identifiziert wurde: https://www.jacq.org/detail.php?ID=1880729, https://www.jacq.org/detail.php?ID=1652942, https://science.mnhn.fr/institution/mnhn/collection/p/item/p04381352
214;B 10 1028220;;9;7;2;0;Region ist aktuell „FR-OCC Occitanie“
215;B 10 1180171;;1;1;0;0;
216;B 30 0316387;;8;6;7;0;Tippfehler: „Laandkreis“ statt „Landkreis“ und „simpfig“ statt „sumpfig“
217;B 30 0316387;;11;8b;7;0;Erste und einzige Eingabe fehlerhaft (mit 2 Schreibfehlern) wird validiert
218;B101028708;;1;1;0;0;
219;B 10 1177255;;3;3a;9;1;Falsch lokalisiert, siehe Diskussion, nur 1 Herbonaut begründet seine Geolokation in der Diskussion ausführlich, 2 mal wurden über 100 km entfernte Koordinaten gewählt und validiert, keine Begründung, keine Nachvollziehbarkeit. Da der Berg nicht auffindbar ist wäre auch „Der Beleg konnte nicht lokalisiert werden“ richtig oder zumindest eine ausführliche Begründung wie bei dem in der Diskussion erwähnten Beleg (B 10 1177254)
220;B 10 0582316;;1;1;0;1;
221;B101212523;;13;10;6;0;Wiki: Ergänzungen, wie z.B. den kompletten Namen tragen Sie bitte NICHT in eckigen Klammern in das Feld, sondern nur in den Diskussionen ein 
222;B 10 1179777;;1;1;0;0;
223;B 10 1028402;;13;10;7;0;Wiki: Habitatsbeschreibungen gehören mit in den Fundort. Hier fehlt fast die komplette Habitatsbeschreibung: „NW-exponierte steile Kalkfelsen mit ruhenden Grobschotternischen mit Quercus coccifera und Phlomis.“
224;B 10 1028402;;3;3a;9;0;Falsch lokalisiert, Fundortbeschreibung nicht beachtet, statt 16 km westlich und bei Balandiz wurden Koordinaten 27 km nördlich von Silifke gewählt, dadurch 33 km von korrekt entfernt, 2 mal falsch, 1 Herbonaut richtig, korrekte Koordinaten: „36.35 , 33.73“
225;B101125354;;1;1;0;0;richtig nach Etikett: Landolphia watsoniana Romburgh (korrekt) – nach IPNI und GBIF Landolphia watsoniana Rombouts – Fehler bei IPNI/GBIF, sollte gemeldet werden, festgestellt bei Recherche mit Dominik und Specht
226;B 30 0314173;;13;10;7;0;Wiki: Habitatsbeschreibungen gehören mit in den Fundort. Teil der Fundortbeschreibung „Rand der Levada“ und Höhenangabe „900 m“ fehlen
227;B 30 0314173;;11;8b;7;0;Vorrangfrage, erste Eingabe inkorrekt und validiert, zweite Eingabe ist korrekt
228;B 10 1027538;;1;1;0;0;
229;B 10 1040780;;2;2;4;0;Sammlername korrekt: „Orvar Isberg“, nicht „Arvar Isberg“, siehe auch:  https://herbonauten.bgbm.org/herbonautenwiki/uploads/herbonautenwiki/1/14/Sammler_Signaturen_GEP.pdf
230;B 10 1065300;;1;1;0;0;
231;B 30 0314008;;2;2;4;0;Sammlername korrekt: „Baumgartner“, nicht „Baumgärtner“, 100-Jahr-Fehler beim barcode Check korrekt
232;B 10 1064620;;1;1;0;0;
233;B100047297;;1;1;0;0;
234;B 10 1021323;;8;6;7;0;Tippfehler: „Sanstone“ statt „Sandstone“
235;B 10 1021323;;13;10;7;0;Wiki: Habitatsbeschreibungen gehören mit in den Fundort. Der Teil „in partially shaded crevices of outcrops“ fehlt
236;B 30 0312373;;8;6;7;0;Tippfehler im Ortsname: „Walaschisch“ statt „Walachisch“
237;B 30 0312373;;13;10;4;0;Wiki: Namenszusätze, Titel oder andere ergänzende Angaben werden in der Regel nicht zum Namen notiert (Prof. = Amtsbezeichnung), 100-Jahr-Fehler bei Barcode Check richtig
238;B 30 0312373;;11;8b;7;0;Vorrangfrage, erste Eingabe inkorrekt und validiert, zweite Eingabe ist korrekt
239;B101096264;;1;1;0;0;
240;B 10 1178792;;2;2;2;0;Region sollte „BG-23 Sofia(София)“ sein, nicht „BG-13 Pazardzhik(Пазарджик)“
241;B 10 1178792;;10;8a;2;0;Widerspruch falsche Region, korrekte Koordinaten
242;B 30 0318935;;1;1;0;0;
243;B100259747;;1;1;0;0;
244;B 10 1180162;;1;1;0;0;
245;B 30 0316170;;9;7;2;0;Region ist aktuell „GR-M Kreta (Kríti)“
246;B 30 0311467;;3;3a;9;0;Falsch lokalisiert. Trogalm in Kärnten statt in Salzburg wurde lokalisiert, zwischen den falschen und richtigen Koordinaten liegen über 60km Luftlinie, korrekt: „47.12321, 13.65072“, Validierungsproblem zw. korrekter Region und Koordinaten
247;B 30 0311467;;10;8a;9;0;Widerspruch falsche Koordinaten, korrekte Region
248;B 30 0312024;;1;1;0;0;
249;B101123647;;1;1;0;0;
250;B 10 1026131;;1;1;0;1;
251;B 10 1027349;;1;1;0;1;
252;B 30 0312952;;9;7;2;0;Region ist aktuell „FR-NAQ Nouvelle-Aquitaine“
253;B 30 0311889;;13;10;7;0;Wiki: Habitatsbeschreibungen gehören mit in den Fundort. Habitat „an Küstenfelsen“ fehlt
254;B 30 0311889;;11;8b;7;0;Vorrangfrage, die ersten beiden Eingaben fehlerhaft (Habitat fehlt) und validiert, spätere Eingabe korrekt (Habitat vorhanden)
