specimen - institute;specimen - collection;specimen - code;mission - id;mission - originalID;specimen - family;specimen - genus;specimen - specific_epithet;unusable - cause;country - country;country - growned_plant;country - guessed;country - not_sure;country - no_info;region1 - region;region1 - guessed;region1 - not_sure;region1 - no_info;collect_date - collect_date;collect_date - not_sure;collect_date - no_info;region2 - region;region2 - guessed;region2 - not_sure;region2 - no_info;onecollector - collector;onecollector - not_sure;onecollector - no_info;collector - collector;collector - other_collectors;collector - not_sure;collector - no_info;collect_number - ;collect_number - no_info;identifier - identifier;identifier - not_sure;identifier - no_info;locality - locality;locality - not_sure;locality - no_info;geo - position;geo - description;geo - not_sure;geo - no_info;scientific_name - same_as_label;scientific_name - scientific_name;scientific_name - not_in_list;scientific_name - family;scientific_name - genus;scientific_name - epiteth;owner - question_1;owner - no_info
B;Herbarium Berolinense;B 10 1026620;5;6784786;Cupressaceae;Juniperus;foetidissima;;Georgien;False;;;;Mtskheta-Mtianeti;;;;07/07/1971 - 07/07/1971;False;False;;;;;Ch. Beck;;False;;;;;;True;;;True;Kaukasus: Mzcheta bei Tiblissi, trockene Bergsteppe bei Narsani.;False;;41.827 , 44.696;;;False;;;;;;;;
B;Herbarium Berolinense;B 10 1026683;5;6784786;Cupressaceae;Juniperus;lucayana;;Jamaika;False;;;;Saint Andrew;;;False;27/01/1888 - 27/01/1888;False;False;;;;;Eggers;;False;;;;;3586;False;R. P. Adams;;False;ad Flamstead. 4500', 50' alt. v. Cedar;False;;18.0161201050088 , -76.68751001358034;;;;;;;;;;;
B;Herbarium Berolinense;B 10 1026669;5;6784786;Cupressaceae;Juniperus;horizontalis;;Vereinigte Staaten von Amerika;False;;;;Maine;;;;29/08/1921 - 29/08/1921;False;False;;;;;J. R. Churchill;;False;;;;;;True;;;True;Monhegan Island, Lincoln County;False;;43.76526615 , -69.31337493573194;;;False;;;;;;;;
B;Herbarium Berolinense;B 10 1026668;5;6784786;Cupressaceae;Juniperus;horizontalis;;Kanada;False;;;;British Columbia / Colombie Britanique;;;;30/05/1960 - 30/05/1960;False;False;;;;;J. A. Calder, J. M. Gillett;;False;;;;;24788;False;;;True;"Just south-west of Good Hope Lake, Mile 66 Cassiar Road; alt. 3000 ft.";False;;59.27884760849792 , -129.33362960815433;;;False;;;;;;;;
B;Herbarium Berolinense;B 10 0602813;5;6784786;Cupressaceae;Juniperus;horizontalis;;Kanada;False;;;;Ontario;;;;07/09/1962 - 07/09/1962;False;False;;;;;W. J. Cody, and L. Sherk;;False;;;;;12396;False;;;True;Bruce County, Red Bay, Habitat: clearing on limestone pavement, back of beach.;False;;44.79962156060848 , -81.28728389739992;;;False;;;;;;;;
B;Herbarium Berolinense;B 10 1026686;5;6784786;Cupressaceae;Juniperus;macrocarpa;;Griechenland;;;;False;Heraklion(Νομός Ηρακλείου);;;False;01/04/1980 - 30/04/1980;;;;;;;Jennifer M. Shay;;;;;;;12;;;;True;"Kreta, Eparchie Pirjiotissi: archäologisches Ausgrabungsgebiet ""Kommos""";;False;35.01269199902962 , 24.760555028915405;;;;;;;;;;;
B;Herbarium Berolinense;B 10 1026743;5;6784786;Cupressaceae;Juniperus;oophora;;Spanien;False;;;;Islas Baleares;;;False;01/11/1910 - 30/11/1910;;;;;;;Bianor;;;;;;;;True;;;True;Sóller  - Coteaux Puerto;;False;39.77081138203805 , 2.7191162109375;;;;;;;;;;;
B;Herbarium Berolinense;B 10 1026737;5;6784786;Cupressaceae;Juniperus;oblonga;;Armenien;;;;False;Syunik(Սյունիք);;;False;26/07/1975 - 26/07/1975;False;False;;;;;V. Vašák;;False;;;;;;True;;;True;Caucasus: montes 'Karabakhskoie nagorje', loco Sundara dicto, ad septentrionem versus ab oppido Goris, Alt. 1700 m s. m.;False;;39.5104569 , 46.3404961;;;;;;;;;;;
B;Herbarium Berolinense;B 10 1026732;5;6784786;Cupressaceae;Juniperus;oblonga;;Armenien;False;;;;Tavush(Տավուշ);;;;05/10/1974 - 05/10/1974;False;False;;;;;V. Vašák;;False;;;;;;True;;;True;Caucasus, montes Pambakski khrebet, distr. Dilishan, situ septentrionali a monasterio Agarcin [Haghartsin]. Alt. 1650-1750 m s. m.;False;;40.80555044887638 , 44.88795518831467;;;False;;;;;;;;
B;Herbarium Berolinense;B 10 1026730;5;6784786;Cupressaceae;Juniperus;oblonga;;Armenien;False;;;;Tavush(Տավուշ);;;;02/10/1974 - 02/10/1974;False;False;;;;;V. Vašak;;False;;;;;;True;;;True;Caucasus: distr. Dilishan, montes Gugarac, inter oppidium Dilishan et vicum Shamakhyan. Alt. 1200-1300 m.s.m.;False;;40.74977606207408 , 44.84284400939942;;;False;;;;;;;;
B;Herbarium Berolinense;B 10 1026726;5;6784786;Cupressaceae;Juniperus;oblonga;;Armenien;;;;False;Aragatsotn(Արագածոտն);;;False;23/07/1975 - 23/07/1975;;;;;;;V. Vašák;;;;;;;;True;;;True;Caucasus: in declivibus montis Aragac, apud ruinas Amberd. Alt. 2100-2300 m s. m.;;False;40.332 , 44.265;;;;;;;;;;;
B;Herbarium Berolinense;B 10 1026756;5;6784786;Cupressaceae;Juniperus;oxycedrus;;Kroatien;False;;;;Primorsko-Goranska;;;;29/04/1903 - 29/04/1903;False;False;;;;;C. Baenitz;;False;;;;;;True;;;True;"Lussin [Lošinj]; auf Mt. Cornu.";False;;44.47986547150658 , 14.525959101459206;;;False;;;;;;;;
B;Herbarium Berolinense;B 10 1026755;5;6784786;Cupressaceae;Juniperus;oxycedrus;;Kroatien;;;;False;Istarska;;;False;18/05/1903 - 18/05/1903;;;;;;;C. Baenitz;;;;;;;;True;;;True;"Pola; auf Brioni grande. 5 m. Heimisch in Südeuropa.";;False;44.90914343490729 , 13.76089096069336;;;;;;;;;;;
B;Herbarium Berolinense;B 10 1026771;5;6784786;Cupressaceae;Juniperus;oxycedrus;;Italien;;;;False;Perugia;;;False;08/10/1999 - 08/10/1999;;;;;;;Dürbye/ Weber/ Meyer;;;;;;;1037;;Th. Raus;;;Umbrien, zw. Foligno u. Spoleto, Schotterpiste zum Monte Santo, 800-1300 m;False;;42.94545995175988 , 12.84031391143799;;;;;;;;;;;
B;Herbarium Berolinense;B 10 0271520;5;6784786;Cupressaceae;Juniperus;oxycedrus;;Italien;False;;;;Cagliari;;;False;02/04/1985 - 02/04/1985;;;;;;;Kilian;;;;;;;272;;;;True;Barbagia, am Paß zw. R[io]. Flumendosa u. Rio Nuletta (vor Abzweig nach Esterzili) neben N 198, Macchie.;False;False;39.78572598217756 , 9.256236192353363;;;;;;;;;;;
B;Herbarium Berolinense;B 10 1026770;5;6784786;Cupressaceae;Juniperus;oxycedrus;;Italien;False;;;;Foggia;;;;01/05/1970 - 30/05/1970;False;False;;;;;;;True;;;;;;True;;;True;Puglia/ Foggia/ Promontorio del Gargano, Siponto;False;;41.60427222222222 , 15.89068611111111;;;False;;;;;;;;
B;Herbarium Berolinense;B 10 1026769;5;6784786;Cupressaceae;Juniperus;oxycedrus;;Italien;False;;;;Foggia;;;;01/05/1970 - 31/05/1970;True;False;;;;;W. Schwabe;;False;;;;;;True;;;True;Puglia, Promontorio del Gargano, Siponto;;False;41.62853140372287 , 15.871467590332033;;;;;;;;;;;
B;Herbarium Berolinense;B 10 1026157;5;6784786;Cupressaceae;Juniperus;communis;;Griechenland;;;;False;Florina(Νομός Φλώρινας);;;False;11/05/2004 - 11/05/2004;;;;;;;R. & E. Willing;;;;;;;126.927;;;;True;SW Karie. Feuchtwiese, krautiger Hang mit Laubgebüsch, 870 m. Flo 143;;False;40.74166666666667 , 21.13138888888889;;;;;;;;;;;
B;Herbarium Berolinense;B 10 0265954;5;6784786;Cupressaceae;Juniperus;communis;;Griechenland;;;;False;Ioannina(Νομός Ιωαννίνων);;;False;10/05/2005 - 10/05/2005;;;;;;;R. & E. Willing;;;;;;;134.929;;;;True;"GR, Ioannina, O Dhrosochori,; Kiefern-Wacholderwald, Krautfluren, 930 m; Ioa 830";;False;39.63388888888889 , 20.993055555555557;;;False;;;;;;;;
B;Herbarium Berolinense;B 10 1026182;5;6784786;Cupressaceae;Juniperus;communis;"""Zu viele Belege""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B;Herbarium Berolinense;B 10 1026187;5;6784786;Cupressaceae;Juniperus;communis;;Italien;;;;False;Bolzano;;;False;21/07/1913 - 21/07/1913;;;;;;;O. Fiedler;;;;;;;381;;;;True;Martell unter der Zufallhütte;;False;46.48134024430137 , 10.680663585662844;;;;;;;;;;;
B;Herbarium Berolinense;B 10 1026201;5;6784786;Cupressaceae;Juniperus;communis;;Chile;False;;;;Magallanes y de La Antártica Chilena;;;;;;True;;;;;F. H.;;False;;;;;24;False;;;True;Punta Arenas;False;;-53.14140980422414 , -70.89845538139345;;;False;;;;;;;;
B;Herbarium Berolinense;B 10 1026217;5;6784786;Cupressaceae;Juniperus;communis subsp. alpina;;Deutschland;True;;;;Sachsen-Anhalt;;;;09/09/1919 - 09/09/1919;False;False;;;;;J. Bornmüller;;False;;;;;;True;;;True;Zöschen. cult.;False;;51.353644450000004 , 12.112781854842321;;;False;;;;;;;;
B;Herbarium Berolinense;B 10 1025874;5;6784786;Cupressaceae;Cupressus;sargentii;;Vereinigte Staaten von Amerika;;;;False;California;;;False;01/05/1936 - 31/05/1936;;;;;;;Henry M. Pollard;;;;;;;;True;A. Farjon;;;Mt. Tamalpais, Marin County.;;False;37.92574433353095 , -122.59014723647331;;;;;;;;;;;
B;Herbarium Berolinense;B 10 1025875;5;6784786;Cupressaceae;Cupressus;sargentii;;Vereinigte Staaten von Amerika;False;;;;California;;;;18/04/1984 - 18/04/1984;False;False;;;;;F. H. Utech, Walter and Irja Knight;;False;;;;;84-166;False;;;True;Sonoma County: 0,2 mi W on Harrison Grade Road from junction with Stoetz Lane. Elev: 480 ft.;False;;38.4184939197141 , -122.93555259704591;;;False;;;;;;;;
B;Herbarium Berolinense;B 10 1025873;5;6784786;Cupressaceae;Cupressus;pseudohimalaica;;Frankreich;True;;;;Provence-Alpes-Côte-d'Azur;;;;01/01/1998 - 31/12/1998;False;False;;;;;S. Marnier-Lapostolle;;False;;;;;;True;;;True;"Jardin Botanique ""Les Cedres"", Saint-Jean-Cap-Ferrat, Alpes Maritimes.";False;;43.69121055 , 7.326498310271024;;;False;;;;;;;;
B;Herbarium Berolinense;B 10 1025915;5;6784786;Cupressaceae;Cupressus;sempervirens;;Griechenland;False;;;;Dodecanese(Νομός Δωδεκανήσου);;;;13/05/1986 - 13/05/1986;False;False;;;;;D. Hoener & S. Potthoff;;False;;;;;436a;False;;;True;"Karpathos, Sommerdorf ""Katochiri"" 2 km NE von Arkasa, altes aufgelassenes Kulturgelände, 190 m.";False;;35.475 , 27.141666666666666;;;False;;;;;;;;
B;Herbarium Berolinense;B 10 1026344;5;6784786;Cupressaceae;Juniperus;communis subsp. alpina;;Frankreich;False;;;;Midi-Pyrénées;;;;14/07/1888 - 14/07/1888;False;False;;;;;Hte Marcailhou d'Aymeric;;False;;;;;;True;;;True;pelouses du bac du Sisca sous la porteille de Siscarou (à 2320 m);;False;42.584567934707685 , 1.7289733886718752;;;False;;;;;;;;
B;Herbarium Berolinense;B 10 1026342;5;6784786;Cupressaceae;Juniperus;communis subsp. alpina;;Rumänien;False;;;;Braşov;;;;01/09/1886 - 30/09/1886;False;False;;;;;Römer;;False;;;;;;True;;;True;Schuler (1804 mtr);False;;45.56885 , 25.5674494;;;False;;;;;;;;
B;Herbarium Berolinense;B 10 1026393;5;6784786;Cupressaceae;Juniperus;communis subsp. alpina;;Vereinigte Staaten von Amerika;False;;;False;Colorado;;;;01/08/1901 - 31/08/1901;False;False;;;;;Kenneth K. Mackenzie;;False;;;;;15;False;;;True;Near Breckenridge, Summit county. Altitude 9700 feet.;False;;39.47976666666667 , -106.04705277777778;;;False;;;;;;;;
B;Herbarium Berolinense;B 10 1026376;5;6784786;Cupressaceae;Juniperus;communis subsp. alpina;;Pakistan;False;;;;Gilgit-Baltistan;;;;22/08/1993 - 22/08/1993;False;False;;;;;Nüsser;;False;;;;;416;False;H. Ern;;False;"Orographisch linke Seitenmoräne des Raikot-Gletschers (""eisfreie Insel"") Krummholzformation 3960m, Exposition 330, Neigung 10";False;;35.31617573202016 , 74.61070775985719;;;False;;;;;;;;
B;Herbarium Berolinense;B 10 1026374;5;6784786;Cupressaceae;Juniperus;communis subsp. alpina;;Pakistan;False;;;;Gilgit-Baltistan;;;;30/07/1993 - 30/07/1993;False;False;;;;;Nüsser;;False;;;;;196;False;H. Ern;;False;Rama-Tal, in Nähe der Sommersiedlung Karayabe. Hangschutt, Wacholderheiden. 3720 m. Exposition 200, Neigung 35;False;;35.32907099221019 , 74.7939491341822;;;False;;;;;;;;
B;Herbarium Berolinense;B 10 1026371;5;6784786;Cupressaceae;Juniperus;communis subsp. alpina;;Pakistan;False;;;;Gilgit-Baltistan;;;;15/07/1993 - 15/07/1993;False;False;;;;;Nüsser;;False;;;;;12;False;H. Ern;;False;Pakistan, Northern Areas. Seitenmoräne des Bazhin-Lake  Grundwassergehölz auf Moränrenschutt  3530 m, Exposition 350.;False;;35.19096031493827 , 74.65594053268434;;;False;;;;;;;;
B;Herbarium Berolinense;B 10 1026370;5;6784786;Cupressaceae;Juniperus;communis subsp. alpina;;Pakistan;False;;;;Gilgit-Baltistan;;;;07/06/1994 - 07/06/1994;False;False;;;;;Nüsser;;False;;;;;988;False;H. Ern;;False;"Northern Areas. Orographisch rechte Talflanke oberhalb der ""Märchenwiese"", Betula utilis-Juniperus macropoda-Wald  3750 m, Exposition 260, Neigung 35";False;;35.331774667406584 , 74.59718942642213;;;False;;;;;;;;
B;Herbarium Berolinense;B 10 1026369;5;6784786;Cupressaceae;Juniperus;communis subsp. alpina;;Pakistan;False;;;;Gilgit-Baltistan;;;;22/08/1993 - 22/08/1993;False;False;;;;;Nüsser;;False;;;;;443;False;H. Ern;;False;"Nothern Areas. Orographisch linke Seitenmoräne des Raikot-Gletschers (""eisfreie Insel""), Salix-Krummholz, 3950 m, Exposition 30, Neigung 25";False;;35.334997 , 74.58076;;;False;;;;;;;;
B;Herbarium Berolinense;B 10 1026367;5;6784786;Cupressaceae;Juniperus;communis subsp. alpina;;Pakistan;False;;;;Gilgit-Baltistan;;;;22/07/1993 - 22/07/1993;False;False;;;;;Nüsser;;False;;;;;134;False;H. Ern;;False;Rupalkamm, Kammlinie, 3500m, Exposition 100, Neigung 5.;False;;35.2191175 , 74.7024222;;;False;;;;;;;;
B;Herbarium Berolinense;B 10 1026363;5;6784786;Cupressaceae;Juniperus;communis subsp. alpina;;Türkei;False;;;;Bursa;;;;21/06/1955 - 21/06/1955;False;False;;;;;H. und E. Walter;;False;;;;;600;False;Walter;;False;Uludag bei Bursa, Bakaçak, alpine Weide;;False;40.0705295 , 29.2220098;;;;;;;;;;;
B;Herbarium Berolinense;B 10 0007778;5;6784786;Cupressaceae;Juniperus;communis subsp. communis;;Griechenland;False;;;;Drama(Νομός Δράμας);;;;20/05/1999 - 20/05/1999;False;False;;;;;A. Schuler;;False;;;;;99/364;False;;;True;Paranestion. Flood-plain habitats along the river Nestos, 1 km S of Pananestion, riparian forest. On alluvial deposits. Alt.: 100 m;False;;41.26277777777778 , 24.51222222222222;;;False;;;;;;;;
B;Herbarium Berolinense;B 10 1026406;5;6784786;Cupressaceae;Juniperus;communis subsp. communis;;Griechenland;;;;False;Florina(Νομός Φλώρινας);;;False;25/08/1990 - 25/08/1990;;;;;;;B. Pirker mit E. Royl & A. Fleischer;;;;;;;287;;W. Greuter;;;Eparcheria Florinis, Berg Varnous. 15 km westl. von Florina. 1250-1290 m. Wald mit Lichtung, Hang mit Lehmboden auf Kalk und Feuchtestelle. Assoziiert mit Fagus.;;False;40.78333333333333 , 21.3;;;;;;;;;;;
B;Herbarium Berolinense;B 10 1026404;5;6784786;Cupressaceae;Juniperus;communis subsp. communis;;Griechenland;False;;;;Thessaloniki(Νομός Θεσσαλονίκης);;;;28/06/1989 - 28/06/1989;False;False;;;;;V. Karagiannakidou;;False;;;;;;True;;;True;"Nomos & Eparchia Thessalonikis: NE side of Mt. Chortiatis, place called ""Kerasies"", near the refuge. Clearing in Castanea-Fagus forest, 850 m a. s. l.";False;;40.59583333333334 , 23.111111111111114;;;False;;;;;;;;
B;Herbarium Berolinense;B 10 0189141;5;6784786;Cupressaceae;Juniperus;communis subsp. communis;;Griechenland;False;;;;Xanthi(Νομός Ξάνθης);;;;14/06/2001 - 14/06/2001;False;False;;;;;A. Schuler;;False;;;;;921;False;;;True;Dimos: Stavrupolis, Mount: Rodopi, Site: E of Livaditis, open Pinus sylvestris wood, on gneisses and gneiss-schists. Alt.: 1350 m;False;;41.29194444444444 , 24.68611111111111;;;False;;;;;;;;
B;Herbarium Berolinense;B 10 9010265;5;6784786;Cupressaceae;Cupressus;sempervirens;;Griechenland;;;;False;Heraklion(Νομός Ηρακλείου);;;False;27/05/1984 - 27/05/1984;;;;;;;J. M. Shay;;;;;;;1407;;J. M. Shay;;;Kamilari: 300 m from sea, near abandoned water mill. Roa[d]side;;False;35.02804438040201 , 24.762282371520996;;;;;;;;;;;
B;Herbarium Berolinense;B 10 0310393;5;6784786;Cupressaceae;Cupressus;sempervirens;;Griechenland;True;;;;Athens(Νομαρχία Αθηνών);;;;06/04/1971 - 06/04/1971;False;False;;;;;Ch. Leuckert;;;;;;;8198;;;;True;Attika: Pinus halepensis-Wald am Hymettos (Imittos) in der Umgebung des Klosters Kaissariani (Kesariani), gepflanzt.;;False;37.96080833333334 , 23.798022222222222;;;;;;;;;;;
B;Herbarium Berolinense;B 10 1026208;5;6784786;Cupressaceae;Cupressus;torulosa;;;False;;;True;;;;True;;;True;;;;;;;True;;;;;;True;A. Farjon;;False;;;True;;;;True;;;;;;;;
B;Herbarium Berolinense;B 10 1025977;5;6784786;Cupressaceae;Diselma;archeri;;Australien;;;;False;Tasmania;;;False;18/01/1959 - 18/01/1959;;;;;;;H. und E. Walter;;;;;;;2189;;A. Farjon;;;Mt. Field Nat Park Gipfelregion des Mt. Field;;False;-42.661121047097716 , 146.59081220626834;;;;;;;;;;;
B;Herbarium Berolinense;B 10 1025976;5;6784786;Cupressaceae;Diselma;archeri;;Australien;False;;;;Tasmania;;;;30/11/1997 - 30/11/1997;False;False;;;;;Farjon, A.;;False;;;;;460;False;;;True;Mt. Field N. P., Lake Newdegate along track 0.5 km above Twisted Tarn, just NE of Lake Newdegate in sub-alpine shrubbery ('elfin forest') with Athrotaxis cupressoides, Diselma archeri, Microstrobos niphophilus, Richea scoparia, Orites sp. and small ferns, Alt. 1160m;False;;-42.666666666666664 , 146.56666666666666;;;False;;;;;;;;
B;Herbarium Berolinense;B 10 1025974;5;6784786;Cupressaceae;Diselma;archeri;;Australien;False;;;;Tasmania;;;;01/01/1842 - 31/12/1842;False;False;;;;;Gunn;;False;;;;;;True;A. Farjon;;False;Tasmania;False;;;;;True;;;;;;;;
B;Herbarium Berolinense;B 10 1026010;5;6784786;Cupressaceae;Juniperus;brevifolia;;Portugal;False;;;;Açores;;;;28/05/1988 - 28/05/1988;False;False;;;;;R. Vogt, C. Prem;;False;;;;;6787;False;;;True;Pico: Lorbeerwald an der Hochstraße zwischen Madalena und S. Roque do Pico, ca. 800-1000m.;False;;38.49753396243777 , -28.39828491210938;;;False;;;;;;;;
B;Herbarium Berolinense;B 10 0568975;5;6784786;Cupressaceae;Juniperus;californica;;Vereinigte Staaten von Amerika;False;;;;California;;;;25/03/1960 - 25/03/1960;False;False;;;;;John Thomas Howell;;False;;;;;35163;False;;;True;Sierra Nevada, West side of Walker Pass, el. ca. 4700 feet., Kern Co.;False;;35.66691965002164 , -118.0405640602112;;;;;;;;;;;
B;Herbarium Berolinense;B 10 0520315;5;6784786;Cupressaceae;Juniperus;californica;;Vereinigte Staaten von Amerika;False;;;;California;;;;29/05/1997 - 29/05/1997;False;False;;;;;H. H. Hilger & M. Hofmann;;False;;;;;163;False;H. H. Hilger & M. Hofmann;;False;San Bernadino County: Granite Mountains, 4000 ft. Felsen;False;;35.513577777777776 , -116.73836666666666;;;False;;;;;;;;
B;Herbarium Berolinense;B 10 1026040;5;6784786;Cupressaceae;Juniperus;chinensis;;Deutschland;True;;;;Berlin;;;;01/04/1943 - 01/04/1943;False;False;;;;;Joh. Mattfeld;;;;;;;;True;;;True;cult. Hort. Berol.;;False;52.4525049737448 , 13.305387496948244;;;;;;;;;;;
B;Herbarium Berolinense;B 10 1026037;5;6784786;Cupressaceae;Juniperus;chinensis;;Polen;True;;;;Pomorskie;;;;01/08/1919 - 01/08/1919;False;False;;;;;R. Gross;;False;;;;;;True;;;True;Kreis Preuß. Stargard: Oberförsterei Wirthy [Wirty] Heimat: China;False;;53.89907897394528 , 18.380384445190433;;;False;;;;;;;;
B;Herbarium Berolinense;B 10 1026034;5;6784786;Cupressaceae;Juniperus;chinensis;;Deutschland;True;;;False;Nordrhein-Westfalen;;;False;21/03/1938 - 21/03/1938;;;;;;;H. Hupke;;;;;;;;True;;;True;Köln-Klettenberg, Beethovenpark, cult.;;False;50.90966301604018 , 6.907868385314942;;;;;;;;;;;
B;Herbarium Berolinense;B 10 1026091;5;6784786;Cupressaceae;Juniperus;communis;;Deutschland;;;;False;Thüringen;;;False;18/04/1953 - 18/04/1953;;;;;;;Joachim Dähnn;;;;;;;21;;;;True;Kreis Jena, unterhalb des Gipfels des Jenzig bei Jena;;False;50.93852132899143 , 11.627011299133303;;;;;;;;;;;
B;Herbarium Berolinense;B 10 1026093;5;6784786;Cupressaceae;Juniperus;communis;;Deutschland;;;;False;Baden-Württemberg;;;False;01/06/1932 - 30/06/1932;;;;;;;;;True;;;;;;True;;;True;Heidefläche b. d. Hornisgrinde, Schwarzwald;;False;48.60435895498502 , 8.202366828918459;;;;;;;;;;;
B;Herbarium Berolinense;B 10 1026098;5;6784786;Cupressaceae;Juniperus;communis;;Deutschland;True;;;False;Brandenburg;;;False;;;True;;;;;Goetze;;;;;;;;True;;;True;Potsdam;;False;52.4009309 , 13.0591397;;;;;;;;;;;
B;Herbarium Berolinense;B 10 1026135;5;6784786;Cupressaceae;Juniperus;communis;;Ungarn;;;;False;Budapesti;;;False;;;True;;;;;L. Richter;;;;;;;;True;;;True;Budapest;;False;47.4983815 , 19.0404707;;;;;;;;;;;
B;Herbarium Berolinense;B 10 1027340;5;6784786;Cupressaceae;Juniperus;scopulorum;;Vereinigte Staaten von Amerika;;;;False;Montana;;;False;13/11/1976 - 13/11/1976;;;;;;;R. P. Adams;;;;;;;1855;;;;True;Silver Bow Co., Dry grassy site 6 mi. west of Butte. Many trees columnar-some with round tops. Elev. 5700 ft.;;False;45.97274805306126 , -112.8043556213379;;;;;;;;;;;
B;Herbarium Berolinense;B 10 1027337;5;6784786;Cupressaceae;Juniperus;scopulorum;;Vereinigte Staaten von Amerika;False;;;;Wyoming;;;;15/11/1976 - 15/11/1976;False;False;;;;;R. P. Adams;;False;;;;;1933;False;;;True;Weston Co., 9 mi. north of US 16 & 85 junction, near Newcastle, on US 85.;False;;43.848641360290195 , -104.18395042419434;;;False;;;;;;;;
