specimen - institute;specimen - collection;specimen - code;mission - id;mission - originalID;specimen - family;specimen - genus;specimen - specific_epithet;unusable - cause;country - country;country - growned_plant;country - guessed;country - not_sure;country - no_info;region1 - region;region1 - guessed;region1 - not_sure;region1 - no_info;collect_date - collect_date;collect_date - not_sure;collect_date - no_info;onecollector - collector;onecollector - not_sure;onecollector - no_info;collect_number - ;collect_number - no_info;identifier - identifier;identifier - not_sure;identifier - no_info;owner - question_1;owner - no_info;locality - locality;locality - not_sure;locality - no_info;geo - position;geo - radius;geo - description;geo - not_sure;geo - no_info
B;Herbarium Berolinense;B101027941;8;8746725;CYCADACEAE;Encephalartos;hildebrandtii;;Uganda;False;;;;Kamwenge;;;;01/01/1968 - 31/12/1968;False;False;J. M. Lock;;;68/125;;;;True;;True;U2. Growing gregariously in rocky places in grassland, and in other places (e.g. islands) protected from fire. Mpanga River Gorge area, N.E. of Lake George, Toro. Alt. c. 4300 ft.;;False;0.042776 , 30.307565;;;;False
B;Herbarium Berolinense;B101027942;8;8746725;CYCADACEAE;Encephalartos;hildebrandtii;;Tansania;False;;;;Tanga;;;;18/03/1918 - 18/03/1918;False;False;(A. Peter);;False;;True;;;True;Baschant;False;Deutsch O. Afrika. Kilomoni → Siga. Höhlen am Kulomuzi-Fluss;False;;-5.073 , 39.047;;;;False
B;Herbarium Berolinense;B101027943;8;8746725;CYCADACEAE;Encephalartos;hildebrandtii;;Tansania;False;;;;Tanga;;;;18/04/1916 - 18/04/1916;False;False;A. Peter;;False;;True;;;True;Baschant;False;Ost-Afrika, W.-Usambara. Mshindi-Wald. 450 m.;False;False;-4.768956 , 38.633639;;;;
B;Herbarium Berolinense;B101027944;8;8746725;CYCADACEAE;Encephalartos;horridus;;Deutschland;True;;;;Sachsen;;;;;;True;Poscharsky;;False;;True;;;True;A. L. von Reuss;False;;;True;;;;;True
B;Herbarium Berolinense;B101027945;8;8746725;CYCADACEAE;Encephalartos;inopinus;;Südafrika;False;;;;Mpumalanga;;;;04/02/1965 - 04/02/1965;False;False;R. A. Dyer;;False;802;False;;;True;;True;Transvaal. Lydenburg. On Eastern Boundary of Farm Sameloop, north of Kromellenboog. On rocks in kloof underneath two big Kickia wilmsii trees.;False;;-24.436918 , 30.397722;;;;False
B;Herbarium Berolinense;B101027947;8;8746725;CYCADACEAE;Encephalartos;inopinus;;Südafrika;False;;;;Limpopo;;;;06/04/1965 - 06/04/1965;False;False;Dyer, Codd + Verdoorn;;;5855;False;;;True;;True;Transvaal. Dist. Lydenburg. On krans of cliff in gorge leading into Olifants River Valley about 4 1/2 miles from Weltevreden Asbestos Mine near Penge, about 15 widely scattered specimens in all.;;False;-24.418908 , 30.303198;;;;False
B;Herbarium Berolinense;B101027948;8;8746725;CYCADACEAE;Encephalartos;inopinus;;Südafrika;False;;;;Limpopo;;;;05/04/1965 - 05/04/1965;False;False;Dyer, Codd + Verdoorn;;False;5853;False;;;True;;True;Transvaal. Dist. Lydenburg. On kranz or cliff overlooking Olifants River about 6 miles from Weltevreden. Asbestos Mine near Penge.;False;;-24.393188 , 30.308492;;;;
B;Herbarium Berolinense;B101027949;8;8746725;CYCADACEAE;Encephalartos;inopinus;;Südafrika;False;;;;Limpopo;;;;06/04/1965 - 06/04/1965;False;False;Dyer, Codd + Verdoorn;;False;5854;False;;;True;;True;Transvaal. Dist. Lydenburg. On krans or cliff in gorge leading into Olifants River Valley about 3 1/2 miles from Weltevreden Asbestos Mine near Penge;False;;-24.421363 , 30.305735;;;;False
B;Herbarium Berolinense;B101027950;8;8746725;CYCADACEAE;Encephalartos;lebomboensis;;Südafrika;False;;;;KwaZulu-Natal;;;;25/03/1962 - 25/03/1962;False;False;C. T. Ward;;False;4106;False;;;True;;True;Dist. Ngwavuma. Pongola Poort. Among large rocks in light shade of woodland (scrub-forest) on south-facing steep slope. Locally abundant. Alt. c. 300';False;False;-27.43727 , 31.961557;;;;False
B;Herbarium Berolinense;B101027951;8;8746725;CYCADACEAE;Encephalartos;lebomboensis;;Südafrika;False;;;;;;;True;15/03/1964 - 15/03/1964;False;False;Andre du Plessis;;False;204;False;;;True;;True;Transvaal. Dist. Piet Retief. On rocks along Pongola river.;False;;;;;;True
B;Herbarium Berolinense;B101027952;8;8746725;CYCADACEAE;Encephalartos;lebomboensis;;Südafrika;;;;False;KwaZulu-Natal;;;False;03/11/1964 - 03/11/1964;False;False;R. A. Dyer & I. C. Verdoorn;;;5837;False;;;True;;True;Transvaal, Dist. Piet Retief. Southern end of Lebombo Mountain. Few miles from Pongola Poort and Josini Dam: in forest patch with E. villosus Lem. and with indications of hyberidization.;;False;-27.418248 , 32.029206;;;;False
B;Herbarium Berolinense;B101027953;8;8746725;CYCADACEAE;Encephalartos;longifolius;;Südafrika;;;;False;Eastern Cape;;;False;;;True;R. A. Dyer, M. Wells;;;5805;;;;True;;True;Prov. Cape. Dist. Uniondale. About 2 m. east of Joubertina;;False;-33.829559 , 23.903259;;;;
B;Herbarium Berolinense;B101027954;8;8746725;CYCADACEAE;Encephalartos;transvenosus;;Südafrika;;;;False;Limpopo;;;False;19/01/1959 - 19/01/1959;;;E. Werdermann et H.-D. Oberdieck;;;1926;;;;True;;True;Transvaal. Modjadji, 800-900 m.;;False;-23.625487 , 30.346315;;;;
B;Herbarium Berolinense;B101027955;8;8746725;CYCADACEAE;Encephalartos;transvenosus;;Südafrika;False;;;;Limpopo;;;;19/01/1959 - 19/01/1959;False;False;E. Werdermann et H.-D. Oberdieck;;False;1926;False;;;True;;True;Transvaal. Modjadji, 800-900 m.;False;;-23.626387 , 30.349149;;;;False
B;Herbarium Berolinense;B101027956;8;8746725;CYCADACEAE;Encephalartos;transvenosus;;Südafrika;True;;;;Gauteng;;;;;;True;Dyer;;False;269/3;;;;True;;True;Botanical Research Institute  Pretoria;False;;;;;;True
B;Herbarium Berolinense;B101027957;8;8746725;CYCADACEAE;Encephalartos;transvenosus;;Südafrika;True;;;;Gauteng;;;;01/01/1964 - 31/12/1964;False;False;Dyer;;False;269/3;False;;;True;;True;Botanical Research Institute Pretoria from Duiwels Kloof, Transvaal;False;;;;;;True
B;Herbarium Berolinense;B101027958;8;8746725;CYCADACEAE;Encephalartos;transvenosus;;Südafrika;False;;;;Limpopo;;;;01/06/1946 - 30/06/1946;False;False;Dyer;;False;;True;;;True;;True;Letaba, Transvaal. Near Duivels Kloof. Modjadji Bantu Location;False;False;-23.875 , 30.2722222;;;;
B;Herbarium Berolinense;B101027959;8;8746725;CYCADACEAE;Encephalartos;transvenosus;;Südafrika;False;;;;Limpopo;;;;01/06/1946 - 30/06/1946;False;False;Dyer;;False;;True;;;True;;True;Modjadji Location. Letaba. Transvaal;False;;-23.624078 , 30.346761;;;;False
B;Herbarium Berolinense;B101027960;8;8746725;CYCADACEAE;Encephalartos;transvenosus;;Südafrika;False;;;;Limpopo;;;;01/06/1946 - 30/06/1946;False;False;Dyer;;False;;True;;;True;;True;Foto. Modjadji Location, Letaba, Transvaal.;False;;-23.62 , 30.22;;;;False
B;Herbarium Berolinense;B101027961;8;8746725;CYCADACEAE;Encephalartos;transvenosus;;Südafrika;False;;;;Limpopo;;;;22/06/1946 - 22/06/1946;False;False;R. A. Dyer;;False;;True;;;True;;True;2 Fotos, Zoutpansberg, about 15 miles of Louis Trichardt, Happy Rest Farm School.;False;;-23.04 , 29.76;;;;False
B;Herbarium Berolinense;B101027962;8;8746725;CYCADACEAE;Encephalartos;transvenosus;;Südafrika;False;;;;Limpopo;;;;22/06/1946 - 22/06/1946;False;False;Miss Verdoorn, R. A. Dyer;;False;;True;;;True;;True;Transvaal. Zoutpansberg Mt. about 15 m. west of Louis Trichardt overlooking Happy Rest Farm School. Common in restriction area.;False;;-23.009159 , 29.722235;;;;False
B;Herbarium Berolinense;B101027963;8;8746725;CYCADACEAE;Encephalartos;transvenosus;;Südafrika;True;;;False;Gauteng;;;;01/05/1956 - 31/05/1956;False;False;;;True;;True;;;True;;True;[Wildherkunft Zoutpansberg, western extremity] In garden (Brianne Flats) Pretoria;False;;-25.746172955702566 , 28.214392662048343;;;;False
B;Herbarium Berolinense;B101027964;8;8746725;CYCADACEAE;Encephalartos;transvenosus;;Südafrika;False;;;;Limpopo;;;;22/06/1946 - 22/06/1946;False;False;;;True;;True;;;True;;True;Zoutpansberg;False;;;;;;True
B;Herbarium Berolinense;B101027965;8;8746725;CYCADACEAE;Encephalartos;transvenosus;;Südafrika;;;;False;Limpopo;;;False;01/06/1946 - 30/06/1946;;;Dyer;;;;True;;;True;;True;Transvaal. Letaba Distr. Modjandji Bantu Location;;False;-23.623732 , 30.353001;;;;
B;Herbarium Berolinense;B101027966;8;8746725;CYCADACEAE;Encephalartos;transvenosus;"""mehrere Belege mit widersprüchlichen Angaben""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B;Herbarium Berolinense;B101027967;8;8746725;CYCADACEAE;Encephalartos;trispinosus;;Südafrika;False;;;;Eastern Cape;;;;01/09/1964 - 30/09/1964;False;False;Dyer;;False;;True;;;True;;True;Bathurst Distr.  Cape Prov.;False;;-33.5 , 26.76;;;;False
B;Herbarium Berolinense;B101027969;8;8746725;CYCADACEAE;Encephalartos;trispinosus;;Südafrika;True;;;;Eastern Cape;;;;01/05/1956 - 31/05/1956;False;False;G. G. Smith;;False;;True;;;True;;True;[Wildherkunft Top of Pluto's Vale, Albany Distr.] East London (Vincent);False;;-33.20221187910126 , 26.71630382537842;;;;False
B;Herbarium Berolinense;B101027970;8;8746725;CYCADACEAE;Encephalartos;trispinosus;;Südafrika;False;;;;Eastern Cape;;;False;01/09/1964 - 30/09/1964;;;Dyer;;;;True;;;True;;True;Albany. Pluto's Vale on steep slope;;False;-33.201179 , 26.711481;;;;
B;Herbarium Berolinense;B101027971;8;8746725;CYCADACEAE;Encephalartos;trispinosus;;Südafrika;False;;;False;Eastern Cape;;;;01/09/1964 - 30/09/1964;False;False;Dyer;;False;;True;;;True;;True;Cape, Bathurst. Overlooking Kap River near junction with Fish River;False;;-33.478795 , 27.10185;;;;False
B;Herbarium Berolinense;B101027972;8;8746725;CYCADACEAE;Encephalartos;umbeluziensis;;Südafrika;True;;;;Gauteng;;;;01/01/1964 - 31/12/1964;False;False;Dyer;;False;269/4;False;;;True;;True;Botanical Research Inst. Pretoria from Portuguese E.Af. Umbelugi South of Lourenco Marques;False;;;;;;True
B;Herbarium Berolinense;B101027973;8;8746725;CYCADACEAE;Encephalartos;umbeluziensis;;Mosambik;False;;;;Maputo;;;;15/06/1945 - 15/06/1945;False;False;Dyer;;False;;True;;;True;;True;Lourencomarque Distr., between Goba & Namaacha;False;;-26.10304649157109 , 32.126083374023445;;;;False
B;Herbarium Berolinense;B101027974;8;8746725;CYCADACEAE;Encephalartos;umbeluziensis;;Swasiland;False;;;;Lubombo;;;;;;True;R. A. Dyer;;False;;True;;;True;;True;near Namaacha;False;;-25.991950598851897 , 31.98823928833008;;;;False
B;Herbarium Berolinense;B101027975;8;8746725;CYCADACEAE;Encephalartos;umbeluziensis;;Mosambik;False;;;;Maputo;;;;;;True;Dyer;;False;;True;;;True;;True;Lourencomarques Distr.;False;;;;;;True
B;Herbarium Berolinense;B101027976;8;8746725;CYCADACEAE;Encephalartos;umbeluziensis;;Swasiland;True;;;;Lubombo;;;;;;True;R. A. Dyer;;False;;True;;;True;;True;from Umbeluzi River;False;;;;;;True
B;Herbarium Berolinense;B101027977;8;8746725;CYCADACEAE;Encephalartos;umbeluziensis;"""mehrere Belege mit widersprüchlichen Angaben""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B;Herbarium Berolinense;B101027978;8;8746725;CYCADACEAE;Encephalartos;umbeluziensis;;Swasiland;False;;;;Lubombo;;;False;14/04/1964 - 14/04/1964;False;False;R. H. Compton;;False;32066;False;;;True;;True;Umbeluzi Poort;False;;-26.218908 , 32.044351;;;;
B;Herbarium Berolinense;B101027979;8;8746725;CYCADACEAE;Encephalartos;villosus;;Südafrika;False;;;;KwaZulu-Natal;;;;03/11/1964 - 03/11/1964;False;False;R. A. Dyer & I. C. Verdoorn;;False;5836;False;;;True;;True;Transvaal. Dist. Piet Retief. Southern end of Lebombo Mountain near Pongola Poort in forest patch below krans with Encephalartos lebomboensis Verdoorn.;False;;-27.416206 , 32.027356;;;;False
B;Herbarium Berolinense;B101027980;8;8746725;CYCADACEAE;Encephalartos;villosus;;Südafrika;True;;;;Gauteng;;;;01/01/1964 - 31/12/1964;False;False;Dyer;;False;269/1;False;;;True;;True;Botanical Research Institute Pretoria;False;;;;;;True
B;Herbarium Berolinense;B101027981;8;8746725;CYCADACEAE;Encephalartos;villosus;;Südafrika;True;;;False;Gauteng;;;False;01/01/1964 - 31/12/1964;;;Dyer;;;270/7;;;;True;;True;cult. Botanical Research Institute Pretoria;;False;;;;;True
B;Herbarium Berolinense;B101027982;8;8746725;CYCADACEAE;Encephalartos;villosus;;Südafrika;False;;;;KwaZulu-Natal;;;;01/01/1945 - 31/12/1945;False;False;Dyer;;False;;True;;;True;;True;Shongweni Falls, near Delville Wood Station;False;;-29.85098 , 30.716714;;;;False
B;Herbarium Berolinense;B101027983;8;8746725;CYCADACEAE;Encephalartos;villosus;"""mehrere Belege mit widersprüchlichen Angaben""";Südafrika;True;;;;Gauteng;;;;;;;R. A. Dyer;;False;;True;;;True;;True;;;;;;;;
B;Herbarium Berolinense;B101040354;8;8746725;CEPHALOTAXACEAE;CEPHALOTAXACEAE;sp.;;Frankreich;;;;False;Corse;;;False;28/07/1933 - 28/07/1933;;;Paul Aellen;;;2236;;;;True;V. Engelhardt;;Col de Bavella: Felsen, ca. 1220 m ü. M.;;False;41.7958688 , 9.2249566;;;;
B;Herbarium Berolinense;B101040616;8;8746725;CEPHALOTAXACEAE;CEPHALOTAXACEAE;sp.;;Nordmazedonien;;;;False;Ohrid(Охрид);;;False;15/07/1937 - 15/07/1937;;;A. Cohrs;;;;True;Bornmüller;;;A. Cohrs;;Mazedonisch-griechisches Grenzgebirge. Galiciča [Galičica] planina ca 1000 m, östlich v. Ohrida-See.;False;False;41.07986431370807 , 20.824928283691406;;;;
B;Herbarium Berolinense;B101040617;8;8746725;CEPHALOTAXACEAE;CEPHALOTAXACEAE;sp.;;Nordmazedonien;;;;False;Tetovo(Тетово);;;False;10/07/1936 - 11/07/1936;;;Otto und Ernst Behr;;;;True;J. Bornmüller;;False;V. Engelhardt;;Mazedonien. Šar-planina: auf dem Gipfel Kobelica oberhalb Tetovo;;False;42.09503446130916 , 20.88586807250977;;;;
B;Herbarium Berolinense;B101040620;8;8746725;CEPHALOTAXACEAE;CEPHALOTAXACEAE;sp.;;Bulgarien;;;;False;Sofia city(София-град);;;False;28/08/1937 - 28/08/1937;;;Baschant;;;;True;Hermann;;;Baschant;;Vitoscha, 1900 m. oberh. Aleko-Hütte;;False;42.5825 , 23.292222;;;;
B;Herbarium Berolinense;B101040627;8;8746725;CEPHALOTAXACEAE;CEPHALOTAXACEAE;sp.;;Bulgarien;;;;False;Sofia city(София-град);;;False;28/07/1937 - 28/07/1937;;;Baschant;;;;True;;;True;Baschant;;Vitoscha-Gebiet, oberh. Kugaschewo.;;False;42.542143 , 23.265788;;;;
B;Herbarium Berolinense;B101040635;8;8746725;CEPHALOTAXACEAE;CEPHALOTAXACEAE;sp.;;Rumänien;;;;False;Alba;;;False;01/07/1901 - 01/07/1901;;;J. Barth;;;;True;;;True;Bothe;;Transsilvanien. In collibus: Blasendorf [Blaj] 100 m.;;False;46.1731211 , 23.92900785567878;;;;
B;Herbarium Berolinense;B101040636;8;8746725;CEPHALOTAXACEAE;CEPHALOTAXACEAE;sp.;"""Kein Etikett/leeres Etikett""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B;Herbarium Berolinense;B101040637;8;8746725;CEPHALOTAXACEAE;CEPHALOTAXACEAE;sp.;;Rumänien;;;;False;Sibiu;;;False;06/07/1898 - 06/07/1898;;;J. Barth;;;;True;;;True;V. Engelhardt;;Transsilvanien. In collibus: Mediasch [Mediaș]. 300 m.;;False;46.159799488316615 , 24.370808601379398;;;;
B;Herbarium Berolinense;B101040803;8;8746725;CEPHALOTAXACEAE;CEPHALOTAXACEAE;sp.;;Vietnam;;;;False;Thừa Thiên - Huế;;;False;13/06/2018 - 13/06/2018;;;Bui Van Huong, Virginia K. Duwe, Peter Hein, Luong Duc Thien, Nguyen Hung Manh, Eckhard von Raab-Straube, Tran Huu Dang, Truong Ba Vuong, Tu Bao Ngan;;;513;;;;True;;True;Phú Lộc district, Bạch Mã National Park, along the main road from km 6-7. Edge of evergreen rainforest with tall shrubs and trees. alt.: 970 m;;False;16.20138888888889 , 107.85331666666666;;;;
B;Herbarium Berolinense;B101040806;8;8746725;CEPHALOTAXACEAE;CEPHALOTAXACEAE;sp.;;Vietnam;;;;False;Thừa Thiên - Huế;;;False;05/06/2018 - 05/06/2018;;;Bui Van Huong, Virginia K. Duwe, Peter Hein, Luong Duc Thien, Nguyen Hung Manh, Nguyen Quoc Binh, Eckhard von Raab-Straube, Tran Huu Dang, Truong Ba Vuong, Tu Bao Ngan;;;88;;;;True;;True;"Phú Lộc District, Bạch Mã National Park, ""Pheasant trail"", road to 1 km to the west. Tropical forest. alt.: 410 m";;False;16.22946111111111 , 107.85145277777777;;;;
B;Herbarium Berolinense;B101040808;8;8746725;CEPHALOTAXACEAE;CEPHALOTAXACEAE;sp.;;Vietnam;;;;False;Thừa Thiên - Huế;;;False;10/06/2018 - 10/06/2018;;;Bui Van Huong, Virginia K. Duwe, Peter Hein, Luong Duc Thien, Nguyen Hung Manh, Eckhard von Raab-Straube, Tran Huu Dang, Truong Ba Vuong, Tu Bao Ngan;;;323;;;;True;;True;Phú Lộc District, Bạch Mã National Park, Parashorea forest trail near km 14. Parashorea forest, steep slope with large boulders. alt.: 950 m;;False;16.200566666666667 , 107.84781944444444;;;;
B;Herbarium Berolinense;B101040813;8;8746725;CEPHALOTAXACEAE;CEPHALOTAXACEAE;sp.;;Vietnam;;;;False;Thừa Thiên - Huế;;;False;03/06/2018 - 03/06/2018;;;Bui Van Huong, Virginia K. Duwe, Peter Hein, Luong Duc Thien, Nguyen Hung Manh, Nguyen Quoc Binh, Eckhard von Raab-Straube, Tran Huu Dang, Truong Ba Vuong, Tu Bao Ngan;;;13;;;;True;;True;"Phú Lộc District, Bạch Mã National Park, ""Five Lakes Trail"" near small waterfall and stream. Tropical mountain forest, along stream. alt.: 1150 m";;False;16.19 , 107.853;;;;
B;Herbarium Berolinense;B101040815;8;8746725;CEPHALOTAXACEAE;CEPHALOTAXACEAE;sp.;;Vietnam;;;;False;Thừa Thiên - Huế;;;False;07/06/2018 - 07/06/2018;;;Bui Van Huong, Virginia K. Duwe, Peter Hein, Luong Duc Thien, Nguyen Hung Manh, Nguyen Quoc Binh, Eckhard von Raab-Straube, Tran Huu Dang, Truong Ba Vuong, Tu Bao Ngan;;;233;;;;True;;True;Phú Lộc District, Bạch Mã National Park, mountain top trail. Tropical mountain evergreen rainforest. alt.: 1420 m;;False;16.19595 , 107.86435833333333;;;;
B;Herbarium Berolinense;B101041810;8;8746725;CEPHALOTAXACEAE;CEPHALOTAXACEAE;sp.;;Vietnam;False;;;;Thừa Thiên - Huế;;;;12/06/2018 - 12/06/2018;False;False;Bui Van Huong (VNMN), Virginia K. Duwe (MfN), Peter Hein (BGBM), Luong Duc Thien (ITB), Nguyen Hung Manh (IEBR), Eckhard von Raab-Straube (BGBM), Tran Huu Dang (SIE), Truong Ba Vuong (ITB), Tu Bao Ngan (VNMN);;;492;False;;;True;;True;"Phú Lộc District, Bạch Mã National Park, ""singing rock"" trail between old french villas. – Tropical evergreen mountain rainforest edge, near road. Alt.: 1360 m";False;;16.1925 , 107.8647;;;;False
B;Herbarium Berolinense;B101041814;8;8746725;CEPHALOTAXACEAE;CEPHALOTAXACEAE;sp.;;Vietnam;;;;False;Thừa Thiên - Huế;;;False;06/06/2018 - 06/06/2018;;;Bui Van Huong, Virginia K. Duwe, Peter Hein, Luong Duc Thien, Nguyen Hung Manh, Nguyen Quoc Binh, Eckhard von Raab-Straube, Tran Huu Dang, Truong Ba Vuong, Tu Bao Ngan;;;155;;;;True;;True;"Phú Lộc District, Bạch Mã National Park, lowland trail to ""slippery rocks"", near the river. Secondary tropical rainforest. alt.: 65 m";;False;16.220788888888887 , 107.8859388888889;;;;
B;Herbarium Berolinense;B101041818;8;8746725;CEPHALOTAXACEAE;CEPHALOTAXACEAE;sp.;;Vietnam;;;;False;Thừa Thiên - Huế;;;False;11/06/2018 - 11/06/2018;;;Bui Van Huong, Virginia K. Duwe, Peter Hein, Luong Duc Thien, Nguyen Hung Manh, Eckhard von Raab-Straube, Tran Huu Dang, Truong Ba Vuong, Tu Bao Ngan;;;374;;;;True;;True;Phú Lộc District, Bạch Mã National Park, lowland above swimming pool. Along a stream in tropical evergreen rainforest. alt.: 60 m;;False;16.220888888888886 , 107.89110833333334;;;;
B;Herbarium Berolinense;B101041828;8;8746725;CEPHALOTAXACEAE;CEPHALOTAXACEAE;sp.;;Vietnam;False;;;;Thừa Thiên - Huế;;;;06/06/2018 - 06/06/2018;False;False;Bui Van Huong, Virginia K. Duwe, Peter Hein, Luong Duc Thien, Nguyen Hung Manh, Nguyen Quoc Binh, Eckhard von Raab-Straube, Tran Huu Dang, Truong Ba Vuong, Tu Bao Ngan;;False;153;False;;;True;;True;"Phú Lộc District, Bạch Mã National Park, lowland trail to ""slippery rocks"", near the river. - Secondary tropical rainforest. Alt.: 65 m";False;;16.2207889 , 107.8859388888889;;;;False
B;Herbarium Berolinense;B101041830;8;8746725;CEPHALOTAXACEAE;CEPHALOTAXACEAE;sp.;;Vietnam;;;;False;Thừa Thiên - Huế;;;False;06/06/2018 - 06/06/2018;;;Bui Van Huong, Virginia K. Duwe, Peter Hein, Luong Duc Thien, Nguyen Hung Manh, Nguyen Quoc Binh, Eckhard von Raab-Straube, Tran Huu Dang, Truong Ba Vuong, Tu Bao Ngan;;;129;;;;True;;True;"Phú Lộc District, Bạch Mã National Park, lowland trail to ""slippery rocks"". Edge of secondary tropical rainforest, disturbed site. Alt.: 80 m";;False;16.224875 , 107.88178055555555;;;;
B;Herbarium Berolinense;B101041838;8;8746725;CEPHALOTAXACEAE;CEPHALOTAXACEAE;sp.;;Vietnam;;;;False;Thừa Thiên - Huế;;;False;03/06/2018 - 03/06/2018;;;Bui Van Huong, Virginia K. Duwe, Peter Hein, Luong Duc Thien, Nguyen Hung Manh, Nguyen Quoc Binh, Eckhard von Raab-Straube, Tran Huu Dang, Truong Ba Vuong, Tu Bao Ngan;;;19;;;;True;;True;"Phú Lộc District, Bạch Mã National Park, ""Rhododendron Trail"". Tropical mountain forest. alt.: 1090 m";;False;16.189855555555557 , 107.84953333333333;;;;
