specimen - institute;specimen - collection;specimen - code;mission - id;mission - originalID;specimen - family;specimen - genus;specimen - specific_epithet;unusable - cause;country - country;country - growned_plant;country - guessed;country - not_sure;country - no_info;region1 - region;region1 - guessed;region1 - not_sure;region1 - no_info;onecollector - collector;onecollector - not_sure;onecollector - no_info;collect_date - collect_date;collect_date - not_sure;collect_date - no_info;collect_number - ;collect_number - no_info;identifier - identifier;identifier - not_sure;identifier - no_info;locality - locality;locality - not_sure;locality - no_info;owner - question_1;owner - no_info;geo - position;geo - radius;geo - description;geo - not_sure;geo - no_info;Berberidaceae_scientific_name - scientific_name;Berberidaceae_scientific_name - species_name_not_in_list;Berberidaceae_scientific_name - genus_name_not_in_list;Berberidaceae_scientific_name - not_sure;Berberidaceae_scientific_name - no_info
B;Herbarium Berolinense;B101099689;11;10043764;BERBERIDACEAE;indet.;sp.;;Vereinigte Staaten von Amerika;;;;False;California;;;False;Melzheimer;;;01/01/1993 - 31/12/1993;;;;True;;;True;Sierra Nevada 'Sequoia National Park';;False;V. Melzheimer;;;;;;True;Nandina domestica Thunb.;;;;
B;Herbarium Berolinense;B101200941;11;10043764;BERBERIDACEAE;indet.;sp.;;Indien;;;;False;Himachal Pradesh;;;False;Ram Singh;;;23/05/1954 - 23/05/1954;;;12733;;S. L. Kapoor;;False;Simla;;False;;True;31.1041526 , 77.1709729;;;;;Nandina domestica Thunb.;;;;
B;Herbarium Berolinense;B101200940;11;10043764;BERBERIDACEAE;indet.;sp.;;Indien;True;;;False;Uttarakhand;;;False;K. M. Balapure;;;10/10/1956 - 10/10/1956;;;;True;KMB [K. M. Balapure];;False;Bot. Gard., New Forest, Dehra Dun (V. P.);;False;;True;30.3585 , 77.9546;;;;;Nandina domestica Thunb.;;;;
B;Herbarium Berolinense;B101200992;11;10043764;BERBERIDACEAE;indet.;sp.;;Peru;False;;;;;;;True;F. L. Herrera;;;;;True;;True;;;True;;;True;;True;;;;;True;Berberidaceae;;;;
B;Herbarium Berolinense;B101196415;11;10043764;BERBERIDACEAE;indet.;sp.;;Peru;;;;False;;;;True;Herrera;;;;;True;2679;False;;;True;;;True;;True;;;;;True;Berberis boliviana Lechl.;;;;
B;Herbarium Berolinense;B101200991;11;10043764;BERBERIDACEAE;indet.;sp.;;Kolumbien;False;;;;Nariño;;;False;;;True;30/06/1961 - 30/06/1961;False;False;2992;False;;;True;Pasto;;False;W. Schwabe;;1.2140275 , -77.2785096;;;;;Berberidaceae;;;;
B;Herbarium Berolinense;B101200990;11;10043764;BERBERIDACEAE;indet.;sp.;;Vereinigte Staaten von Amerika;False;;;;California;;;;P. Davis & Lightowlers, D.;;False;16/05/1980 - 16/05/1980;False;False;66957;False;;;True;Marin County, N slope of Mt. Tamelpais. 400 m. Shady banks in mixed forest.;;False;;True;37.936785407171854 , -122.5858783721924;;;;False;Berberidaceae;;;;
B;Herbarium Berolinense;B100052513;11;10043764;BERBERIDACEAE;indet.;sp.;;Pakistan;False;;;;Gilgit-Baltistan;;;;M. Qaiser, S. Omer and S. Z. Husain;;False;18/07/1990 - 18/07/1990;False;False;8314;False;;;True;Gilgit. Between Singh and Gupis.  ± 2000 meters. Shrub in moist shady areas.;False;;;True;36.2287554 , 73.4478248;;;;False;Berberis L.;;;;
B;Herbarium Berolinense;B100052510;11;10043764;BERBERIDACEAE;indet.;sp.;;Pakistan;;;;False;Khyber Pakhtunkhwa;;;False;A. Ghafoor and S. Omer;;;19/06/1987 - 19/06/1987;;;2683;;;;True;Chitral: Village Shagram, Minko Gol, c. 5 km North of Gar[a]m Chashma, sandy-clay soil.;;False;;True;36.02095408120046 , 71.58429664867117;;;;;Berberis L.;;;;
B;Herbarium Berolinense;B100052512;11;10043764;BERBERIDACEAE;indet.;sp.;;Pakistan;False;;;;Gilgit-Baltistan;;;;M. Qaiser, S. Omer and S. Z. Husain;;False;23/07/1990 - 23/07/1990;False;False;8512;;;;True;Karakoram. Kachura near Skardu. ± 2300 meters.;True;False;;True;35.4394871 , 75.4496676;;;;;Berberis L.;;;;
B;Herbarium Berolinense;B100052503;11;10043764;BERBERIDACEAE;indet.;sp.;;Pakistan;False;;;;Khyber Pakhtunkhwa;;;;A. Ghafoor & students;;False;16/10/1991 - 16/10/1991;False;False;5346;False;;;True;Swat. Malam Jabba, ± 10,000 ft., clay-loam soil;False;;;True;34.80002616494468 , 72.57164955139162;;;;False;Berberidaceae;;;;
B;Herbarium Berolinense;B100052502;11;10043764;BERBERIDACEAE;indet.;sp.;;Pakistan;False;;;;Gilgit-Baltistan;;;;M. Qaiser, S. Omer and S. Z. Husain;;False;18/07/1990 - 18/07/1990;False;False;8279;False;;;True;Kargah Nallah, ± 1520 meters.;False;;;True;35.92231608711789 , 74.25684928894044;;;;;Berberis L.;;;;
B;Herbarium Berolinense;B100052511;11;10043764;BERBERIDACEAE;indet.;sp.;;Pakistan;False;;;;Gilgit-Baltistan;;;;Kamal Akhter & M. Qaiser;;;14/07/1977 - 14/07/1977;False;False;523;False;;;True;N. W. F. P., C. 25 miles from Karimabad on way to Gilgit.;False;;;True;36.26627995223561 , 74.541757545379;;;;False;Berberis L.;;;;
B;Herbarium Berolinense;B101200988;11;10043764;BERBERIDACEAE;indet.;sp.;;Vereinigte Staaten von Amerika;False;;;;California;;;;Henry M. Pollard;;False;01/04/1936 - 30/04/1936;False;False;;True;Peter Raven;;False;Lagunitas, Marin County.;False;;;True;38.011312 , -122.7022085;;;;False;Vancouveria planipetala Calloni;;;;
B;Herbarium Berolinense;B101200987;11;10043764;BERBERIDACEAE;indet.;sp.;;Vereinigte Staaten von Amerika;False;;;;California;;;;Ora M. Clark;;False;17/06/1932 - 17/06/1932;False;False;5304;False;;;True;Mountain sides, S. Eureka;False;;Clark;False;40.76026027163466 , -124.16233062744142;;;;False;Vancouveria parvifolia Greene;;;;
B;Herbarium Berolinense;B101200985;11;10043764;BERBERIDACEAE;indet.;sp.;;Vereinigte Staaten von Amerika;;;;False;California;;;False;E. B. Copeland;;;09/05/1903 - 09/05/1903;;;3051;;E. L. Greene;;;Big Basin, San Mateo County;;False;;True;;;;;True;Vancouveria parvifolia Greene;;;;
B;Herbarium Berolinense;B101200986;11;10043764;BERBERIDACEAE;indet.;sp.;;Vereinigte Staaten von Amerika;;;;False;California;;;False;E. B. Copeland;;;09/05/1903 - 09/05/1903;;;3051;;E. L. Greene;;;Pacific coast. Big Basin, San Mateo county;;False;;True;;;;;True;Vancouveria parvifolia Greene;;;;
B;Herbarium Berolinense;B101200989;11;10043764;BERBERIDACEAE;indet.;sp.;;Vereinigte Staaten von Amerika;False;;;;California;;;;Lewis S. Rose;;False;24/05/1932 - 24/05/1932;False;False;32269;False;;;True;Forest shade Kings Mountain, San Mateo Co.;;False;Baschant;False;37.4407729 , -122.3244145;;;;False;Vancouveria parvifolia Greene;;;;
B;Herbarium Berolinense;B101200983;11;10043764;BERBERIDACEAE;indet.;sp.;;Vereinigte Staaten von Amerika;False;;;;Oregon;;;;Thomas J. Howell;;False;01/06/1881 - 30/06/1881;False;False;;True;;;True;Pacific coast. Common in forests.;False;;A. Engler;False;;;;;True;Vancouveria hexandra (Hook.) C.Mooren & Decne.;;;;
B;Herbarium Berolinense;B101200982;11;10043764;BERBERIDACEAE;indet.;sp.;;Deutschland;True;;;;Berlin;;;;L. Diels;;False;09/06/1943 - 09/06/1943;False;False;;True;W. T. Stearn;;False;Kult. Bot. Garten Berlin-Dahlem (Japan);False;;;True;;;;;True;Vancouveria hexandra (Hook.) C.Mooren & Decne.;;;;
B;Herbarium Berolinense;B101200953;11;10043764;BERBERIDACEAE;indet.;sp.;;Vereinigte Staaten von Amerika;False;;;;Illinois;;;;W. S. Moffatt;;False;12/05/1894 - 28/06/1894;False;False;56;False;;;True;Woods near Chicago;False;;W. S. Moffatt;False;41.8755616 , -87.6244212;;;;False;Podophyllum peltatum L.;;;;
B;Herbarium Berolinense;B100778431;11;10043764;BERBERIDACEAE;indet.;sp.;;Deutschland;True;;;False;Berlin;;;False;C. Risch;;;24/04/1951 - 24/04/1951;;;;True;;;True;Anlagen a. d. Spandauer Chauss. [Spandauer Damm];;False;C. Risch;;52.522780086164296 , 13.26406002044678;;;;;Mahonia aquifolium (Pursh) Nutt.;;;;
B;Herbarium Berolinense;B100778430;11;10043764;BERBERIDACEAE;indet.;sp.;;Deutschland;True;;;;Berlin;;;;C. Risch;;False;09/09/1945 - 09/09/1945;False;False;;True;;;True;"in horto urbis ""Schlachtensee""";False;;C. Risch;False;52.44285544035743 , 13.209042549133303;;;;False;Mahonia aquifolium (Pursh) Nutt.;;;;
B;Herbarium Berolinense;B100778429;11;10043764;BERBERIDACEAE;indet.;sp.;;Deutschland;True;;;;Berlin;;;;C. Risch;;False;25/04/1946 - 25/04/1946;False;False;;True;;;True;col. in horto bot. Berol.;False;;C. Risch;False;;;;;True;Mahonia aquifolium (Pursh) Nutt.;;;;
B;Herbarium Berolinense;B101025153;11;10043764;BERBERIDACEAE;indet.;sp.;;Deutschland;True;;;;Niedersachsen;;;;;;True;21/04/1910 - 21/04/1910;False;False;;True;;;True;Osnabrück: Gärten, Anlagen.;False;;F. W. Meyer;False;52.2719595 , 8.047635;;;;False;Mahonia aquifolium (Pursh) Nutt.;;;;
B;Herbarium Berolinense;B100766370;11;10043764;BERBERIDACEAE;indet.;sp.;;Deutschland;False;;;;Sachsen-Anhalt;;;;C. Müller;;False;27/04/1952 - 27/04/1952;False;False;;True;;;True;Burgpark Aschersleben;False;;Carl Müller;False;51.7502 , 11.441;;;;False;Mahonia aquifolium (Pursh) Nutt.;;;;
B;Herbarium Berolinense;B101200128;11;10043764;BERBERIDACEAE;indet.;sp.;;Deutschland;False;;;;Brandenburg;;;;Grantzow;;False;01/06/1871 - 30/06/1871;False;False;;True;;;True;Boitzenburg;False;;;True;53.2633401 , 13.6057588;;;;False;Mahonia aquifolium (Pursh) Nutt.;;;;
B;Herbarium Berolinense;B101200158;11;10043764;BERBERIDACEAE;indet.;sp.;;Deutschland;True;;;False;Niedersachsen;;;False;;;True;01/07/1902 - 31/07/1902;;;;True;Fedde;;;Hort. Münden;;False;C. K. Schneider;;;;;;True;Mahonia Nutt.;;;;
B;Herbarium Berolinense;B101200143;11;10043764;BERBERIDACEAE;indet.;sp.;;Deutschland;True;;;;Niedersachsen;;;;;;True;01/07/1902 - 31/07/1902;False;False;;True;;;True;Hort. Münden;False;;C. K. Schneider;False;;;;;True;Mahonia Nutt.;;;;
B;Herbarium Berolinense;B101200233;11;10043764;BERBERIDACEAE;indet.;sp.;;Deutschland;True;;;;Hessen;;;;Hirth;;False;13/04/1923 - 13/04/1923;False;False;;True;;;True;Planta culta Darmstadt. Starkenburg.;False;;;True;49.872775 , 8.651177;;;;False;Berberis L.;;;;
B;Herbarium Berolinense;B101200173;11;10043764;BERBERIDACEAE;indet.;sp.;;Deutschland;True;;;;Brandenburg;;;;Roman Schulz;;False;15/08/1904 - 15/08/1904;False;False;;True;;;True;In Falkenhagen bei Spandau angepflanzt.;False;;;True;52.5719248 , 13.1124882;;;;False;Berberis aquifolium Pursh;;;;
B;Herbarium Berolinense;B101200245;11;10043764;BERBERIDACEAE;indet.;sp.;;Deutschland;;;;False;Sachsen-Anhalt;;;False;;;True;20/04/1869 - 20/04/1869;;;;True;;;True;Herrenkrug b. Magdbg. [Magdeburg];;False;;True;52.1480633 , 11.6820911;;;;;Berberis aquifolium Nutt.;;;;
B;Herbarium Berolinense;B101200188;11;10043764;BERBERIDACEAE;indet.;sp.;;Polen;True;;;;Dolnośląskie;;;;F. S. [Carl Ferdinand Schwarzer];;;21/05/1868 - 21/05/1868;False;False;;True;;;True;Damsdorf, im Park kult.;False;;;True;51.05553104168793 , 16.360144615173343;;;;False;Mahonia aquifolium (Pursh) Nutt.;;;;
B;Herbarium Berolinense;B100778432;11;10043764;BERBERIDACEAE;indet.;sp.;;Deutschland;True;;;;Berlin;;;False;C. Risch;;False;07/04/1959 - 07/04/1959;False;False;;True;;;True;;;True;C. Risch;False;52.48048001438879 , 13.294830322265627;;;;False;Berberis aquifolium Nutt.;;;;
B;Herbarium Berolinense;B101200215;11;10043764;BERBERIDACEAE;indet.;sp.;;Deutschland;True;;;;Berlin;;;;;;True;10/05/1947 - 10/05/1947;False;False;;True;;;True;Botanischer Garten Berlin-Dahlem;False;;;True;;;;;True;Berberis aquifolium Pursh;;;;
B;Herbarium Berolinense;B100846768;11;10043764;BERBERIDACEAE;indet.;sp.;;Deutschland;;;;False;Berlin;;;False;H. Scholz;;;26/07/1976 - 26/07/1976;;;;True;;;True;"Berlin-Dahlem: Habelschwerdter Allee. An der ""Silberlaube.""";;False;;True;52.4522 , 13.2865;;;;;Mahonia aquifolium (Pursh) Nutt.;;;;
B;Herbarium Berolinense;B100846767;11;10043764;BERBERIDACEAE;indet.;sp.;;Deutschland;;;;False;Berlin;;;False;H.  Scholz;;;26/08/1986 - 26/08/1986;;;;True;;;True;"Berlin-Dahlem: Habelschwerdter Allee. An der ""Silberlaube""";False;;;True;52.4522 , 13.2865;;;;;Mahonia aquifolium (Pursh) Nutt.;;;;
B;Herbarium Berolinense;B100542209;11;10043764;BERBERIDACEAE;indet.;sp.;;Deutschland;False;;;;Baden-Württemberg;;;;R. Böcker;;False;11/04/1995 - 11/04/1995;False;False;KEIM.HDD 24;False;;;True;Wyhlen, Rheinfelden, Hochrheintal, Buchswald;False;;;True;47.55182477191622 , 7.697424888610841;;;;False;Mahonia aquifolium (Pursh) Nutt.;;;;
B;Herbarium Berolinense;B101200230;11;10043764;BERBERIDACEAE;indet.;sp.;;Deutschland;False;;;;Brandenburg;;;;Schmattorsch;;False;20/06/1953 - 20/06/1953;False;False;;True;;;True;Dahme: Rain bei der Niendorfer Düne, südl.;False;;M. Schmattorsch;False;51.85452 , 13.374986922147169;;;;False;Mahonia aquifolium (Pursh) Nutt.;;;;
B;Herbarium Berolinense;B101200170;11;10043764;BERBERIDACEAE;indet.;sp.;;Deutschland;False;;;;Brandenburg;;;;Erwin Koch;;False;;;True;;True;;;True;Bf. Petershagen (verwildert);False;;;True;52.5284008896989 , 13.786468505859377;;;;False;Mahonia aquifolium (Pursh) Nutt.;;;;
B;Herbarium Berolinense;B101201371;11;10043764;BERBERIDACEAE;indet.;sp.;;Deutschland;False;;;;Brandenburg;;;;R. Menzer;;False;01/05/1967 - 01/05/1967;False;False;;True;;;True;Kranichsberge bei Woltersdorf östl. von Berlin.;False;;;True;52.44353343689666 , 13.774623870849611;;;;False;Mahonia aquifolium (Pursh) Nutt.;;;;
B;Herbarium Berolinense;B101200290;11;10043764;BERBERIDACEAE;indet.;sp.;;Deutschland;;;;False;Berlin;;;False;[Kilian];;;01/04/1984 - 30/04/1984;;;181;;;;True;Westberlin, Grunewald nahe Clayallee, Höhe Einmündung Königin-Luise-Str., im Unterholz.;;False;Kilian;;52.459565831150464 , 13.274230957031252;;;;;Mahonia aquifolium (Pursh) Nutt.;;;;
B;Herbarium Berolinense;B101200275;11;10043764;BERBERIDACEAE;indet.;sp.;;Deutschland;False;;;;Brandenburg;;;;Plew;;False;27/04/1993 - 27/04/1993;;False;;True;;;True;07/83 Kiefernwald;False;;;True;52.398583680682584 , 13.227131366729738;;;;False;Mahonia aquifolium (Pursh) Nutt.;;;;
B;Herbarium Berolinense;B101200305;11;10043764;BERBERIDACEAE;indet.;sp.;;;False;;;True;;;;True;Plew;;False;27/04/1993 - 27/04/1993;;;;True;;;True;07/83, Kiefernwald;True;False;;True;;;;;True;Mahonia aquifolium (Pursh) Nutt.;;;;
B;Herbarium Berolinense;B100589979;11;10043764;BERBERIDACEAE;indet.;sp.;;Deutschland;False;;;;Brandenburg;;;;U. Raabe;;False;16/04/2011 - 16/04/2011;False;False;;True;;;True;MTB 3150,3 Bad Freienwalde, Schiffmühle, a. d. Abzweigg. nach Bralitz, Waldrand;False;;;True;52.80753502080207 , 14.040398597717287;;;;False;Mahonia aquifolium (Pursh) Nutt.;;;;
B;Herbarium Berolinense;B101200335;11;10043764;BERBERIDACEAE;indet.;sp.;;Mexiko;;;;False;Hidalgo;;;False;Carl Ehrenberg;;;01/01/1840 - 31/01/1840;;;1115;;F. Fedde;;;Inter Actopan et Pachuca;;False;;True;20.18165697842877 , -98.88244628906251;;;;;Mahonia angustifolia (Hartw. ex Benth.) Fedde;;;;
B;Herbarium Berolinense;B101200320;11;10043764;BERBERIDACEAE;indet.;sp.;;China;False;;;;Yunnan(云南);;;;A. Henry;;False;;;True;10.309;False;Camillo Schneider;;False;Mengtse. Lao Kuei shen;;False;A. Henry;False;23.352993979594483 , 103.38375138105086;;;;;Mahonia alexandri C.K.Schneid.;;;;
B;Herbarium Berolinense;B101001084;11;10043764;BERBERIDACEAE;indet.;sp.;;Deutschland;True;;;;Thüringen;;;;W. Lemke;;False;20/09/1955 - 20/09/1955;False;False;;True;;;True;Jena: Botan. Garten;False;;Willi Lemke,Ludwig;False;;;;;True;×Mahoberberis neubertii (Lem.) C.K.Schneid.;;;;
B;Herbarium Berolinense;B101001075;11;10043764;BERBERIDACEAE;indet.;sp.;;Deutschland;True;;;False;Hessen;;;False;H. Hupke;;;09/08/1946 - 09/08/1946;;;;True;;;True;Kr. Alsfeld, Homberg. Gartenstrasse cult.;;False;Ludwig;;50.751257592574035 , 8.971914052963259;;;;;×Mahoberberis neubertii (Lem.) C.K.Schneid.;;;;
B;Herbarium Berolinense;B101200145;11;10043764;BERBERIDACEAE;indet.;sp.;;China;False;;;;Sichuan(四川);;;;E. H. Wilson;;False;01/09/1908 - 30/09/1908;False;False;2882;False;Camillo Karl Schneider;;False;Western Szechuan;False;;;True;;;;;True;Mahonia fortunei (Lindl.) Fedde;;;;
B;Herbarium Berolinense;B101200115;11;10043764;BERBERIDACEAE;indet.;sp.;;China;False;;;;Hubei(湖北);;;;Henry;;False;01/01/1885 - 31/12/1888;False;False;3117A;False;F. Fedde;;False;Prov. Hupeh;False;;;True;;;;;True;Mahonia fortunei (Lindl.) Fedde;;;;
B;Herbarium Berolinense;B101200190;11;10043764;BERBERIDACEAE;indet.;sp.;;Deutschland;True;;;;Nordrhein-Westfalen;;;;;;True;01/01/1857 - 31/12/1857;False;False;;True;;;True;H. Bonn.;False;;L. C. Treviranus;False;;;;;True;Berberis fortunei Lindl.;;;;
B;Herbarium Berolinense;B101200235;11;10043764;BERBERIDACEAE;indet.;sp.;;China;False;;;;Guangdong(广东);;;;C. Ford;;False;01/11/1888 - 31/12/1888;;False;17;False;Camillo Karl Schneider;;False;North River Kwangtung Prov. China;False;;;True;;;;;True;Mahonia fordii C.K.Schneid.;;;;
B;Herbarium Berolinense;B101200250;11;10043764;BERBERIDACEAE;indet.;sp.;;Mexiko;False;;;;México;;;;H. Ern;;False;22/09/1968 - 22/09/1968;;;217;False;;;True;Nordöstlich Amecameca. Enge, feuchte Barrancas, westexponiert, östlich des Dorfes San Antonio. Oberhalb 2700 herrschen hier am Izta-Westhang Nadelwälder aus Cupressus lindleyi, Abies religiosa, Pinus div. sp. und einzelne Quercus crassipes und Qu. laurina. In 2700 m Höhe.;;False;;True;19.0903158 , -98.7829932;;;;;Mahonia fascicularis DC.;;;;
B;Herbarium Berolinense;B101200160;11;10043764;BERBERIDACEAE;indet.;sp.;;Mexiko;False;;;;México;;;;H. Ern;;False;05/03/1971 - 05/03/1971;False;False;495;False;;;True;zwischen Chalco und Amecameca im Eichenwald, 2450 m;False;;;True;19.191225559987387 , -98.80279541015625;;;;False;Mahonia fascicularis DC.;;;;
B;Herbarium Berolinense;B101200205;11;10043764;BERBERIDACEAE;indet.;sp.;;Mexiko;False;;;;México;;;;H. Ern;;False;05/03/1971 - 05/03/1971;False;False;45/1971;False;H. Ern;;False;Gebiet südöstlich von Tlalmanalco. Eichen-Kiefernmischwälder aus Quercus rugosa, Quercus crassipes, Pinus leiophylla, Cupressus lindleyi etc.;False;;;True;19.181218838434898 , -98.76674652099611;;;;False;Mahonia fascicularis DC.;;;;
B;Herbarium Berolinense;B101200220;11;10043764;BERBERIDACEAE;indet.;sp.;;China;False;;;;Guizhou(贵州);;;False;Emile Bodinier;;False;07/07/1898 - 07/07/1898;;;2468;;H. Léveillé;;;Environs de Kouy-yang, mont du Collège;;False;;True;26.647661 , 106.630154;;;;;Berberis elegans H.Lév.;;;;
B;Herbarium Berolinense;B101200265;11;10043764;BERBERIDACEAE;indet.;sp.;;China;False;;;;Hubei(湖北);;;;E. H. Wilson;;False;01/04/1907 - 30/04/1907;;;2884;;;;True;Western Hupeh.;False;;;True;;;;;True;Mahonia decipiens C.K.Schneid.;;;;
B;Herbarium Berolinense;B101200280;11;10043764;BERBERIDACEAE;indet.;sp.;;China;False;;;;Yunnan(云南);;;;George Forrest;;False;01/11/1910 - 30/11/1910;False;False;7.364;False;H. Takeda;;False;Alt. 7-9,000 ft. Dry open situations on the margins of pine forests on the divide between Hoching and Lichiang valleys. Lat. 26°45'N;False;;;True;26.76155250834357 , 100.26331177883385;;;;False;Mahonia bracteolata Takeda;;;;
B;Herbarium Berolinense;B101200399;11;10043764;BERBERIDACEAE;indet.;sp.;;Indien;False;;;;Uttarakhand;;;;Keshava Nand;;False;01/03/1890 - 31/03/1890;False;False;73;False;H. T.;;False;Jaunsar, N. W. Provinces. Jadi forest (Common in moist places and under oak forests) Altitude 6000 feet;False;;;True;30.75286 , 77.85324;;;;;Mahonia borealis Takeda;;;;
B;Herbarium Berolinense;B101200295;11;10043764;BERBERIDACEAE;indet.;sp.;;Indien;;;;False;Uttarakhand;;;False;Keshava Nand;;;01/03/1890 - 31/03/1890;;;73;;H. T. [Hisayoshi Takeda];;False;Jaunsar, N.-W. Provinces. Jadi forest (Common in moist places and under oak forests) Altitude 6000 feet;;False;;True;30.751135650663684 , 77.85415353304023;;;;False;Berberis nepalensis Spreng.;;;;
B;Herbarium Berolinense;B100575350;11;10043764;BERBERIDACEAE;indet.;sp.;;Russland;True;;;False;Krasnodar krai(Краснодарский край);;;;Poljakova;;;07/07/1957 - 07/07/1957;False;False;2566;False;;;True;"Зап. Закавказье, Адлер, с/х ""«Южные культуры»"", Дендропарк. [Zap. Zakavkaz'ye, Adler, s/kh ""Jushnyje kultury"", Dendropark. West Transkaukasien, Adler, Park ""Südliche Kulturen"", Arboretum.]";True;False;;True;43.419527 , 39.963202;;;;False;Mahonia Nutt.;;;;
B;Herbarium Berolinense;B101200310;11;10043764;BERBERIDACEAE;indet.;sp.;;China;False;;;;Zhejiang(浙江);;;;H. H. Hu;;False;30/08/1920 - 30/08/1920;False;False;207;False;;;True;Nan-Hoo, B. Yengtang. Shady place;False;;;True;30.7502821 , 120.7786275;;;;False;Mahonia bealei (Fortune) Carrière;;;;
B;Herbarium Berolinense;B101200865;11;10043764;BERBERIDACEAE;indet.;sp.;;China;False;;;;Yunnan(云南);;;;George Forrest;;False;01/07/1906 - 31/08/1906;False;False;4345;False;H. Takeda;;False;W. Yunnan. Open situations amongst scrub in side valleys on the eastern flank of the Tali Range. Lat. 25°40'N Alt. 8-10000 ft.;False;;;True;;;;;True;Mahonia longibracteata Takeda;;;;
