specimen - institute;specimen - collection;specimen - code;mission - id;mission - originalID;specimen - family;specimen - genus;specimen - specific_epithet;unusable - cause;country - country;country - growned_plant;country - guessed;country - not_sure;country - no_info;region1 - region;region1 - guessed;region1 - not_sure;region1 - no_info;collect_date - collect_date;collect_date - not_sure;collect_date - no_info;region2 - region;region2 - guessed;region2 - not_sure;region2 - no_info;onecollector - collector;onecollector - not_sure;onecollector - no_info;collector - collector;collector - other_collectors;collector - not_sure;collector - no_info;collect_number - ;collect_number - no_info;owner - question_1;owner - no_info;identifier - identifier;identifier - not_sure;identifier - no_info;locality - locality;locality - not_sure;locality - no_info;geo4 - position;geo4 - description;geo4 - not_sure;geo4 - no_info;scientific_name - scientific_name;geo - position;geo - radius;geo - description;geo - not_sure;geo - no_info
B;Herbarium Berolinense;B 10 1184168;6;7214637;ACANTHACEAE;Ruellia;morongii;;Uruguay;False;;;;Artigas;;;;01/11/1927 - 30/11/1927;;;;;;;Herter;;False;;;;;985;;;True;;;True;Sta. Rosa' Cuareim, Altit. m. s. m. 46-60, camp., argill., sicc., soli exp.;;False;;;;;;-30.225277777777777 , -57.56805555555556;;;;False
B;Herbarium Berolinense;B 10 1181684;6;7214637;ACANTHACEAE;Indet;(ACANT);;Tansania;;;;False;Pwani;;;False;01/12/1915 - 01/12/1915;;;;;;;A. Peter;;;;;;;60353;;A. Peter, Reisen in Afrika 1913-1919;;;;True;D Ost Afrika, Useguha: Saadani → Kissauke. Grassteppe;;False;;;;;;-6.080099586102325 , 38.77367019653321;;;;
B;Herbarium Berolinense;B 10 0703448;6;7214637;ACANTHACEAE;Indet;(ACANT);;Argentinien;;;;False;Tucumán;;;False;07/03/1992 - 07/03/1992;;;;;;;P. Peterson with C. R. Annable;;;;;;;11604;;;True;;;True;Tafi del Valle: Sierra de Quilmes o del Cajon, at Rio Managua. Approximately 7 km W of Colalao del Valle. Elevation: 2170 to 2280 m. Gentle slopes above wash with Bulnesia, Lycium, and Prosopis.;;False;;;;;;-26.348770415807333 , -66.0254583765415;;;;
B;Herbarium Berolinense;B 10 1184090;6;7214637;ACANTHACEAE;Ruellia;geminiflora;;Bolivien;False;;;;La Paz;;;;23/10/1986 - 23/10/1986;False;False;;;;;S. Rilke;;False;;;;;527;False;;True;;;True;Chulumani: Weg nord-östlich von Chulumani zwischewn Feldern (Kaffee, Papaya, Coca), 1600 m.;False;;;;;;;-16.399437561589277 , -67.5273907184601;;;;False
B;Herbarium Berolinense;B 10 1184089;6;7214637;ACANTHACEAE;Ruellia;geminiflora;;Brasilien;False;;;;Mato Grosso;;;;16/10/1964 - 16/10/1964;False;False;;;;;H. S. Irwin & T. R. Soderstrom;;False;;;;;6938;False;;True;D. Wasshausen;;False;Cerrado thicket, ca. 50km N. of Barra do Garças on road to Xavantina. Elev. 300-400m;False;;;;;;;-15.43729 , -52.2011;;;;False
B;Herbarium Berolinense;B 10 0204131;6;7214637;ACANTHACEAE;Ruellia;longipedunculata;;Argentinien;False;;;;Salta;;;;24/10/1991 - 24/10/1991;False;False;;;;;Lazaro Novara, A. Charpin y S. Bruno;;;;;;;10374;False;;True;C. Ezcurre;;;Dpto. Orán, Finca Arazayal, 30 km al W de Aguas Blancas;;False;;;;;;-22.729324795768925 , -64.68183517456056;;;;False
B;Herbarium Berolinense;B 10 1184146;6;7214637;ACANTHACEAE;Ruellia;longipedunculata;;Bolivien;False;;;;Tarija;;;;28/09/1927 - 28/09/1927;False;False;;;;;Troll;;False;;;;;222;False;;True;Erin Tripp;;False;Motovi Sommergr. Wald 1400 m;False;;;;;;;-22.026773461034065 , -64.3846893310547;;;;False
B;Herbarium Berolinense;B 10 1184166;6;7214637;ACANTHACEAE;Ruellia;menthoides;;Venezuela;False;;;;;;;True;01/06/1958 - 30/09/1958;False;False;;;;;;;True;;;;;;True;W. Schwabe;False;E. Tripp;;False;Orinoco-Gebiet;False;;;;;;;;;;;True
B;Herbarium Berolinense;B 10 1184161;6;7214637;ACANTHACEAE;Ruellia;marlothii;;Namibia;False;;;;Erongo;;;;01/01/1953 - 31/12/1954;False;False;;;;;R. Seydel;;False;;;;;258;False;H. u. E. Walter;False;;;True;SW-Afrika Altenbronn, Farm Nudis;False;;;;;;;-22.166666666666668 , 15.583333333333334;;;;False
B;Herbarium Berolinense;B 10 1183856;6;7214637;ACANTHACEAE;Indet;(ACANT);;Liberia;;;;False;Montserrado;;;False;27/01/1909 - 27/01/1909;;;;;;;M. Dinklage;;;;;;;2429;;;True;;;True;Monrovia, Wege in der Stadt mit Lateritboden. Höhe ü. d. M.: c. 20m.;False;;;;;;;6.328034 , -10.797788;;;;
B;Herbarium Berolinense;B 10 1068773;6;7214637;ACANTHACEAE;Indet;(ACANT);;Paraguay;;;;False;Misiones;;;False;01/10/1958 - 31/10/1958;;;;;;;;;True;;;;;;True;W. Schwabe;;;;True;;;True;;;;;;;;;;True
B;Herbarium Berolinense;B 10 0352544;6;7214637;ACANTHACEAE;Indet;(ACANT);;Costa Rica;;;;False;Limón;;;False;11/03/1992 - 11/03/1992;;;;;;;Jens Bittner;;;;;;;1541;;;True;;;True;Cantón de Talamanca, Camp bei Kivut, Trail up from the camp 4 Km southwest of the camp, Primary Forest, 1400-1450 m;;False;;;;;;9.404166666666667 , -83.08472222222221;;;;
B;Herbarium Berolinense;B 10 0351461;6;7214637;ACANTHACEAE;Indet;(ACANT);;Argentinien;;;;False;Salta;;;False;02/12/1998 - 02/12/1998;;;;;;;L. Novara y C. Ezcurra;;;;;;;11129;;Lazaro Juan Novara;;Ludwig Martins;;;Dpto. Capital, Loc.: Cerro San Bernardo. Ladera W. Por el camino carretero, 600-800 m al N del cruce con Ruta 51 de acceso en El Portezuelo. Alt. 1300 m s. m.;;False;;;;;;-24.789358 , -65.3925853;;;;
B;Herbarium Berolinense;B 10 1184060;6;7214637;ACANTHACEAE;Ruellia;cordata;;Südafrika;False;;;;Mpumalanga;;;;04/10/1987 - 04/10/1987;False;False;;;;;K. Balkwill & M-J. Cadman;;False;;;;;3778;False;;True;M-J. Balkwill;;False;Transvaal, Lydenburg District, Valley of Spekboom River. Where the Lydenburg - Ohrigstad road crosses the Spekboom River. At interface between bushveld and grassland. In the grassland. Alt.: 1400 m.;False;;;;;;;-25.00888461091192 , 30.49959182739258;;;;False
B;Herbarium Berolinense;B 10 1184057;6;7214637;ACANTHACEAE;Ruellia;coccinea;;Dominikanische Republik;False;;;;San Cristóbal;;;;14/06/1994 - 14/06/1994;False;False;;;;;F. Jiménez, M. Mejía, D. Polanco;;False;;;;;1575;False;;True;;;True;Cordillera Central: Río Duey, subiendo todo el márgen del río, caminando desde la toma de agua hacia la base de la Loma Humeadora, bosque húmedo perturbado, antes cultivo de Tayota y Cacaotales. elev. 300-600 m;False;;;;;;;18.666666666666668 , -70.26666666666667;;;;False
B;Herbarium Berolinense;B 10 1184046;6;7214637;ACANTHACEAE;Ruellia;chartacea;;Peru;False;;;;Loreto;;;;10/04/1979 - 10/04/1979;False;False;;;;;James Aronson & F. Rodriges;;False;;;;;820;False;;True;D. Wasshausen;;False;Andoos: Capahuari S 20 km de Campamento Andoas;False;;;;;;;-2.533 , -76.5;;;;False
B;Herbarium Berolinense;B 10 1184048;6;7214637;ACANTHACEAE;Ruellia;chartacea;;Ecuador;False;;;;Napo;;;;30/03/1933 - 30/03/1933;False;False;;;;;Erica Heinrichs;;False;;;;;291;False;;True;;;True;Um Tena (Oriente), Monte Ongota, am Rio Misahualli, Boden trocken, 700 m,;False;;;;;;;-0.9732088562704362 , -77.7865505218506;;;;False
B;Herbarium Berolinense;B 10 1184149;6;7214637;ACANTHACEAE;Ruellia;luzoniensis;;Philippinen;False;;;;Zambales;;;;01/11/1924 - 31/12/1924;False;False;;;;;M. Ramos, G. Edaño;;False;;;;;;True;;True;;;True;Anuling Zambales Province Luzon;False;;;;;;;7.0288525 , 121.9585472;;;;False
B;Herbarium Berolinense;B 10 1068822;6;7214637;ACANTHACEAE;Indet;(ACANT);;Bolivien;;;;False;Cochabamba;;;False;29/02/1928 - 29/02/1928;;;;;;;Troll;;;;;;;1722;;;True;;;True;Chinchiri 2800 m;;False;;;;;;-17.1841602 , -66.6097654;;;;
B;Herbarium Berolinense;B 10 1068816;6;7214637;ACANTHACEAE;Indet;(ACANT);;Bolivien;;;;False;Tarija;;;False;27/09/1927 - 27/09/1927;;;;;;;Troll;;;;;;;197;;;True;;;True;Motovi. Sommergr. Wald 1400 m;;False;;;;;;-22.0473292 , -64.374105;;;;
B;Herbarium Berolinense;B 10 1068815;6;7214637;ACANTHACEAE;Indet;(ACANT);;Bolivien;;;;False;Tarija;;;False;27/09/1928 - 27/09/1928;;;;;;;Troll;;;;;;;241;;;True;;;True;Motovi. Sommergrüner Wald 1400 m;;False;;;;;;-22.0473292 , -64.374105;;;;
B;Herbarium Berolinense;B 10 1068812;6;7214637;ACANTHACEAE;Indet;(ACANT);;Bolivien;;;;False;Tarija;;;False;27/09/1927 - 27/09/1927;;;;;;;Troll;;;;;;;293;;;True;;;True;Motovi. Sommergrüner Wald 1400 m;;False;;;;;;-22.0473292 , -64.374105;;;;
B;Herbarium Berolinense;B 10 0514139;6;7214637;ACANTHACEAE;Indet;(ACANT);;Tansania;;;;False;Kigoma;;;False;09/02/1926 - 09/02/1926;;;;;;;A. Peter;;;;;;;46162;;;True;;;True;D Ost Afrika, Landschaft Uvinsa: östlich von Lugufu km 1170.6 - 1159. c. 1060 m ü. M.;;False;;;;;;-5.027971522836738 , 30.150421276473747;;;;False
B;Herbarium Berolinense;B 10 0514167;6;7214637;ACANTHACEAE;Indet;(ACANT);;Tansania;;;;False;Singida;;;False;30/12/1925 - 30/12/1925;;;;;;;A. Peter;;False;;;;;45740;;A.Peter, Reisen in Afrika 1925/26;;;;True;D Ost Afrika [sic!], Turu, Itigi östlich -> Bangayega, Km 623,5;;False;;;;;;-5.722663963036929 , 34.55595016479493;;;;
B;Herbarium Berolinense;B 10 0514171;6;7214637;ACANTHACEAE;Indet;(ACANT);;Tansania;False;;;;Tabora;;;;09/01/1926 - 09/01/1926;False;False;;;;;A. Peter;;False;;;;;45865;False;;True;;;True;D Ost Afrika [sic!], Ngulu: Malongwe > Nyahna  km 730-766. c. 1180 m ü.M.;False;;;;;;;-5.414704897614431 , 33.466672897338874;;;;False
B;Herbarium Berolinense;B 10 0213702;6;7214637;ACANTHACEAE;Indet;(ACANT);;Argentinien;False;;;;Salta;;;;17/01/1987 - 17/01/1987;False;False;;;;;Lazaro Novara;;False;;;;;5826;False;;True;;;True;Dpto. Metán. Loc. Metán. Frente al pueblo, 2 km al W de la ruta 9/34 Alt. 880 msm. En lomadas, vegetación de selva y transición.;;False;;;;;;-25.52996350851125 , -64.98928070068361;;;;False
B;Herbarium Berolinense;B 10 0219751;6;7214637;ACANTHACEAE;Indet;(ACANT);;Argentinien;False;;;;Salta;;;;17/04/1989 - 17/04/1989;False;False;;;;;L. Novara y S. Bruno;;False;;;;;8823;False;Lazaro Juan Novara;False;;;True;Dpto. Capital, La Peña. 3 Km al E de Ruta 51 Km 1570, rumbo a Cabeza de Buey. Alt. 700-800 m s.m. Chaco Serrano Seco, Suelo arcillo arenoso Cuartarico.;False;;;;;;;-24.789422873587256 , -65.16699314117433;;;;False
B;Herbarium Berolinense;B 10 1184077;6;7214637;ACANTHACEAE;Ruellia;drummondiana;;Vereinigte Staaten von Amerika;False;;;;Texas;;;;08/08/1946 - 08/08/1946;False;False;;;;;C. L. York;;False;;;;;46,274;False;;True;;;True;Williamson County. Below bluff among trees in Bushy [Brushy] Creek bottoms near Round Rock.;False;;;;;;;30.51417264209269 , -97.6512908935547;;;;False
B;Herbarium Berolinense;B 10 0528678;6;7214637;ACANTHACEAE;Ruellia;humboldtiana;;Venezuela;False;;;;Yaracuy;;;;21/11/1999 - 21/11/1999;False;False;;;;;Meier, W., Cortez, L. & Elsner, D.;;False;;;;;5723;False;;True;S. Llamozas;;False;Distrito Yaritagua a lo largo de la carretera Yaritagua-Guaremal-Camburito: vegetación secundaria. Altitud 400-600 m s.n.m.;False;;;;;;;10.183333333333334 , -69.08333333333333;;;;False
B;Herbarium Berolinense;B 10 0535368;6;7214637;ACANTHACEAE;Ruellia;humboldtiana;;Venezuela;;;;False;Yaracuy;;;False;23/03/2004 - 23/03/2004;;;;;;;Meier. W. & Escalona, J. L.;;;;;;;10261;;;True;W. Meier;;;Distrito San Felipe. Cordillera de la Costa: Macizo de Nirgua: Montaña El Zapatero: al sureste de San Felipe: vertiente que mira al valle del Río Yaracuy: Reserva Ecológica Privada Guáquira: pica detrás de la Estación Ecológica, 150-350 m s.n.m.;;False;;;;;;10.3 , -68.65;;;;
B;Herbarium Berolinense;B 10 1184144;6;7214637;ACANTHACEAE;Ruellia;latibracteata;;Mexiko;False;;;;Chiapas;;;;05/02/1983 - 05/02/1983;False;False;;;;;Alush Méndez Ton (Alush Shilom Ton);;False;;;;;5425;False;;True;E. Tripp;;False;Agua fría. Mpio. Yajalón. Alt.: 700 m.s.n.m.;False;;;;;;;17.168 , -92.321;;;;False
B;Herbarium Berolinense;B 10 1184143;6;7214637;ACANTHACEAE;Ruellia;latibracteata;;Mexiko;False;;;;Chiapas;;;;15/04/1989 - 15/04/1989;False;False;;;;;E. Martinez S. y M. A. Soto A.;;False;;;;;24186;False;;True;Lucinda McDade + E. Tripp;;False;Mpio. Berriozábal. A 10 km al N de Berriozábal. Alt. 1100 msnm. Veg. Bosque mesófilo de montaña alterado.;False;;;;;;;16.864183729190817 , -93.26457023620605;;;;False
B;Herbarium Berolinense;B 10 0723778;6;7214637;ACANTHACEAE;Indet;(ACANT);;Jemen;;;;False;Sokotra;;;False;01/04/1996 - 01/04/1996;;;;;;;E. v. Raab-Straube;;;;;;;1134;;;True;;;True;Hajhir-Gebirge, SE-Flanke des Dschebel Driet - Höhenbuschwald, schattiger Unterwuchs, Granit 1200 m;;False;;;;;;12.591666666666667 , 54.03611111111111;;;;
B;Herbarium Berolinense;B 10 0544260;6;7214637;ACANTHACEAE;Indet;(ACANT);;Tansania;False;;;;Arusha;;;;05/03/1914 - 05/03/1914;False;False;;;;;A. Peter;;False;;;;;59950;False;A. Peter, Reisen in Afrika 1913-1919;False;;;True;D Ost Afrika, Meru: Oldonyo Ssambu > Engare Nanjuki, 1500 m ü. M.;False;;;;;;;-3.1666666666666665 , 36.7;;;;False
B;Herbarium Berolinense;B 10 0121346;6;7214637;ACANTHACEAE;Ruellia;carnea;;Jemen;False;;;;Al Mahrah;;;;16/11/2000 - 16/11/2000;False;False;;;;;John J. Lavranos;;False;;;;;1660;False;Bruno Mies;False;P. Hein;;False;southernmost plateau on the Ras Fartaq, E of Qadifut. 450 m a.s.l. Expos. E calcareous soil. limestone plateau and slopes.;False;;;;;;;15.6166 , 52.2;;;;False
B;Herbarium Berolinense;B 10 0121349;6;7214637;ACANTHACEAE;Ruellia;carnea;;Jemen;False;;;;Al Mahrah;;;;16/11/2000 - 16/11/2000;False;False;;;;;Bruno Mies;;False;;;;;1678;False;Bruno Mies;False;P. Hein;;False;southernmost plateau on the Ras Fartaq, E of Qadifut. 450 m a.s.l. Expos. E. calcareous soil. limestone plateau and slopes.;False;;;;;;;15.6166 , 52.2;;;;False
B;Herbarium Berolinense;B 10 1184122;6;7214637;ACANTHACEAE;Ruellia;hypericoides;;Brasilien;False;;;False;Goiás;;;;31/10/1964 - 31/10/1964;False;False;;;;;H. S. Irwin & T. R. Soderstrom;;False;;;;;7602;False;;True;;;True;Planalto do Brasil, Serra do Caiapó, Among grasses on cerrado slope, ca. 20 km S. of Caiaponia on road to Jataí. Common. Elev. 800-1000m;;False;;;;;;-17.1066 , -51.87;;;;False
B;Herbarium Berolinense;B 10 1184120;6;7214637;ACANTHACEAE;Ruellia;hypericoides;;Brasilien;False;;;;Rio Grande do Sul;;;;26/01/1955 - 26/01/1955;False;False;;;;;Pivetta;;False;;;;;618;False;;True;Emrich-Rambo;;False;Pestana p. Ijui. In campestribus;False;;;;;;;-28.513219645442977 , -53.98750305175782;;;;False
B;Herbarium Berolinense;B 10 0012073;6;7214637;ACANTHACEAE;Ruellia;geayi;;Madagaskar;False;;;;Toliara;;;;03/03/1943 - 03/03/1943;False;False;;;;;R. Decary;;False;;;;;18891;False;;True;Erin Tripp;;False;Lambonakandro, sables;False;;;;;;;-22.71 , 44.663888888888884;;;;False
B;Herbarium Berolinense;B 10 1184138;6;7214637;ACANTHACEAE;Ruellia;inundata;;Kolumbien;;;;False;Magdalena;;;False;30/11/1945 - 30/11/1945;;;;;;;Oscar Haught;;;;;;;4751;;;True;;;True;Barro Blanco. 20 meters alt. Clay soil, rather moist.;;False;;;;;;9.3822932 , -74.6333543;;;;
B;Herbarium Berolinense;B 10 1184134;6;7214637;ACANTHACEAE;Ruellia;inundata;;Nicaragua;False;;;;Managua;;;;29/12/1968 - 29/12/1968;False;False;;;;;Charles E. Nichols;;False;;;;;1378;False;;True;;;True;In woods. Near beach, Masachapa;False;;;;;;;11.789390468787028 , -86.51716254545342;;;;False
B;Herbarium Berolinense;B 10 1184133;6;7214637;ACANTHACEAE;Ruellia;inundata;;Mexiko;;;;False;Yucatán;;;False;03/01/1977 - 03/01/1977;;;;;;;;;True;;;;;77-136;;W. Schwabe;;F. Ramos Marchena;;;Uxmal;;False;;;;;;20.359956777911968 , -89.77160515898504;;;;
B;Herbarium Berolinense;B 10 1184164;6;7214637;ACANTHACEAE;Ruellia;megachlamys;;Uganda;;;;False;Moroto;;;False;06/10/1902 - 06/10/1902;;;;;;;B. Verdcourt;;;;;;;782;;;True;;;True;Moroto, Base mt.;;False;;;;;;2.5260810855743454 , 34.68068655288481;;;;
B;Herbarium Berolinense;B 10 1184163;6;7214637;ACANTHACEAE;Ruellia;megachlamys;;Tansania;False;;;;Arusha;;;;25/11/1956 - 25/11/1956;False;False;;;;;R. E. S. Tanner;;False;;;;;3307;False;;True;;;True;"N. Prov. Ngorongoro above Olbalbal depression 5000 ft. Side of seasonal watercourse; loosely growing supported by other plants.";False;;;;;;;-3.0417517888476393 , 35.49751281738282;;;;False
B;Herbarium Berolinense;B 10 0013540;6;7214637;ACANTHACEAE;Macrorungia;longistrobus;;Südafrika;False;;;;Mpumalanga;;;;06/05/1989 - 06/05/1989;False;False;;;;;K. Balkwill & M-J. Balkwill;;False;;;;;4489;False;;True;K. Balkwill;;False;Transvaal, Barberton District, Louw's Creek area, On the farm Three Sisters 254 JU. At stream just below camp. Bushveld. Near stream. Alt.: 480 m;;False;;;;;;-25.6487222561666 , 31.304254531860355;;;;False
B;Herbarium Berolinense;B 10 1183778;6;7214637;ACANTHACEAE;Megalochlamys;marlothii;;Namibia;;;;False;Otjozondjupa;;;False;16/02/1963 - 16/02/1963;;;;;;;R. Seydel;;;;;;;3346;;R. Seydel;;K. Vollesen;;;Namibrand Karibib, Otjosondu, Altitudo: ca 1300m;;False;;;;;;-21.243176 , 17.901342;;;;
B;Herbarium Berolinense;B 10 0675075;6;7214637;ACANTHACEAE;Indet;(ACANT);;Tansania;;;;False;Kigoma;;;False;18/02/1926 - 18/02/1926;;;;;;;A. Peter;;;;;;;37046;;A. Peter, Reisen in Afrika 1925/26;;;;True;Deutsch-Ost Afrika [sic!], Ujiji: Machaso [Matiaso] bei Kigoma, c. 840 m ü. M.;;False;;;;;;-4.894906916492046 , 29.760503768920902;;;;
B;Herbarium Berolinense;B 10 1186909;6;7214637;ACANTHACEAE;Indet;(ACANT);;Kenia;;;;False;;;;True;01/09/1972 - 30/09/1972;;;;;;;;;True;;;;;;True;W. Schwabe;;;;True;zwischen Nairobi und Lake Nakuru;;False;;;;;;;;;;True
B;Herbarium Berolinense;B 10 1068804;6;7214637;ACANTHACEAE;Indet;(ACANT);;Venezuela;False;;;;;;;True;01/06/1958 - 30/09/1958;False;False;;;;;;;True;;;;;;True;W. Schwabe;False;;;True;Llanos;False;;;;;;;;;;;True
B;Herbarium Berolinense;B 10 1068801;6;7214637;ACANTHACEAE;Indet;(ACANT);;Kolumbien;False;;;;Putumayo;;;;09/02/1973 - 09/02/1973;False;False;;;;;;;True;;;;;;True;W. Schwabe;False;R. L. Borges;;False;bei Mocoa;False;;;;;;;1.1466295 , -76.6482327;;;;False
B;Herbarium Berolinense;B 10 1068828;6;7214637;ACANTHACEAE;Indet;(ACANT);;Bolivien;;;;False;Tarija;;;False;26/10/1923 - 26/10/1923;;;;;;;K. Pflanz;;;;;;;2140;;;True;;;True;Villamontes, Standort: Palma Sola 550 m ü. d. M., Prärie;;False;;;;;;-21.35150481085856 , -63.45797538757325;;;;
B;Herbarium Berolinense;B 10 1068809;6;7214637;ACANTHACEAE;Indet;(ACANT);;Bolivien;False;;;;Chuquisaca;;;;23/11/1927 - 23/11/1927;;;;;;;C. Troll;;;;;;;612;;;True;;;True;Montecanto (zw. Monteagudo u. Padilla). Feuchter Bergwald. 2400 m;;False;;;;;;-19.51667 , -64.15;;;;
B;Herbarium Berolinense;B 10 1183793;6;7214637;ACANTHACEAE;Megalochlamys;marlothii;;Namibia;;;;False;Kunene;;;False;01/03/1957 - 30/04/1957;;;;;;;B. de Winter & Leistner;;;;;;;5918;;;True;K. Vollesen;;;South West Africa. Kaokoveld.;;False;;;;;;;;;;True
B;Herbarium Berolinense;B 10 1183792;6;7214637;ACANTHACEAE;Megalochlamys;marlothii;;Namibia;False;;;;Kunene;;;;05/05/1957 - 05/05/1957;False;False;;;;;B. de Winter & Leistner;;False;;;;;5735;False;;True;K. Vollesen;;False;South West Africa. Kaokoveld. Hillside with loose round boulders and reddish loamy soil. Orupembe waterhole.;False;;;;;;;-18.159402 , 12.5632026;;;;False
B;Herbarium Berolinense;B 10 1186896;6;7214637;ACANTHACEAE;Indet;(ACANT);;Kenia;False;;;;Nairobi;;;;07/09/1972 - 07/09/1972;False;False;;;;;;;True;;;;;120;False;W. Schwabe;False;;;True;Nairobi/ Tierpark;False;;;;;;;-1.37456595 , 36.83970163880481;;;;False
B;Herbarium Berolinense;B 10 1184081;6;7214637;ACANTHACEAE;Ruellia;elegans;;;True;;;True;;;;True;;;True;;;;;Karl Koch;;False;;;;;;True;Karl Koch;False;;;True;Aus den Park-gewächshäusern;False;;;;;;;;;;;True
B;Herbarium Berolinense;B 10 1184121;6;7214637;ACANTHACEAE;Ruellia;hypericoides;;Brasilien;False;;;;Mato Grosso;;;;12/10/1964 - 12/10/1964;False;False;;;;;H. S. Irwin & T. R. Soderstrom;;False;;;;;6815;False;;True;D. Wasshausen;;False;Planalto du Brasil. Vicinity of Xavantina. Among cerrado grasses, ca. 90 km N. of Xavantina. Elev. 300-400 m.;False;;;;;;;-13.85468 , -52.37946;;;;
B;Herbarium Berolinense;B 10 1184119;6;7214637;ACANTHACEAE;Ruellia;hypericoides;;Brasilien;False;;;;Rio Grande do Sul;;;;20/11/1946 - 20/11/1946;False;False;;;;;E. Henz;;False;;;;;35695;False;;True;Emrich-Rambo;;False;S. Leopoldo. In campestribus graminosis;False;;;;;;;-29.749190310031675 , -51.108032869211286;;;;False
B;Herbarium Berolinense;B 10 1184107;6;7214637;ACANTHACEAE;Ruellia;heteromorpha;;Vereinigte Staaten von Amerika;False;;;;Florida;;;;10/01/1953 - 10/01/1953;False;False;;;;;E. P. Killip;;False;;;;;42494;False;;True;;;True;Monroe Co.: Big Pine Key;False;;;;;;;24.69490673503474 , -81.37508869171144;;;;False
