specimen - institute;specimen - collection;specimen - code;mission - id;mission - originalID;specimen - family;specimen - genus;specimen - specific_epithet;unusable - cause;country - country;country - growned_plant;country - guessed;country - not_sure;country - no_info;region1 - region;region1 - guessed;region1 - not_sure;region1 - no_info;collect_date - collect_date;collect_date - not_sure;collect_date - no_info;collector - collector;collector - other_collectors;collector - not_sure;collector - no_info;collect_number - ;collect_number - no_info;identifier - identifier;identifier - not_sure;identifier - no_info;locality - locality;locality - not_sure;locality - no_info;geo - position;geo - description;geo - not_sure;geo - no_info
B;Herbarium Berolinense;B 10 0001464;2;5006053;Gnetaceae;Gnetum;buchholzianum;;Kamerun;False;;;;Littoral;;;;01/02/1874 - 28/02/1874;False;False;Buchholz;;;False;;True;Engler, A.;;False;Kamerun, Abo;False;;4.2237823 , 9.7227951;;False;
B;Herbarium Berolinense;B 10 0001513;2;5006053;Gnetaceae;Gnetum;buchholzianum;;Kamerun;False;;;;Sud-Ouest;;;False;21/01/1896 - 21/01/1896;False;False;Staudt;;;False;543;False;;;True;Johann Alb. Höhe;;False;4.6378368 , 9.4409446;Kumba;;False
B;Herbarium Berolinense;B 10 0001466;2;5006053;Gnetaceae;Gnetum;buchholzianum;;Kamerun;;;;False;Centre;;;False;01/01/1890 - 31/12/1892;;;Zenker;;;;;True;;;True;Kamerun. Jaunde-Station.;;False;3.864254155118072 , 11.501306251894572;Yaoundé, CUY, Mfoundi, Centre, Cameroun;;False
B;Herbarium Berolinense;B 10 1039029;2;5006053;Gnetaceae;Gnetum;arboreum;;Philippinen;;;;False;Rizal;;;False;15/03/1906 - 15/03/1906;;;A. Loher;;;;7132;;;;True;Rizal, Angilog;;False;14.883333333333333 , 121.33333333333333;;;False
B;Herbarium Berolinense;B 10 1039030;2;5006053;Gnetaceae;Gnetum;arboreum;;Philippinen;False;;;;Rizal;;;;01/11/1926 - 30/11/1926;False;False;Ramos, Edano;;;;;True;;;True;Mt. Tokduanbanoy, Rizal Province, Luzon;False;;14.760222222222222 , 121.30191111111111;;;False
B;Herbarium Berolinense;B 10 0268945;2;5006053;Gnetaceae;Gnetum;africanum;;Kamerun;False;;;;Sud;;;;;;True;G. [Georg August] Zenker;;;False;;True;;;True;Bipindi;False;;3.078241 , 10.41199;;;
B;Herbarium Berolinense;B 10 0268950;2;5006053;Gnetaceae;Gnetum;africanum;;Kamerun;;;;False;Sud;;;False;24/08/1896 - 24/08/1896;;;G. Zenker;;;;1061;;;;True;Bipinde, Höhe ü. d. M.: 85 - 90;;False;3.078241 , 10.41199;;;False
B;Herbarium Berolinense;B 10 0268946;2;5006053;Gnetaceae;Gnetum;africanum;;Kamerun;False;;;;Sud;;;;;;True;G. Zenker;;;False;;True;;;True;Bipindi;False;;3.078241 , 10.41199;;;
B;Herbarium Berolinense;B 10 0001463;2;5006053;Gnetaceae;Gnetum;africanum;;Angola;;;;False;;;;True;;;True;Wehr;;;;1224;;;;True;Angola;;False;;;;True
B;Herbarium Berolinense;B 10 1039040;2;5006053;Gnetaceae;Gnetum;cuspidatum;;Indonesien;True;;;;West Java;;;;;;True;;;;True;;True;Mgf. [F. Markgraf];;False;Patria: Borneo. Cult. in Hort. Bog[oriensis] XV. A. 21 a;False;;-6.5962986 , 106.7972421;;;
B;Herbarium Berolinense;B 10 1039039;2;5006053;Gnetaceae;Gnetum;cuspidatum;;Indonesien;True;;;False;West Java;;;False;01/05/1925 - 31/05/1925;;;;;;True;;True;Mgf. [F. Markgraf];;;Patria: Java, Noesa Kambangan [Central-Java] c. H. B. [Hortus Bogoriensis] sub no. XV A 7a;;False;-6.5962986 , 106.7972421;;;False
B;Herbarium Berolinense;B 10 1039041;2;5006053;Gnetaceae;Gnetum;cuspidatum;;Indonesien;False;;;;;;;True;;;True;;;;True;;True;Markgraf;;False;Sumatra;False;;;;;True
B;Herbarium Berolinense;B 10 1039042;2;5006053;Gnetaceae;Gnetum;cuspidatum;;Malaysia;False;;;;Perak;;;;01/04/1886 - 30/04/1886;False;False;Dr. King's Collector;;;False;8804;False;Markgraf;;False;Perak: open bamboo forests, 500 to 700 ft;False;;;;;True
B;Herbarium Berolinense;B 10 1039038;2;5006053;Gnetaceae;Gnetum;cuspidatum;;Indonesien;;;;False;Riau;;;False;20/02/1919 - 20/02/1919;;;Docters v. Leeuwen;;;;3264;;Mgf. [F. Markgraf];;;Sumatra. Ondern: Kaboko. ca 150 M.;;False;-0.6033333333333333 , 101.91111111111111;;;False
B;Herbarium Berolinense;B 10 1039037;2;5006053;Gnetaceae;Gnetum;cuspidatum;;Indonesien;False;;;;West Java;;;;01/01/1928 - 01/01/1928;False;False;Bakhuizen van den Brink;;;False;7272;False;Bakh<uizen van den Brink>;;False;Buitenzorg <Bogor>. Pasir Spis G<unung> Paroengpoeng. 700 m.;False;;-6.599167 , 106.596944;;;
B;Herbarium Berolinense;B 10 1039036;2;5006053;Gnetaceae;Gnetum;cuspidatum;;Indonesien;False;;;;;;;True;;;True;Sehlmeyer;;;False;;True;;;True;Sumatra;False;;;;;True
B;Herbarium Berolinense;B 10 1039035;2;5006053;Gnetaceae;Gnetum;cuspidatum;;Indonesien;False;;;;;;;True;;;True;;;;True;;True;;;True;Sumatra.;False;;;;;True
B;Herbarium Berolinense;B 10 0001468;2;5006053;Gnetaceae;Gnetum;cuspidatum;;Indonesien;False;;;;;;;True;;;True;Korthals;;;False;;True;;;True;Sumatra;False;;;;;True
B;Herbarium Berolinense;B 10 0001467;2;5006053;Gnetaceae;Gnetum;cuspidatum;;Indonesien;;;;False;;;;True;;;True;Ko [Korthals];;;;;True;;;True;Sumatra;;False;;;;True
B;Herbarium Berolinense;B 10 1039034;2;5006053;Gnetaceae;Gnetum;costatum;;Papua-Neuguinea;False;;;;Madang;;;;01/12/1898 - 31/12/1898;False;False;Erik Nyman;;;False;139;False;Mgf. [F. Markgraf];;False;Stephansort;False;;-5.4333 , 145.7333;;;
B;Herbarium Berolinense;B 10 1039033;2;5006053;Gnetaceae;Gnetum;costatum;;Papua-Neuguinea;False;;;;Oro;;;;25/03/1936 - 25/03/1936;False;False;C. E. Carr;;;False;16242;False;;;True;Kokoda, forest, Altitude: c. 1200 feet;False;;-8.8772658 , 147.7374036;;;
B;Herbarium Berolinense;B 10 0086026;2;5006053;Gnetaceae;Gnetum;costatum;;Papua-Neuguinea;False;;;;Madang;;;;01/01/1886 - 31/12/1888;;False;[Max] Hollrung;;;False;483;False;Mgf. [F. Markgraf];;False;Innerer Hochwald v. Constantinhafen, Kaiser Wilhelmsland;False;;-5.471097825684822 , 145.73364257812503;;;
B;Herbarium Berolinense;B 10 0138056;2;5006053;Gnetaceae;Gnetum;camporum;;Guyana;;;;False;Cuyuni-Mazaruni;;;False;29/12/1989 - 29/12/1989;;;L. J. Gillespie with D. R. Smart;;;;2925;;T. Hollowell;;;Mazaruni River, between Imbaidamai and Iruwa River. Elevation: 550 - 560 m.;;False;5.7 , -60.28333333333333;;;False
B;Herbarium Berolinense;B 10 1039031;2;5006053;Gnetaceae;Gnetum;campestre;;Malaysia;False;;;;Perak;;;;01/07/1884 - 31/07/1884;False;False;L. Wray Jr.;;;False;3783;False;;;True;Upper Perak, 1000 ft;False;;;;;True
B;Herbarium Berolinense;B 10 1039047;2;5006053;Gnetaceae;Gnetum;diminutum;;Malaysia;;;;False;Sabah;;;False;27/04/1933 - 27/04/1933;;;J. & M. S. Clemens;;;;32991;;Markgraf;;;Plants of Mount Kinabalu B. N. Borneo, Marai Parai 5000 ft.;;False;6.0750667 , 116.5587;;;False
B;Herbarium Berolinense;B 10 1039048;2;5006053;Gnetaceae;Gnetum;diminutum;;Malaysia;;;;False;Sabah;;;False;08/06/1933 - 08/06/1933;;;J. & M. S. Clemens;;;;32475;;F. Markgraf;;;Mount Kinabalu, Colombon river 6000 ft;;False;6.0750667 , 116.5587;;;False
B;Herbarium Berolinense;B 10 1039050;2;5006053;Gnetaceae;Gnetum;diminutum;;Malaysia;;;;False;Sabah;;;False;08/06/1933 - 08/06/1933;;;J. & M. S. Clemens;;;;32475;;Mgf. [F. Markgraf];;;Mount Kinabalu, Colombon river 6000 ft;;False;6.072141666666666 , 116.56205833333333;;;False
B;Herbarium Berolinense;B 10 1039049;2;5006053;Gnetaceae;Gnetum;diminutum;;Malaysia;False;;;;Sabah;;;;08/06/1933 - 08/06/1933;False;False;J. & M. S. Clemens;;;False;32475;False;Markgraf;;False;Plants of Mount Kinabalu, Colombon river 6000 ft.;False;;6.0750667 , 116.5587;;;False
B;Herbarium Berolinense;B 10 1039051;2;5006053;Gnetaceae;Gnetum;diminutum;;Malaysia;False;;;;Sabah;;;;05/04/1933 - 05/04/1933;False;False;J. & M. S. Clemens;;;False;32601;False;Mgf. [F. Markgraf];;False;Mount Kinabalu, Marai Parai 6000 ft.;False;;6.084711320751566 , 116.53696060180665;;;
B;Herbarium Berolinense;B 10 1039046;2;5006053;Gnetaceae;Gnetum;cuspidatum;;Indonesien;;;;False;North Sulawesi;;;False;02/05/1926 - 02/05/1926;;;H. J. Lam;;;;2760;;Markgraf;;;Selebes. Talaud Eil. P<Pulau=Insel> Karakelang 170 m;;False;4.1227959 , 126.7666119;;;False
B;Herbarium Berolinense;B 10 1039045;2;5006053;Gnetaceae;Gnetum;cuspidatum;;Indonesien;;;;False;North Sulawesi;;;False;02/06/1926 - 02/06/1926;;;H. J. Lam;;;;3317;;Markgraf;;;Selebes. Talaud Eil.: P. Karakelang. O. helling G <Gunung=Berg> Piapi 350 m;;False;4.1227959 , 126.7666119;;;False
B;Herbarium Berolinense;B 10 1039044;2;5006053;Gnetaceae;Gnetum;cuspidatum;;Indonesien;False;;;;North Sulawesi;;;;08/05/1926 - 08/05/1926;False;False;H. J. Lam;;;False;2909;False;Markgraf;;False;Selebes <Sulawesi> Talaud Eil. 250 m. P. Karakelong Z W helling G. Doeata;False;;4.345213100543452 , 126.79613113403322;;;
B;Herbarium Berolinense;B 10 0001472;2;5006053;Gnetaceae;Gnetum;funiculare;"""Kein Belege""";Indonesien;;;;False;Central Java;;;False;;;True;;;;True;1705;;Markgraf;;;Nusa Kambang[an];;False;-7.725960993491655 , 108.90129089355469;;;False
B;Herbarium Berolinense;B 10 0001471;2;5006053;Gnetaceae;Gnetum;funiculare;;Indonesien;;;;False;Central Java;;;False;;;True;;;;True;1705;;Markgraf;;;Nusa Kambangan;;False;-7.719156814632162 , 108.90712738037111;;;False
B;Herbarium Berolinense;B 10 0001474;2;5006053;Gnetaceae;Gnetum;funiculare;;Indonesien;False;;;;;;;True;;;True;Bl [Blume];;;False;199;False;;;True;Java;False;;;;;True
B;Herbarium Berolinense;B 10 0001473;2;5006053;Gnetaceae;Gnetum;funiculare;;Indonesien;;;;False;;;;True;;;True;;;;True;199;;;;True;Java;;False;;;;True
B;Herbarium Berolinense;B 10 0001469;2;5006053;Gnetaceae;Gnetum;formosum;;Vietnam;;;;False;Thanh Hóa;;;False;31/08/1920 - 31/08/1920;;;Poilane;;;;1689;;;;True;Annam: La Han, prov. de Thanh hoa;;False;20.360555555555557 , 105.21194444444444;;;False
B;Herbarium Berolinense;B 10 0509553;2;5006053;Gnetaceae;Gnetum;gnemon;;Deutschland;True;;;;Berlin;;;;01/11/1933 - 30/11/1933;False;False;Berger-Landefeldt;;;False;;True;;;True;Hort. Bot. Berol. cult.;False;;52.45564869856526 , 13.307026443426496;;;
B;Herbarium Berolinense;B 10 1039080;2;5006053;Gnetaceae;Gnetum;gnemon;;Papua-Neuguinea;;;;False;Morobe;;;False;27/08/1970 - 27/08/1970;;;B. G. Briggs;;;;3813;;;;True;Gabensis Logging area c. 20 km W. of Lae;;False;-6.741000178514406 , 146.45874023437503;;;False
B;Herbarium Berolinense;B 10 1039079;2;5006053;Gnetaceae;Gnetum;gnemon;;Papua-Neuguinea;;;;False;East Sepik;;;False;13/05/1912 - 13/05/1912;;;Ledermann;;;;7255;;Mgf. [F. Markgraf];;;Pionierlager Sepik. Sumpfwald  m. wenigen großen Bäumen. M.-H.: 20 - 40 m;;False;;;;True
B;Herbarium Berolinense;B 10 1039078;2;5006053;Gnetaceae;Gnetum;gnemon;;Papua-Neuguinea;False;;;;East Sepik;;;False;11/03/1912 - 11/03/1912;;;C. Ledermann;;;;6552;;Mgf. [F. Markgraf];;;Hauptlager Malu, mittlerer Sepik, M.-H.: 50 - 80 m;;False;-4.218041 , 142.822534;;;False
B;Herbarium Berolinense;B 10 1039075;2;5006053;Gnetaceae;Gnetum;gnemon;;Indonesien;False;;;;North Sulawesi;;;;;;True;H. J. Lam;;;False;3113;False;Markgraf;;False;Selebes, Talaud Eil., P. Salibahoe (Insel Salebabu) z. helling G. Ajambana, alt. 250 m;;False;3.9162 , 126.6881;;;False
B;Herbarium Berolinense;B 10 1039076;2;5006053;Gnetaceae;Gnetum;gnemon;;Fidschi;;;;False;Central;;;False;26/11/1968 - 26/11/1968;;;;;;True;;True;;;True;"Insel Viti Levu, Suva, am Hotel ""Tradewind""";;False;-18.111630498617824 , 178.40144485549249;;;
B;Herbarium Berolinense;B 10 1039077;2;5006053;Gnetaceae;Gnetum;gnemon;;Fidschi;False;;;;Central;;;;26/11/1968 - 26/11/1968;False;False;;;;True;;True;;;True;"Fiji/ Insel Viti Levu, Suva, am Hotel ""Tradewind""";False;;-18.109609366485646 , 178.39977024891422;;;
B;Herbarium Berolinense;B 10 1039072;2;5006053;Gnetaceae;Gnetum;gnemon;;Indonesien;;;;False;North Sulawesi;;;False;16/05/1926 - 16/05/1926;;;H. J. Lam;;;;3034;;Markgraf;;;Selebes, Talaud Eil., [Kerakelong] Koeala [=Fluss] Bahewa ca 15 m;;False;4.28141 , 126.7174;https://www.geody.com/geospot.php?world=terra&map=col&ufi=-2681285&alc=plk&start=50;;False
B;Herbarium Berolinense;B 10 1039074;2;5006053;Gnetaceae;Gnetum;gnemon;;Indonesien;False;;;;Banten;;;;19/05/1843 - 19/05/1843;False;False;Zollinger;;;False;1315;False;;;True;Java [Caringin, Banten];False;;-6.3139743 , 106.5786376;;;
B;Herbarium Berolinense;B 10 1039073;2;5006053;Gnetaceae;Gnetum;gnemon;;Indonesien;False;;;;West Papua;;;;07/05/1926 - 07/05/1926;False;False;Docters van Leeuwen;;;False;9020;False;Markgraf;;False;N. Guinea. Albatros Bivak, 50 m;False;;-1.6861579269987852 , 137.83172607421878;;;
B;Herbarium Berolinense;B 10 1039071;2;5006053;Gnetaceae;Gnetum;gnemon;;Myanmar;False;;;;Tanintharyi;;;;25/01/1927 - 25/01/1927;False;False;R. N. Parker;;;False;2489;False;Markgraf;;False;District Mergui, Sarawa chaung, shrub  flowering  at 1-2 m high;False;;12.8312371 , 98.9424396;;;False
B;Herbarium Berolinense;B 10 1039070;2;5006053;Gnetaceae;Gnetum;gnemon;;Singapur;;;;False;;;;True;20/10/1966 - 20/10/1966;;;;;;True;;True;;;True;;;True;;;;True
B;Herbarium Berolinense;B 10 1039069;2;5006053;Gnetaceae;Gnetum;gnemon;;Singapur;False;;;;;;;True;20/10/1966 - 20/10/1966;False;False;;;;True;;True;;;True;Singapur;False;;;;;True
B;Herbarium Berolinense;B 10 1039061;2;5006053;Gnetaceae;Gnetum;gnemon;;Malaysia;;;;False;Pulau Pinang;;;False;09/04/1991 - 09/04/1991;;;Ralf Jahn;;;;;True;Ralf Jahn;;;Pulau Penang, Fußweg von der Biological Field Station U.S.M. in der Bucht Telok Aling nach Telok Bahang, Höhe: 10 m;;False;5.466666666666667 , 100.18333333333334;Etikett-Angabe;;False
B;Herbarium Berolinense;B 10 1039067;2;5006053;Gnetaceae;Gnetum;gnemon;;Indonesien;;;;False;Riau;;;False;30/03/1928 - 30/03/1928;;;C. G. G. J. van Steenis;;;;743;;v. Steenis;;;W. kust van eiland Siantan, ca. 50 m, oerwoud;;False;3.166740520348088 , 106.21152877807619;;;False
B;Herbarium Berolinense;B 10 1039068;2;5006053;Gnetaceae;Gnetum;gnemon;;Indonesien;True;;;False;West Java;;;False;;;True;;;;True;;True;;;True;Hort[us] Bog[oriensis];;False;-6.5962986 , 106.7972421;;;False
B;Herbarium Berolinense;B 10 0056572;2;5006053;Gnetaceae;Gnetum;gnemon;;Papua-Neuguinea;;;;False;East Sepik;;;False;13/07/1990 - 13/07/1990;;;W. Takeuchi;;;;6058;False;W. Takeuchi;;;"East Sepik Province; Hunsteun Range, on the trail from Bani to Gipa. 100 - 150 m elevation";;False;-4.467 , 142.717;;;False
B;Herbarium Berolinense;B 10 0056639;2;5006053;Gnetaceae;Gnetum;gnemon;;Papua-Neuguinea;;;;False;East Sepik;;;False;15/07/1990 - 15/07/1990;;;W. Takeuchi;;;;6103;;W. Takeuchi;;;"Hunstein Range, near site ""Gipa"" along the main treamcourse, ca. 150 m elevation";;False;-4.4666 , 142.7166;Etikett-Angabe;;False
B;Herbarium Berolinense;B 10 1039066;2;5006053;Gnetaceae;Gnetum;gnemon;;Indonesien;False;;;;Riau Islands;;;;01/04/1928 - 01/04/1928;False;False;C. G. G. van Steenis;;;False;880;False;Van Steenis;;False;Eiland Siantan, NW v. Terimpa [Terempa];False;;3.1775386167362476 , 106.21273040771486;;;
B;Herbarium Berolinense;B 10 1039065;2;5006053;Gnetaceae;Gnetum;gnemon;;Indonesien;True;;;False;West Java;;;False;;;True;;;;True;;True;;;True;Cult. in Hort. Bog[oriensis] V. F. 22 a. Patria: Japan;;False;-6.5962986 , 106.7972421;;;False
B;Herbarium Berolinense;B 10 1039064;2;5006053;Gnetaceae;Gnetum;gnemon;;Philippinen;;;;False;Sulu;;;False;01/09/1924 - 30/09/1924;;;M. Ramos, G. Edano;;;;;True;;;True;Jolo, Sulu Province;;False;6.0536561 , 121.0002644;;;False
B;Herbarium Berolinense;B 10 1039063;2;5006053;Gnetaceae;Gnetum;gnemon;;Papua-Neuguinea;;;;False;Gulf;;;False;23/01/1966 - 23/01/1966;;;W. Schiefenhövel;;;;;True;;;True;East New Guinea, Ero village;;False;-7.4483483 , 144.367154244417;;;False
B;Herbarium Berolinense;B 10 1039062;2;5006053;Gnetaceae;Gnetum;gnemon;;Papua-Neuguinea;;;;False;Gulf;;;False;19/03/1966 - 19/03/1966;;;W. Schiefenhövel;;;;15;;;;True;East New Guinea, near Baimuru;;False;-3.6967977 , 143.3061445;;;False
B;Herbarium Berolinense;B 10 1039053;2;5006053;Gnetaceae;Gnetum;gnemon;;Fidschi;;;;False;Central;;;False;02/11/1927 - 02/11/1927;;;John W. Gillespie;;;;3670;;;;True;Viti Levu, Naitasiri Prov. Woods in vicinity of Nasinu, 9 ml. from Suva, alt. 150 m.;;False;-18.0942 , 178.4856;;;False
