specimen - institute;specimen - collection;specimen - code;mission - id;mission - originalID;specimen - family;specimen - genus;specimen - specific_epithet;unusable - cause;country - country;country - growned_plant;country - guessed;country - not_sure;country - no_info;region1 - region;region1 - guessed;region1 - not_sure;region1 - no_info;region2 - region;region2 - guessed;region2 - not_sure;region2 - no_info;collect_date - collect_date;collect_date - not_sure;collect_date - no_info;collector - collector;collector - other_collectors;collector - not_sure;collector - no_info;collect_number - ;collect_number - no_info;identifier - identifier;identifier - not_sure;identifier - no_info;locality - locality;locality - not_sure;locality - no_info;geo - position;geo - description;geo - not_sure;geo - no_info;scientific_name - same_as_label;scientific_name - scientific_name;scientific_name - not_in_list;scientific_name - family;scientific_name - genus;scientific_name - epiteth;owner - question_1;owner - no_info
B;Herbarium Berolinense;B 10 0418744;3;6384204;Caryophyllaceae;Dianthus;zonatus var. zonatus;;Türkei;False;;;;Konya;;;;;;;;10/08/2005 - 10/08/2005;False;False;Harald Kürschner & Gerald Parolly;;;False;05-43;False;;;True;Yenişarbademlı, NW of Gölkaya, Düzağac Mevkii, 1600-1750 m.;False;;37.805611111111105 , 31.361583333333336;;;;;;;;;;;
B;Herbarium Berolinense;B 10 1181225;3;6384204;Caryophyllaceae;Dianthus;x hellwigii;;Deutschland;False;;;;Thüringen;;;;;;;;01/07/1880 - 31/07/1880;False;False;M. Schulze;;;False;;True;;;True;Sandfelsen über Maua nach Dörfchen Sulza hin;False;;50.87016565480301 , 11.606755256652834;;;;;;;;;;;
B;Herbarium Berolinense;B 10 1181222;3;6384204;Caryophyllaceae;Dianthus;x hellwigii;;Deutschland;False;;;;Hessen;;;;;;;;12/07/1900 - 12/07/1900;False;False;Dürer;;;False;;True;;;True;Taunusgebirge, Strassengraben bei Altweilnau.;False;;50.31576390974343 , 8.41582775115967;;;;;;;;;;;
B;Herbarium Berolinense;B 10 1008628;3;6384204;Caryophyllaceae;Dianthus;x lucae;;Polen;False;;;;Kujawsko-Pomorskie;;;;;;;;09/07/1879 - 11/10/1879;False;False;Scharlok;;;False;;True;;;True;Graudenz [Grudziądz]: Im Rondsener Wäldchen neben den reinen Arten.;False;;53.45724008460673 , 18.724136352539066;;;;;;;;;;;
B;Herbarium Berolinense;B 10 1181241;3;6384204;Caryophyllaceae;Dianthus;x saxatilis;;Frankreich;;;;False;Auvergne;;;False;;;;;10/08/1934 - 10/08/1934;;;Ch. d'Alleizette;;;;;True;;;True;"Puy-de-Dôme; Env. de Clermont-Fd., Entre le Gd. et le Pt. Puy de Dôme: alt. v. 1230 m.";;False;45.776684 , 2.966638;;;False;;;;;;;;
B;Herbarium Berolinense;B 10 1181242;3;6384204;Caryophyllaceae;Dianthus;x saxatilis;;Frankreich;False;;;;Auvergne;;;;;;;;19/08/1932 - 19/08/1932;False;False;Ch. d'Alleizette;;;False;;True;;;True;"Puy-de-Dôme; Env. de Clermont-Fd., Entre le Gd. et le Pt. Puy de Dôme: alt. v. 1230 m.";False;;45.77668396023189 , 2.966637612262276;;;;;;;;;;;
B;Herbarium Berolinense;B 10 1181185;3;6384204;Caryophyllaceae;Dianthus;xylorrhizus;;Griechenland;;;;False;Chania(Νομός Χανίων);;;False;;;;;30/04/1982 - 30/04/1982;;;W. Greuter & H. Risse;;;;19396;;;;True;Eparchie Kissamos: N-Hänge des Berges Profitis Ilias S von Platanos. Kalkfelswände in N-Exposition, 600-700 m;;False;35.44555555555555 , 23.59583333333333;;;False;;;;;;;;
B;Herbarium Berolinense;B 10 0260626;3;6384204;Caryophyllaceae;Dianthus;zangezuricus;;Armenien;False;;;False;Syunik(Սյունիք);;;;;;;;09/07/2003 - 09/07/2003;False;False;George Fayvush, Kamilla Tamanyan, Hasmik Ter-Voskanian, Ernst Vitek;;;False;03-1464;False;A. Nersesyan;;False;"Besides main road Echegnadzor to Goris, c. 8 km ENE from Sisian, remarkable hill of volcanic slag; 1880 m s. m.";False;;39.70444444444445 , 45.68666666666666;;;;;;;;;;;
B;Herbarium Berolinense;B 10 0260603;3;6384204;Caryophyllaceae;Dianthus;zangezuricus;;Armenien;False;;;;Syunik(Սյունիք);;;;;;;;08/07/2003 - 08/07/2003;False;False;George Fayvush, Kamilla Tamanyan, Hasmik Ter-Voskanian, Ernst Vitek;;;False;03-1331;False;A. Nersesyan;;False;Area SW of Goris, c. 1,5 km S of Tatev, SW of Tandzatap, small valley and slopes SW of the road. 1520-1680 m s. m.;False;;39.36527777777778 , 46.24583333333334;;;;;;;;;;;
B;Herbarium Berolinense;B 10 0259188;3;6384204;Caryophyllaceae;Dianthus;zangezuricus;;Armenien;False;;;;Syunik(Սյունիք);;;;;;;;07/07/2003 - 07/07/2003;False;False;George Fayvush, Kamilla Tamanyan, Hasmik Ter-Voskanian, Ernst Vitek;;;False;03-1138;False;A. Nersesyan;;False;"Eastern part of Zangezur Mts., W of road from Goris to Kapan, road to village Bardzravan, between Bardzravan and old church of Beheno-Noravankh; 1620-1650 m s. m.";False;;39.38444444444444 , 46.33777777777778;;;False;;;;;;;;
B;Herbarium Berolinense;B 10 1181186;3;6384204;Caryophyllaceae;Dianthus;zederbaueri;;Türkei;;;;False;Kars;;;False;;;;;31/07/1981 - 31/07/1981;;;Raus;;;;4606;;D. Höner;;;Aigir Gölü (50 km östlich von Göle), 2200 m. Felsspalten und Felsbänder am Steilufer des Sees.;;False;38.836932160929564 , 42.83191680908204;;;False;;;;;;;;
B;Herbarium Berolinense;B 10 1181187;3;6384204;Caryophyllaceae;Dianthus;zederbaueri;;Türkei;False;;;;Artvin;;;False;;;;;04/08/1981 - 04/08/1981;;;Raus;;;;4782;;D. Höner;;;Yalnizcam-Gebirge bei Karaköy, östlich von Savsat, 2600 m. Felsspalten und Felsbänder in Kalkfelsen oberhalb der Waldgrenze.;;False;41.216618928858644 , 42.480783462524414;;;False;;;;;;;;
B;Herbarium Berolinense;B 10 0013387;3;6384204;Caryophyllaceae;Dianthus;zeyheri;;Südafrika;False;;;;KwaZulu-Natal;;;;;;;;06/12/1984 - 06/12/1984;False;False;K. Balkwill & M-J. Cadman;;;False;2352;False;K. Balkwill;;False;Alfred District, 10 km east of Harding, on the farm Rooiwal, adjacent to Bedford Farm. Grassland near stream. Alt.: 820 m.;False;;-30.58731111111111 , 29.998841666666667;;;;;;;;;;;
B;Herbarium Berolinense;B 10 0013388;3;6384204;Caryophyllaceae;Dianthus;zeyheri;;Südafrika;False;;;;KwaZulu-Natal;;;;;;;;20/11/1984 - 20/11/1984;False;False;K. Balkwill & M.-J. Cadman;;;False;2205;False;K. Balkwill;;False;Natal, Umzinto District, Vernon Crookes Nature Reserve. Grassland on the plateau. Alt.: 450 m.;False;;-30.276118209882405 , 30.580816267174672;;;;;;;;;;;
B;Herbarium Berolinense;B 10 1181207;3;6384204;Caryophyllaceae;Dianthus;zonatus;;Deutschland;True;;;False;Berlin;;;False;;;;;21/07/1983 - 21/07/1983;;;Schwerdtfeger;;;;245-76-81-10;;;;True;Kultiviert im Botanischen Garten Berlin. Ursprungsfundort: Türkei, Hatay, Amanus-Gebirge bei Atik, 5 km N Belen, 750 m, leg. H. Ern, 6876, 8.9.1981, det. H. Scholz;;False;52.454911022694276 , 13.30470085144043;;;False;;;;;;;;
B;Herbarium Berolinense;B 10 1181208;3;6384204;Caryophyllaceae;Dianthus;zonatus;;Türkei;False;;;;Niğde;;;;;;;;25/07/1984 - 25/07/1984;False;False;Güven Görk, Per Hartvig & Arne Strid;;;False;23966;False;A. S. [Arne Strid];;False;Aladağ, NW part, foothills SSE of the village of Demirkazık Köyü, 1600-1800 m. Deforested rocky slopes, heavily grazed. Limestone and conglomerate.;False;;37.75 , 35.13333333333333;;;;;;;;;;;
B;Herbarium Berolinense;B 10 1181206;3;6384204;Caryophyllaceae;Dianthus;zonatus;;Türkei;False;;;;Hatay;;;;;;;;08/09/1981 - 08/09/1981;False;False;H. Ern;;;False;6876;False;H. Ern;;False;Amanus-Gebirge bei Atik, 5 km nördl. Belen. 750 m.;False;;36.491550000000004 , 36.15615277777778;;;;;;;;;;;
B;Herbarium Berolinense;B 10 1181204;3;6384204;Caryophyllaceae;Dianthus;zonatus;;Türkei;False;;;;Hatay;;;;;;;;17/07/1854 - 17/07/1854;False;False;B. Balansa;;;False;101;False;;;True;Yaïla de Bozdagh (Tmolus occidental), sur les collines.;False;;36.8037869853087 , 36.37710571289063;;;;;;;;;;;
B;Herbarium Berolinense;B 10 0642334;3;6384204;Caryophyllaceae;Dianthus;zonatus;;Türkei;False;;;;Niğde;;;;;;;;13/08/1992 - 13/08/1992;False;False;P. Hein;;;False;103-3;False;P. Hein;;False;Ala Dağları: 1 km nördlich von Sokulupınar, 3 km SO Demirkazik Köy. Dornpolsterformation, Kalk, 2000 m.;False;;37.8282648985572 , 35.114107131958015;;;;;;;;;;;
B;Herbarium Berolinense;B 10 1181205;3;6384204;Caryophyllaceae;Dianthus;zonatus;;Türkei;False;;;;Niğde;;;;;;;;19/08/1992 - 19/08/1992;False;False;P. Hein;;;False;109-11;False;P. Hein;;False;Ala Dağları: Karamük Boğazı-Schlucht südlich Demirkazik Köy, erste linke Abzweigung zum Çimbar-Boğazı. Felsiger Schluchtgrund, 1900 m.;False;;37.7 , 35.416666666666664;;;;;;;;;;;
B;Herbarium Berolinense;B 10 1181209;3;6384204;Caryophyllaceae;Dianthus;zonatus;;Deutschland;True;;;False;Berlin;;;False;;;;;09/07/1986 - 09/07/1986;;;Schöller/Schw.;;;;20471;;I. Hagemann;;;Kult. im Bot. Garten Berlin-Dahlem, Anzucht, Alpengarten. - Samenherkunft: Türkei: Provinz Usak, Murat-Massiv, 10 km nördlich von Dumlupinar, südexponierter Hang mit Polsterpflanzengesellschaft, schotterreiches Substrat, stark beweidet. 1100 m. ü. M. I. Hagemann, J. Binder, W. Schwarz. 2695. 10.10.1984.;;False;52.45594401424411 , 13.303542137145998;;;False;;;;;;;;
B;Herbarium Berolinense;B 10 1181191;3;6384204;Caryophyllaceae;Dianthus;zonatus;;Türkei;;;;False;Isparta;;;False;;;;;07/10/1984 - 07/10/1984;;;I. Hagemann, J. Binder, W. Schwarz;;;;2580;;U- Matthäs;;;Sultan-Massiv, 2 km NO von Cankurtaran, 1500 m ü. M.;;False;38.270154879586705 , 31.404858827590946;;;False;;;;;;;;
B;Herbarium Berolinense;B 10 1181190;3;6384204;Caryophyllaceae;Dianthus;zonatus;;Griechenland;False;;;;Chios(Νομός Χίου);;;;;;;;12/06/1966 - 12/06/1966;False;False;S. Lüdtke;;;False;551;False;;;True;Insel Chios: Kalkplateau NW von Chios (18 km) auf der Straße nach Vollissos, anstehende Kalke, baumlos, ca. 600-700 m. ü. M.;False;;38.489025 , 26.025413888888888;;;;;;;;;;;
B;Herbarium Berolinense;B 10 1181189;3;6384204;Caryophyllaceae;Dianthus;zonatus;;Griechenland;;;;False;Chios(Νομός Χίου);;;False;;;;;15/06/1991 - 15/06/1991;;;Sven & Britt Snogerup;;;;8182;;;;True;Nom. Chiou, Ep. Chiou, Chios: 0.5 km SW of Agios Georgios Sykousis, small cliff and rocky roadside, 350 m.;;False;38.31666666666667 , 26.05;;;False;;;;;;;;
B;Herbarium Berolinense;B 10 0082470;3;6384204;Caryophyllaceae;Dianthus;zonatus;;Türkei;False;;;;Muğla;;;;;;;;28/06/1999 - 28/06/1999;False;False;M. Döring, G. Parolly & D. Tolimir;;;False;157;False;M. Döring;;False;Lycian Akdağları above Gömbe, around Yeşil Göl, N edge. Open thorn-cushion communities and scree rich swards, alt. 1800 m. Limestone.;False;;36.558502777777775 , 29.6137;;;;;;;;;;;
B;Herbarium Berolinense;B 10 0054896;3;6384204;Caryophyllaceae;Dianthus;zonatus;;Türkei;;;;False;Muğla;;;False;;;;;27/06/1999 - 27/06/1999;;;M. Döring, G. Parolly & D. Tolimir;;;;135;;D. Tolimir;;;Lycian Akdağları above Gömbe, area between the Şubası Yayla and an unnamed lateral summit of Uyluk Tepe. Alt. 2400 m.;;False;36.55679722222222 , 29.60276388888889;;;False;;;;;;;;
B;Herbarium Berolinense;B 10 1181214;3;6384204;Caryophyllaceae;Dianthus;zonatus;;Türkei;;;;False;Isparta;;;False;;;;;06/10/1984 - 06/10/1984;;;I. Hagemann, J. Binder, W. Schwarz;;;;2550;;U. Matthäs;;;Cicekdaglari-Massiv, 30 km südöstlich von Aksu, anstehender Kalkstein mit feinerdereichen Nischen, 1700 m ü. M., vereinzelt Pinus nigra, S-Exposition.;;False;37.69676898094079 , 31.155526019687954;;;False;;;;;;;;
B;Herbarium Berolinense;B 10 1181213;3;6384204;Caryophyllaceae;Dianthus;zonatus;;Türkei;False;;;;Ankara;;;;;;;;26/09/1984 - 26/09/1984;False;False;I. Hagemann, J. Binder, W. Schwarz;;;False;2079;False;U. Matthäs;;False;Bei Ahiboz, südlich Ankara, 1000 m ü. M., Artemisia-Steppe mit Acantholimon und Astragalus, Schotterböden auf Kalkgestein.;False;;39.605438 , 32.848846;;;;;;;;;;;
B;Herbarium Berolinense;B 10 1181212;3;6384204;Caryophyllaceae;Dianthus;zonatus;;Türkei;False;;;;Ankara;;;;;;;;26/09/1984 - 26/09/1984;False;False;I. Hagemann, J. Binder, W. Schwarz;;;False;2068;False;U. Matthäs;;False;Bei Ahiboz, südlich Ankara, 1000 m ü. M., Artemisia-Steppe mit Acantholimon und Astragalus, Schotterböden auf Kalkgestein.;False;;39.600861111111115 , 32.85031388888889;;;;;;;;;;;
B;Herbarium Berolinense;B 10 1181188;3;6384204;Caryophyllaceae;Dianthus;zonatus;;Griechenland;False;;;;Chios(Νομός Χίου);;;;;;;;01/07/1942 - 31/07/1942;False;False;Rauh;;;False;;True;Baschant;;False;Chios;False;;38.37581315 , 26.0646552461705;;;False;;;;;;;;
B;Herbarium Berolinense;B 10 0679323;3;6384204;Caryophyllaceae;Dianthus;zonatus;;Türkei;False;;;;;;;True;;;;;01/01/1843 - 31/12/1843;False;False;C. Pinard;;;False;;True;;;True;Caria;False;;;;;True;;;;;;;;
B;Herbarium Berolinense;B 10 1181201;3;6384204;Caryophyllaceae;Dianthus;zonatus;;Türkei;False;;;;İzmir;;;;;;;;01/06/1932 - 30/06/1932;False;False;O. Schwarz;;;False;345;False;;;True;"Smyrna; Tahtalidağ supra Bunarbaşi; in lapidosis calcareis regionis supremae; 1000-1200 m. s. m.";False;;38.26861111111111 , 28.218888888888888;;;False;;;;;;;;
B;Herbarium Berolinense;B 10 1181200;3;6384204;Caryophyllaceae;Dianthus;zonatus;;Türkei;False;;;;Muğla;;;;;;;;10/06/1955 - 10/06/1955;False;False;H. und E Walter;;;False;316;False;A. Huber-Morath;;False;Fahrt Fethiye --> Inçealiler [İncealiler];False;;36.68011666666666 , 29.413175;;;;;;;;;;;
B;Herbarium Berolinense;B 10 1181197;3;6384204;Caryophyllaceae;Dianthus;zonatus;;Türkei;False;;;;Denizli;;;;;;;;06/06/1955 - 06/06/1955;False;False;H.  und E. Walter;;;False;142;False;A. Huber-Morath;;False;Oberhalb Denizli, Pinus brutia-Wald;False;;37.772885075342224 , 29.147415161132816;;;;;;;;;;;
B;Herbarium Berolinense;B 10 1008638;3;6384204;Caryophyllaceae;Dianthus;waldsteinii;;Slowenien;False;;;;Bohinj;;;False;;;;;24/07/1884 - 24/07/1884;False;False;G. Poscharsky;;;False;;True;;;True;Flor. Carniolica [Krain], Wochein: an Felsen b. Feistritz [Bohinjska Bistrica];False;;46.27292 , 13.953041;;;;;;;;;;;
B;Herbarium Berolinense;B 10 1181174;3;6384204;Caryophyllaceae;Dianthus;waldsteinii;;Slowenien;False;;;;Bohinj;;;;;;;;24/07/1884 - 24/07/1884;False;False;G. Poscharsky;;;False;;True;;;True;Wochein: Felsen bei Feistritz [Wochein Feistritz = Bohinjska Bistrica].;;False;46.2723743 , 13.9538827;;;False;;;;;;;;
B;Herbarium Berolinense;B 10 1181172;3;6384204;Caryophyllaceae;Dianthus;waldsteinii;;Kroatien;;;;False;Istarska;;;False;;;;;01/07/1908 - 31/07/1908;;;F. Stolba;;;;;True;;;True;Auf Flytsch [Flysch]. Reifenberg, Istrien.;;False;45.85569208289631 , 13.78918075351976;;;;;;;;;;;
