specimen - institute;specimen - collection;specimen - code;mission - id;mission - originalID;specimen - family;specimen - genus;specimen - specific_epithet;unusable - cause;country - country;country - growned_plant;country - guessed;country - not_sure;country - no_info;region1 - region;region1 - guessed;region1 - not_sure;region1 - no_info;region2 - region;region2 - guessed;region2 - not_sure;region2 - no_info;collect_date - collect_date;collect_date - not_sure;collect_date - no_info;onecollector - collector;onecollector - not_sure;onecollector - no_info;collector - collector;collector - other_collectors;collector - not_sure;collector - no_info;collect_number - ;collect_number - no_info;owner - question_1;owner - no_info;identifier - identifier;identifier - not_sure;identifier - no_info;locality - locality;locality - not_sure;locality - no_info;geo4 - position;geo4 - description;geo4 - not_sure;geo4 - no_info;scientific_name - scientific_name;geo - position;geo - radius;geo - description;geo - not_sure;geo - no_info
B;Herbarium Berolinense;B 10 0140117;4;7214750;Zingiberaceae;Alpinia;sp.;;Vietnam;False;;;;Quảng Ninh;;;;;;;;03/05/1939 - 22/06/1939;False;False;W. T. Tsang;;False;;;;;29028;False;Herbarium of the Botanical Survey, Lignan University Canton, China;False;;;True;Taai Wong Mo Shan, near Chuk-phai Ha-coi, Tonkin;False;;;;;;;21.4666 , 107.5833;;;;False
B;Herbarium Berolinense;B 10 1022721;4;7214750;Zingiberaceae;Alpinia;sp.;;Indonesien;;;;False;West Papua;;;False;;;;;04/03/1976 - 04/03/1976;;;P. Hiepko et W. Schultze-Motel;;;;;;;1266;;Museum botanicum Berolinense;;Kai Larsen;;;Eipomek-Tal. Von Einheimischen aus der Gegend von Kapcedama gebracht. Höhe ü. d. M.: 2000 m;;False;;;;;;-4.453190893555791 , 140.02884149551394;;;;
B;Herbarium Berolinense;B 10 1022718;4;7214750;Zingiberaceae;Alpinia;sp.;;Papua-Neuguinea;;;;False;East Sepik;;;False;;;;;01/01/1912 - 31/12/1913;;;C. Ledermann;;;;;;;8602;;Museum botanicum Berolinense;;Kai Larsen;;;Sepik-Gebiet;;False;;;;;;;;;;True
B;Herbarium Berolinense;B 10 1022716;4;7214750;Zingiberaceae;Alpinia;sp.;;Papua-Neuguinea;;;;False;Eastern Highlands;;;False;;;;;28/11/1966 - 28/11/1966;;;Ernst Borgmann;;;;;;;415;;;True;;;True;Neuguinea  Goglme, ca. 2000 m  Bongugl;;False;;;;;;-5.907 , 145.033;;;;
B;Herbarium Berolinense;B 10 1022756;4;7214750;Zingiberaceae;Boesenbergia;plicata var. lurida;;Thailand;;;;False;Satun(สตูล);;;False;;;;;16/10/1970 - 16/10/1970;;;Ch. Charoenphol, Kai Larsen & E. Warncke;;;;;;;3896;;Herbarium Jutlandicum (AAU) Botanisk Institut Aarhus Universitet;;Kai Larsen;;;Peninsular: Nam Tok Baripath, 70 km N of Satun;;False;;;;;;7.033 , 100.185;;;;
B;Herbarium Berolinense;B 10 1022751;4;7214750;Zingiberaceae;Boesenbergia;curtisii;;Thailand;;;;False;Phang Nga(พังงา);;;False;;;;;20/07/1972 - 20/07/1972;;;Kai Larsen, Supee S. Larsen, I. Nielsen & T. Santisuk;;;;;;;31169;;Herbarium Jutlandicum (AAU) Botanisk Institut Aarhus Universitet;;Kai Larsen;;;Peninsular: Kao Nang Hong N of Phangnga. Foothill of steep limestone mountain. Alt 100-150 m;;False;;;;;;8.533333333333333 , 98.55;;;;
B;Herbarium Berolinense;B 10 1022795;4;7214750;Zingiberaceae;Costus;comosus var. comosus;;Costa Rica;;;;False;Puntarenas;;;False;;;;;28/08/1950 - 29/08/1950;;;Paul H. Allen;;;;;;;5625;;;True;P. J. M. Maas;;;In brushy places above rocky beaches, vicinity Delta of the Rio Esquinas, Golfo Dulce, Alt. 0 m.;;False;;;;;;8.722388333255296 , -83.3249473545584;;;;False
B;Herbarium Berolinense;B 10 1022772;4;7214750;Zingiberaceae;Costus;amazonicus subsp. amazonicus;;Ecuador;;;;False;Pastaza;;;False;;;;;03/04/1956 - 03/04/1956;;;Erik Asplund;;;;;;;20526;False;;True;P. J. M. Maas;;;Prov. Napo-Pastaza, Shell mera, alt c. 900 m.;;False;;;;;;-1.5000632055501557 , -78.05790424346925;;;;
B;Herbarium Berolinense;B 10 1022806;4;7214750;Zingiberaceae;Costus;guanaiensis var. tarmicus;;Bolivien;False;;;;La Paz;;;;;;;;30/03/1926 - 09/04/1926;False;False;G. H. H. Tate;;False;;;;;442;False;Herb. Acad. Rheno-Trai. [Academia Rheno-Trajectina, Utrecht],The New York Botanical Garten;False;P. J. M. Maas;;False;Mapiri, alt. 2000 feet.;False;;;;;;;-15.3119195618082 , -68.21346759796144;;;;False
B;Herbarium Berolinense;B 10 1022836;4;7214750;Zingiberaceae;Costus;productus var. productus;;Peru;;;;False;San Martin;;;False;;;;;02/04/1975 - 02/04/1975;;;Jose Schunke Vigo;;;;;;;8191;;;True;H. Maas & P. J. M. Maas;;;Almendras, camino a Pueblo Viejo. San Martín, Prov. Mariscal Cáceres,  Tocache Nuevo. En bosque alto con mucha sombra. Sobre el mar 400 meters.;False;False;;;;;;-8.185 , -76.511;;;;
B;Herbarium Berolinense;B 10 1022880;4;7214750;Zingiberaceae;Costus;spicatus;;Dominikanische Republik;;;;False;San Cristóbal;;;False;;;;;22/10/1946 - 22/10/1946;;;R. A. & E. S. Howard;;;;;;;9557;;;True;P. J. M. Maas;;;prov. Trujillo.  Near Altagracia on Duarte Highway.;;False;;;;;;18.698041572370034 , -70.18881797790529;;;;
B;Herbarium Berolinense;B 10 1022878;4;7214750;Zingiberaceae;Costus;spectabilis;;;False;;;True;;;;True;;;;;18/06/1865 - 18/06/1865;False;False;;;True;;;;;;True;;True;P. J. M. & H. Maas;;False;In Gallabas (?) an der Gendua (?);False;;;;;;;;;;;True
B;Herbarium Berolinense;B 10 1022858;4;7214750;Zingiberaceae;Costus;scaber;;Guyana;False;;;;Upper Takutu-Upper Essequibo;;;;;;;;15/10/1992 - 15/10/1992;False;False;M. J. Jansen-Jacobs, B. J. H. ter Welle, H. J. M. Sipman, V. James;;False;;;;;2956;False;;True;P. J. M. Maas;;False;Rupununi District, Kuyuwini Landing, Kuyuwini River. Forest. 150-250 m;False;;;;;;;2.0833 , -59.25;;;;False
B;Herbarium Berolinense;B 10 0140294;4;7214750;Zingiberaceae;Etlingera;cevuga;;Samoa;False;;;;Atua;;;False;;;;;07/01/1991 - 07/01/1991;False;False;Art Whistler;;;;;;;7935;;;True;;;True;Ta'u, Li'u Bench on the south side of the island, elevation 280 m, uncommon.;;False;;;;;;-14.245000277617951 , -169.458703994751;;;;
B;Herbarium Berolinense;B 10 1022911;4;7214750;Zingiberaceae;Dimerocostus;strobilaceus subsp. strobilaceus;;Panama;False;;;;;;;True;;;;;07/06/1874 - 07/06/1874;False;False;Otto Kuntze;;False;;;;;1873;False;Otto Kuntze;False;P. J. M. Maas;;False;Monkhill;False;;;;;;;;;;;True
B;Herbarium Berolinense;B 10 1022123;4;7214750;Xyridaceae;Xyris;subulata;;;False;;;True;;;;True;;;;;;;True;;;True;;;;;;True;1. Ex herb. Humb.,2. Ex Hb. Kunth;False;Conert;;False;;;True;;;;;;;;;;True
B;Herbarium Berolinense;B 10 0311242;4;7214750;Zingiberaceae;Costus;dubius;;Togo;;;;False;Plateaux;;;False;;;;;11/08/1979 - 11/08/1979;;;U. Scholz, P. Koumassi, H. Kühn et H. Peuker;;;;;;;531;;;True;P. J. M. & H. Maas;;;22 km westl. von Atakpamé, Wald an der Straße nach Badou. 650 m.;;False;;;;;;7.54124 , 0.995636;;;;
B;Herbarium Berolinense;B 10 1022832;4;7214750;Zingiberaceae;Costus;pictus;;Guatemala;False;;;False;Escuintla;;;False;;;;;01/03/1890 - 31/03/1890;False;False;John Donnell Smith;;;;;;;2036;False;United States National Herbarium,Herb. Acad. Rheno-Trai.;False;P. J. M. Maas;;False;Escuintla, alt. 1100 pp.;False;;;;;;;14.320276096900685 , -90.74707031250001;;;;False
B;Herbarium Berolinense;B 10 1022879;4;7214750;Zingiberaceae;Costus;spectabilis;;Sudan;False;;;;Al Qadarif;;;;;;;;18/06/1865 - 18/06/1865;False;False;G. Schweinfurth;;;;;;;;True;;True;P. J. M. & H. Maas;;;Gallabat an der Gendua;;False;;;;;;12.961589466965151 , 36.15201473236085;;;;
B;Herbarium Berolinense;B 10 1022860;4;7214750;Zingiberaceae;Costus;scaber;;Französisch-Guayana;False;;;False;(Guyane Française);;;;;;;;03/02/1984 - 03/02/1984;False;False;J. J. de Granville, C. C. Berg, M. J. Jansen-Jacobs, J. van Setten;;False;;;;;6482;False;de Granville;False;P. J. M. Maas;;False;"Montagne de la Trinitè, sommet NE top of ""table mountain"", low forest on lateritic crust, ca. 620 m.";False;;;;;;;4.595375569555019 , -53.35776329040528;;;;False
B;Herbarium Berolinense;B 10 1022859;4;7214750;Zingiberaceae;Costus;scaber;;Guyana;False;;;;Upper Takutu-Upper Essequibo;;;;;;;;23/01/1994 - 23/01/1994;False;False;M. J. Jansen-Jacobs, B. J. H. ter Welle, A. Chanderbali, U. Raghoenandan, V. James,;;False;;;;;3309;False;Herbarium of Utrecht University (U);False;P. J. M. Maas;;False;Rupununi Distr., Kanuku Mts., Crabwood Cr., Camp 2. Forest, on brown loamy sand.;False;;;;;;;3.1166666666666667 , -59.1;;;;False
B;Herbarium Berolinense;B 10 1022889;4;7214750;Zingiberaceae;Costus;woodsonii;;Panama;False;;;;Bocas del Toro;;;False;;;;;13/02/1941 - 13/02/1941;False;False;H. von Wedel;;False;;;;;2080;False;United States National Herbarium,Herb. Acad. Rheno-Trai.;False;P. J. M. Maas;;False;Vicinity of Chiriqui Lagoon, Old Bank Isl.;False;;;;;;;8.92984371074701 , -82.07336425781251;;;;False
B;Herbarium Berolinense;B 10 1022922;4;7214750;Zingiberaceae;Geostachys;angustifolia;;Thailand;False;;;;Nakhon Si Thammarat(นครศรีธรรมราช);;;;;;;;28/04/1928 - 28/04/1928;False;False;A. F. G. Kerr;;False;;;;;15438;False;;True;Kai Larsen;;False;Kao Luanj [Khao Luang], evergreen forest;False;;;;;;;8.420833333333333 , 99.69555555555556;;;;False
B;Herbarium Berolinense;B 10 1022912;4;7214750;Zingiberaceae;Dimerocostus;strobilaceus subsp. strobilaceus;;Peru;;;;False;Loreto;;;False;;;;;27/10/1898 - 27/10/1898;;;J. Huber;;;;;;;1384;;;True;P. J. M. Maas;;;Rio Ucayali, Quebrada de Canchahuayo;;False;;;;;;-6.983468292584501 , -75.10567188262941;;;;
B;Herbarium Berolinense;B 10 1022942;4;7214750;Zingiberaceae;Globba;schomburgkii;;Thailand;False;;;;Chanthaburi(จันทบุรี);;;;;;;;27/08/1972 - 27/08/1972;False;False;Kai Larsen, Supee S. Larsen, I. Nielsen & T. Santisuk;;False;;;;;32110;False;;True;Kai Larsen;;False;South-Eastern: Khao Phra Bat N of Chanthaburi. Open evergreen jungle. alt. 100 m.;False;;;;;;;12.5333 , 102.16666;;;;False
B;Herbarium Berolinense;B 10 1022121;4;7214750;Xyridaceae;Xyris;subulata;;Peru;False;;;;Huanuco;;;False;;;;;;;True;;;True;;;;;;True;Herbar Barcelona Ruiz & Pavon;False;;;True;Flor. Per. habitat locis humidis Silcay ad Pillao. habitat in altis frigidis Pillao locis humidis, stagnatisque.;False;;;;;;;;;;;True
B;Herbarium Berolinense;B 10 1022127;4;7214750;Xyridaceae;Xyris;tenella f. subtenella;;Paraguay;False;;;;Canindeyú;;;;;;;;;;True;E. Hassler;;False;;;;;5166;False;E. Hassler;;Conert;;False;"In altoplanitie et decliviis ""Sierra de Maracayú""";False;;;;;;;;;;;True
B;Herbarium Berolinense;B 10 1022080;4;7214750;Xyridaceae;Xyris;savanensis;;Venezuela;False;;;;Guárico;;;;;;;;08/01/1968 - 08/01/1968;False;False;H. und E. Walter;;False;;;;;487;False;H. u. E. Walter;False;;;True;Südlich von Calabozo. Moridral[?] Villasmil, anmooriger Boden;False;;;;;;;8.865227755300342 , -67.4279022216797;;;;False
B;Herbarium Berolinense;B 10 1022070;4;7214750;Xyridaceae;Xyris;rigidiformis;;Brasilien;;;;False;Mato Grosso;;;False;;;;;08/05/1903 - 08/05/1903;;;Gust. O. A:n Malme [Gustaf Oskar Andersson Malme];;;;;;;3259;;;True;Conert;;;Aricá [Fluss] pr. Cuyabá.;;False;;;;;;-15.603628036923114 , -56.049327850341804;;;;
B;Herbarium Berolinense;B 10 1022098;4;7214750;Xyridaceae;Xyris;setigera;;Guyana;False;;;;Potaro-Siparuni;;;;;;;;29/08/1961 - 29/08/1961;False;False;Bassett Maguire, Celia K. Maguire and G. Wilson-Browne;;;;;;;45988;;;True;;;True;Southern Pakaraima Mountains, Kopinang Savanna, Kopinang Falls, altitude 2700 feet.;;False;;;;;;4.955577660937215 , -59.85560752889825;;;;
B;Herbarium Berolinense;B 10 1022112;4;7214750;Xyridaceae;Xyris;stenostachya;;Venezuela;False;;;;Amazonas;;;;;;;;13/09/1977 - 13/09/1977;False;False;Otto Huber;;False;;;;;1046;False;;True;J. A. Steyermark;;False;"Terreno situado entre la Carretera hacia Samariapo y la pista de aterrizaje del Aeropuerto de Puerto Ayacucho; Alt.: aprox. 75 m s.n.m.";;False;;;;;;5.617 , -67.602;;;;False
B;Herbarium Berolinense;B 10 1021269;4;7214750;Velloziaceae;Barbacenia;delicatula;;Brasilien;False;;;;Minas Gerais;;;;;;;;18/01/1972 - 18/01/1972;False;False;L. B. Smith, E. S. Ayensu & G. Hatschbach;;False;;;;;15975;False;United States National Herbarium;;;;True;Rio Santo António, Conceição do Mato Dentro;False;False;;;;;;-19.035507022565188 , -43.427367210388184;;;;False
B;Herbarium Berolinense;B 10 1021265;4;7214750;Velloziaceae;Barbacenia;coronata;;Brasilien;False;;;;Minas Gerais;;;;;;;;;;True;G. Hatschbach;;False;;;;;27513;False;;True;P. F. Ravenna;;False;Caminho ao Pico Itambé (mun. S. Antonio do Itambé);False;;;;;;;-19.4449661 , -43.4036754;;;;False
B;Herbarium Berolinense;B 10 1021260;4;7214750;Velloziaceae;Barbacenia;blanchetii;;Brasilien;False;;;;Bahia;;;;;;;;08/02/1974 - 08/02/1974;False;False;R. M. Harley, S. A. Renvoize, C. M. Erskine, C. A. Brighton & R. Pinheiro;;False;;;;;16120 A;False;Herbarium Kewense,United States National Herbarium;;L. B. Smith & E. S. Ayensu;;False;Serra do Sincorá;False;;;;;;;;;;;True
B;Herbarium Berolinense;B 10 1021258;4;7214750;Velloziaceae;Barbacenia;andersonii;;Brasilien;;;;False;Goiás;;;False;;;;;09/03/1973 - 09/03/1973;;;William R. Anderson;;False;;;;;6704;False;;True;;;True;"Chapada dos Veadeiros, 27 km by road N of Alto Paraíso; elev. ca. 1750 m; wet, seeping sedge meadow, sloping up to rocky cerrado with sandstone outcrops.";False;;;;;;;-13.97971380001794 , -47.505912780761726;;;;False
B;Herbarium Berolinense;B 10 0471116;4;7214750;Velloziaceae;Barbacenia;ignea;;Brasilien;False;;;;Minas Gerais;;;;;;;;29/03/2004 - 29/03/2004;False;False;R. Mello-Silva, J. R. Pirani, J. Lovo, M. A. Farinaccio, P. D. Oliveira & D. Y. A. C. Santos;;False;;;;;2554;False;;True;R. Mello-Silva;;False;Diamantina: estrada para Biribiri, 10 km da rovodia Diamantina -  Couto de Magalhães de Minas (BR 367). Elev. 1000 m. Campo limpo, brejo e pequenos afloramentos rochosos.;False;;;;;;;-18.158055555555553 , -43.61694444444444;;;;False
B;Herbarium Berolinense;B 10 1022167;4;7214750;Xyridaceae;Xyris;sp.;;Südafrika;False;;;;Mpumalanga;;;;;;;;28/11/1893 - 28/11/1893;False;False;R. Schlechter;;False;;;;;3815;False;Bot. Museum der Universität Zürich;False;;;True;Kl. Olifant Rivier 1620 m;False;;;;;;;-25.961633100001457 , 29.71836090087891;;;;False
B;Herbarium Berolinense;B 10 1022166;4;7214750;Xyridaceae;Xyris;sp.;;Südafrika;False;;;;KwaZulu-Natal;;;;;;;;26/06/1893 - 26/06/1893;False;False;R. Schlechter;;False;;;;;2825;False;;True;;;True;in humidis pr. Claremont 12 m;False;;;;;;;-29.780320692491927 , 30.928745269775394;;;;False
B;Herbarium Berolinense;B 10 1022165;4;7214750;Xyridaceae;Xyris;sp.;;Malawi;False;;;;Rumphi;;;;;;;;05/01/1959 - 05/01/1959;False;False;Mrs. H. M. Richards [i.e. Mary Alice Eleanor Richards];;False;;;;;10517;False;Ex Herb. Hort. Bot. Reg. Kew.;False;;;True;Rumpi District, Nyika Plateau, road to Chelinda, Alt. 2100 m. In wet bog below road;False;;;;;;;-10.58704652341624 , 33.808965682983406;;;;False
B;Herbarium Berolinense;B 10 1022164;4;7214750;Xyridaceae;Xyris;sp.;;Malawi;False;;;;Rumphi;;;;;;;;23/10/1958 - 23/10/1958;False;False;N. K. B. Robson and Angus;;False;;;;;280;False;;True;;;True;Nyasaland: Northern Province. Nyika Plateau, Lake Kaulime. Alt. 2200 m. Tussocky marshland at edge of lake.;False;;;;;;;-10.576057188047137 , 33.75972032546998;;;;False
B;Herbarium Berolinense;B 10 1022161;4;7214750;Xyridaceae;Xyris;sp.;;Sambia;;;;False;Northern;;;;;;;;30/08/1956 - 30/08/1956;;;Mrs. H. M. Richards;;;;;;;6033;;Ex Herb. Hort. Bot. Reg. Kew.;;;;True;Abercorn District. Kawimbe area. In wet ditch, marsh Lumi River close to bridge. Alt. 1500 m.;;False;;;;;;-8.928508260330597 , 31.730532646179203;;;;False
B;Herbarium Berolinense;B 10 1022194;4;7214750;Xyridaceae;Xyris;sp.;;Australien;;;;False;Western Australia;;;False;;;;;16/09/1958 - 16/09/1958;;;H.  und E. Walter;;;;;;;759;;Herbarium H. u. E. Walter;;E. W.;;;Zwischen Watheroo und Geraldton, auf Sand;;False;;;;;;-29.64986867797229 , 115.84808349609376;;;;
B;Herbarium Berolinense;B 10 1022193;4;7214750;Xyridaceae;Xyris;sp.;;Australien;False;;;;Northern Territory;;;;;;;;08/02/1998 - 08/02/1998;False;False;Werner Greuter;;False;;;;;24668;False;;True;;;True;W. part of Litchfield National Park, Greenant Creek to Tjaetaba Falls, dry eucalypt woods.;False;;;;;;;-13.2005 , 130.7008;;;;False
B;Herbarium Berolinense;B 10 1022572;4;7214750;Zingiberaceae;Aframomum;albiflorum;;Tansania;False;;;;Iringa;;;;;;;;01/01/1931 - 31/12/1931;False;False;H. J. Schlieben;;False;;;;;553;False;;True;D. J. Harris;;False;Stromgebiet des oberen Ruhudje, Landschaft Lupembe, nördlich des Flusses.;False;;;;;;;;;;;True
B;Herbarium Berolinense;B 10 1022666;4;7214750;Zingiberaceae;Alpinia;peninsularis;;Thailand;False;;;;Narathiwat(นครศรีธรรมราช);;;;;;;;04/03/1974 - 04/03/1974;False;False;Kai Larsen & Supee S. Larsen;;False;;;;;32936;False;Botanisk Institut. Aarhus Universitet. Herbarium Jutlandia (AAU), Aarhus, Denmark;False;Kai Larsen;;False;Peninsula: Naratiwat: Sungei Kolok, Nikom Waeng. Evergreen forest. Alt.: 300-500 m;False;;;;;;;5.8333 , 101.8333;;;;False
B;Herbarium Berolinense;B 10 1022764;4;7214750;Zingiberaceae;Burbidgea;schizocheila;;Deutschland;True;;;False;Berlin;;;False;;;;;10/11/1921 - 10/11/1921;;;R. Schlechter;;;;;;;;True;;True;;;True;Cult. in Hort. Bot. Dahlem: Heimat: Java. Malayischer Archipel;;False;;;;;;52.453146655162016 , 13.303542137145998;;;;
B;Herbarium Berolinense;B 10 1022753;4;7214750;Zingiberaceae;Boesenbergia;plicata;;Thailand;False;;;;Sisaket(ศรีสะเกษ);;;;;;;;10/07/1972 - 10/07/1972;False;False;Kai Larsen, Supee S. Larsen, I. Nielsen & T. Santisuk;;False;;;;;30861;False;;True;K. Larsen;;False;Peninsular: Khao Phra Mi. alt. 800 m;False;;;;;;;9.3283 , 98.4972;;;;False
B;Herbarium Berolinense;B 10 1022796;4;7214750;Zingiberaceae;Costus;congestiflorus;;Französisch-Guayana;;;;False;(Guyane Française);;;False;;;;;20/08/1986 - 20/08/1986;;;M. Freiberg;;;;;;;50;;;True;S. Mori;;;Saül, Route Belizon;False;;;;;;;3.6333333333333333 , -53.2;;;;
