specimen - institute;specimen - collection;specimen - code;mission - id;mission - originalID;specimen - family;specimen - genus;specimen - specific_epithet;unusable - cause;country - country;country - growned_plant;country - guessed;country - not_sure;country - no_info;region1 - region;region1 - guessed;region1 - not_sure;region1 - no_info;collect_date - collect_date;collect_date - not_sure;collect_date - no_info;onecollector - collector;onecollector - not_sure;onecollector - no_info;collect_number - ;collect_number - no_info;identifier - identifier;identifier - not_sure;identifier - no_info;locality - locality;locality - not_sure;locality - no_info;owner - question_1;owner - no_info;geo - position;geo - radius;geo - description;geo - not_sure;geo - no_info;apocynaceae_scientific_name - scientific_name;apocynaceae_scientific_name - species_name_not_in_list;apocynaceae_scientific_name - genus_name_not_in_list;apocynaceae_scientific_name - not_sure;apocynaceae_scientific_name - no_info
B;Herbarium Berolinense;B101124455;10;8501351;Apocynaceae;indet.;sp.;;Jemen;False;;;;Sokotra;;;;04/12/1898 - 06/12/1898;False;False;Ogilvie-Grant & Forbes;;False;42 und 43;False;A. A. Bullock;;False;Abdul Kuri [Abd al-Kuri];False;;;True;12.19593645 , 52.226318694965784;;;;False;Glossonema revoilii Franch.;;;;
B;Herbarium Berolinense;B101124454;10;8501351;Apocynaceae;indet.;sp.;;Jemen;False;;;;Sokotra;;;;04/12/1898 - 04/12/1898;False;False;abdul Kari;;False;42 und 43;False;;;True;;;True;;True;12.173579 , 52.220494;;;;;Glossonema revoilii Franch.;;;;
B;Herbarium Berolinense;B100433946;10;8501351;Apocynaceae;indet.;sp.;;Jemen;False;;;;Sokotra;;;;15/01/1994 - 15/01/1994;False;False;Bruno Mies & Christian Printzen;;False;293;False;Peter Hein;;False;Soqotra. Wadi Ayhaft, valley from Muri between Jebel Rughid and J. Regid leading to the central Hajhir Range. 250m a.s.l., Expos. S. gravel from limestone and granite. Inland valley with montane forest.;False;;Bruno Mies;False;12.55 , 53.96666666666667;;;;False;Glossonema revoilii Franch.;;;;
B;Herbarium Berolinense;B101124453;10;8501351;Apocynaceae;indet.;sp.;;Tansania;False;;;;Mara;;;;06/11/1953 - 06/11/1953;False;False;R. Tanner;;False;1713, 1567;False;;;True;Tanganyika: Mugungu river, Bunagi area Musoma. Lake Prov. Alt. 9500 ft.;False;;;True;-2.30401 , 34.837303;;;;False;Glossonema revoilii Franch.;;;;
B;Herbarium Berolinense;B101124449;10;8501351;Apocynaceae;indet.;sp.;;Togo;False;;;;Savannes;;;;29/07/1979 - 29/07/1979;False;False;U. Scholz, P. Koumassi, H. Kühn et H. Peuker;;False;233;False;B. Leuenberger;;False;West-Afrika, 6 km nördl. von Dapango [Dapaong], bei Nagouangou, Grasland mit Felsplatten, Kulturland, trocken.;False;;;True;10.933105 , 0.199875;;;;False;Glossonema boveanum subsp. nubicum (Decne.) Bullock;;;;
B;Herbarium Berolinense;B101124448;10;8501351;Apocynaceae;indet.;sp.;;Togo;False;;;;Savannes;;;;02/12/1980 - 02/12/1980;False;False;P. K. Eguchi;;False;2247;False;B. Leuenberger;;False;(West-Afrika) Zone I. Umgebung von Dapango, Korsommba;False;;;True;10.852462418440684 , 0.1971530914306641;;;;;Glossonema boveanum subsp. nubicum (Decne.) Bullock;;;;
B;Herbarium Berolinense;B101124447;10;8501351;Apocynaceae;indet.;sp.;;Togo;False;;;;Plateaux;;;;10/04/1963 - 10/04/1963;False;False;;;True;;True;B. Leuenberger;;False;Südwest-Togo/ bei Agou (Mt. Agou?), nahe Kpalimé;;False;W. Schwabe;False;6.877584 , 0.751118;;;;False;Glossonema boveanum subsp. nubicum (Decne.) Bullock;;;;
B;Herbarium Berolinense;B101124446;10;8501351;Apocynaceae;indet.;sp.;;Tschad;False;;;;Tibesti;;;;19/10/1964 - 19/10/1964;False;False;Hildemar Scholz;;False;137;False;;;True;Tibesti-Gebirge. Tarso Tousside: Trou au Natron, auf der Kratersohle zwischen Panicum turgidum, 1500 m.;False;;;True;21.022273 , 16.470989;;;;False;Glossonema boveanum (Decne.) Decne.;;;;
B;Herbarium Berolinense;B101124445;10;8501351;Apocynaceae;indet.;sp.;;Mauretanien;;;;False;Adrar;;;False;;;True;A. Naegelé;;;;True;A. Naegelé;;;Adrar de Mauritanie. Sahara atlantique subocéanique;;False;;True;;;;;True;Glossonema boveanum (Decne.) Decne.;;;;
B;Herbarium Berolinense;B101124475;10;8501351;Apocynaceae;indet.;sp.;;Italien;False;;;;Sicilia;;;;10/09/1996 - 10/09/1996;False;False;G. Certa;;False;;True;G. Certa;;False;Dans la grève sèche du fleve Imera, près de Buonfornello, province de Palerme. Altitude: m. 10 environ.;False;;;True;37.971681 , 13.823383;;;;False;Gomphocarpus fruticosus (L.) W.T.Aiton;;;;
B;Herbarium Berolinense;B101124477;10;8501351;Apocynaceae;indet.;sp.;;Italien;;;;False;Sicilia;;;False;01/07/1885 - 31/07/1885;;;H. Ross;;;;True;;;True;Palermo: in fruticetis.;;False;C. Baenitz,J. Ullepitsch;;38.125435 , 13.341662;;;;;Gomphocarpus fruticosus (L.) R.Br.;;;;
B;Herbarium Berolinense;B101124476;10;8501351;Apocynaceae;indet.;sp.;;Italien;False;;;;Sicilia;;;;01/07/1885 - 31/07/1885;False;False;H. Ross;;False;;True;;;True;Palermo: in fruticetis;False;;C. Baenitz,J. Bornmüller;False;38.119917 , 13.348033;;;;False;Gomphocarpus R.Br.;;;;
B;Herbarium Berolinense;B101124474;10;8501351;Apocynaceae;indet.;sp.;;Italien;;;;False;Calabria;;;False;01/07/1898 - 31/07/1898;;;G. Rigo;;;;True;;;True;"In collibus saxosis apricis supra torrentem ""Telesi"" prope ""Reggio"".";;False;;True;38.1 , 15.66;;;;False;Gomphocarpus fruticosus (L.) R.Br.;;;;
B;Herbarium Berolinense;B101124459;10;8501351;Apocynaceae;indet.;sp.;;Italien;False;;;;Calabria;;;;18/07/1898 - 18/07/1898;False;False;G. Rigo;;False;482;False;;;True;Reggio [Reggio Calabria], in collibus supra torentem Telesi.;False;;;True;38.09741999922626 , 15.676631927490236;;;;False;Gomphocarpus fruticosus (L.) R.Br.;;;;
B;Herbarium Berolinense;B101124473;10;8501351;Apocynaceae;indet.;sp.;;Italien;False;;;;Sicilia;;;;01/05/1900 - 30/09/1900;False;False;H. Ross;;False;262;False;;;True;In collibus calcareis, in fruticetis reg. inferioris. Inquilinus. Palermo.;False;;;True;38.121368 , 13.355483;;;;False;Gomphocarpus fruticosus (L.) R.Br.;;;;
B;Herbarium Berolinense;B101124472;10;8501351;Apocynaceae;indet.;sp.;;Italien;False;;;;Sicilia;;;False;01/05/1900 - 30/09/1900;False;False;R. [Ross];;False;262;False;;;True;In collibus calcareis, in fruticetis reg. inferioris. Inquilinus. Palermo.;False;;H. Ross;False;38.1112268 , 13.3524434;;;;False;Gomphocarpus fruticosus (L.) R.Br.;;;;
B;Herbarium Berolinense;B100616702;10;8501351;Apocynaceae;indet.;sp.;;Italien;;;;False;Sardegna;;;False;16/10/1999 - 16/10/1999;;;R. Böcker;;;42;;;;True;La Maddalena;;False;;True;41.23431516924039 , 9.412536621093752;;;;;Asclepias fruticosa L.;;;;
B;Herbarium Berolinense;B101124468;10;8501351;Apocynaceae;indet.;sp.;;Südafrika;False;;;;Eastern Cape;;;;01/02/1895 - 28/02/1895;False;False;R. Schlechter;;False;6252;False;;;True;Butterworth (Kaffraria);False;;;True;-32.33208 , 28.181522;;;;False;Gomphocarpus R.Br.;;;;
B;Herbarium Berolinense;B101124467;10;8501351;Apocynaceae;indet.;sp.;;Südafrika;False;;;False;KwaZulu-Natal;;;False;01/10/1893 - 31/10/1893;False;False;R. Schlechter;;False;3409;False;;;True;Newcastle (Transvaal);False;;;True;-27.751610091758298 , 29.918518066406254;;;;False;Gomphocarpus R.Br.;;;;
B;Herbarium Berolinense;B101124466;10;8501351;Apocynaceae;indet.;sp.;;Südafrika;False;;;;;;;True;;;True;Ecklon et Zeyher;;False;;True;;;True;Kapland;False;;Treviranus;False;;;;;True;Gomphocarpus R.Br.;;;;
B;Herbarium Berolinense;B101124465;10;8501351;Apocynaceae;indet.;sp.;;Australien;;;;False;South Australia;;;False;01/11/1953 - 01/11/1953;False;;Kaspiew;;;1275;;;;True;Black Hill;;False;;True;-34.66918 , 139.44829;;;;;Gomphocarpus R.Br.;;;;
B;Herbarium Berolinense;B101124464;10;8501351;Apocynaceae;indet.;sp.;;Südafrika;False;;;;Gauteng;;;;01/10/1893 - 31/10/1893;False;False;R. Schlechter;;False;3525;False;;;True;Heidelberg (Transvaal);False;;;True;-26.497222 , 28.359167;;;;False;Gomphocarpus adscendens Schltr.;;;;
B;Herbarium Berolinense;B101124524;10;8501351;Apocynaceae;indet.;sp.;;Südafrika;False;;;;Gauteng;;;False;06/12/1955 - 06/12/1955;False;False;H. J. Schlieben;;False;7663;False;Anonymous (National Herbarium Pretoria);;;Magaliesberge c. 1400 m ü.M. Dist. Pretoria. Hornsnek ca 12 ml. westl. von Pr. Südhänge. Savanne. Sehr häufig;False;;;True;-25.684268 , 28.083115;;;;;Asclepias fruticosa L.;;;;
B;Herbarium Berolinense;B101124523;10;8501351;Apocynaceae;indet.;sp.;;Portugal;False;;;;Açores;;;;01/01/1847 - 31/12/1847;False;False;T. C. Hunt;;False;;True;;;True;Island of Fayal;False;;Treviranus;False;38.578983 , -28.703363;;;;False;Asclepias fruticosa L.;;;;
B;Herbarium Berolinense;B101124522;10;8501351;Apocynaceae;indet.;sp.;;Tansania;;;;False;Mbeya;;;False;01/01/1910 - 31/12/1910;;;A. Stolz;;False;377;;;;True;Nyassa Hochland - Station Kyimbila. Seehöhe 1450 Meter.;;False;Rudolf Gross;;-9.28451 , 33.650405;;;;;Asclepias fruticosa L.;;;;
B;Herbarium Berolinense;B101124521;10;8501351;Apocynaceae;indet.;sp.;;Südafrika;False;;;;Free State;;;;01/01/1963 - 31/01/1963;False;False;L. C. C. Liebenberg;;False;6842;False;;;True;Prov. O. F. S., Dist. Bethlehem, Golden Gate National Park. On plain near river at house. Common.;;False;;True;-28.53536 , 28.673711;;;;False;Asclepias fruticosa L.;;;;
B;Herbarium Berolinense;B101124520;10;8501351;Apocynaceae;indet.;sp.;;Namibia;False;;;;Kunene;;;;05/10/1985 - 05/10/1985;False;False;W. Greuter;;False;20222;False;;;True;SW-Afrika. Farm Otjitambi ca. 110 km WNW von Outjo, ca. 1140 m ü. M., Damm-Ufer, Gebüsch.;False;;W. Greuter;False;-19.816908 , 15.170053;;;;False;Asclepias fruticosa L.;;;;
B;Herbarium Berolinense;B101124515;10;8501351;Apocynaceae;indet.;sp.;;Namibia;False;;;;Karas;;;;01/05/1949 - 31/05/1949;False;False;Liebenberg;;False;5150;False;;;True;Keetmanshoop S. W. A.;False;;;True;-26.5816902 , 18.1365094;;;;False;Asclepias fruticosa L.;;;;
B;Herbarium Berolinense;B101124516;10;8501351;Apocynaceae;indet.;sp.;;Südafrika;False;;;;Western Cape;;;;07/10/1958 - 07/10/1958;False;False;E. Werdermann et H.-D. Oberdieck;;False;457;False;;;True;Zwischen Paleisheuwel und Leipoldtville, 150 m;False;;;True;-32.352924 , 18.616725;;;;False;Asclepias fruticosa L.;;;;
B;Herbarium Berolinense;B101124517;10;8501351;Apocynaceae;indet.;sp.;;Südafrika;;;;False;Western Cape;;;False;07/10/1958 - 07/10/1958;;;E. Werdermann et H.-D. Oberdieck;;False;457;;;;True;Kap Prov. Zwischen Paleisheuwel und Leipoldtville, 150 m;;False;;True;-32.325433 , 18.626465;;;;;Asclepias fruticosa L.;;;;
B;Herbarium Berolinense;B101124514;10;8501351;Apocynaceae;indet.;sp.;;Algerien;False;;;;Constantine;;;;01/09/1859 - 30/09/1859;False;False;;;True;;True;;;True;Constantine spontané dans les Jardin;False;;;True;36.355907 , 6.639221;;;;False;Asclepias fruticosa L.;;;;
B;Herbarium Berolinense;B101124518;10;8501351;Apocynaceae;indet.;sp.;;Südafrika;False;;;;;;;True;30/12/1958 - 30/12/1958;;;E. Werdermann et H.-D. Oberdieck;;;1598;False;;;True;Zwischen Reitz (Oranje-Freistaat) und Heidelberg (Transvaal), 1600-1500 m. Häufig, zerstreut.;;False;;True;;;;;True;Asclepias fruticosa L.;;;;
B;Herbarium Berolinense;B101124519;10;8501351;Apocynaceae;indet.;sp.;;Südafrika;;;;False;;;;True;30/12/1958 - 30/12/1958;;;E. Werdermann et H.-D. Oberdieck;;;1598;;;;True;"Zwischen Reitz (Oranje-Freistaat) und Heidelberg (Transvaal); 1600-1500 m.";;False;;True;;;;;True;Asclepias fruticosa L.;;;;
B;Herbarium Berolinense;B101124513;10;8501351;Apocynaceae;indet.;sp.;;Südafrika;False;;;;Gauteng;;;;01/01/1951 - 31/01/1951;False;False;B. Forssman;;;8;False;;;True;Transvaal, Dist. Pretoria. Willowglen 137. Marshy ground. Frequent. Alt 4,500';True;;;True;-25.799463 , 28.295579;;;;False;Asclepias fruticosa L.;;;;
B;Herbarium Berolinense;B101124512;10;8501351;Apocynaceae;indet.;sp.;;Namibia;False;;;;Khomas;;;;05/03/1953 - 05/03/1953;False;False;H. + E. Walter;;False;1590;False;Herbert Huber;;False;Südwestafrika. F. Friedenau Bez. Windhoek;False;;H. u. E. Walter;False;-22.670621 , 16.850737;;;;False;Asclepias fruticosa L.;;;;
B;Herbarium Berolinense;B101124511;10;8501351;Apocynaceae;indet.;sp.;;Namibia;False;;;;Khomas;;;;11/07/1953 - 15/07/1953;False;False;G. Schwerdtfeger;;False;4354;False;Herbert Huber;;False;Südwestafrika. F. Naos Bez. Rehoboth;False;;H. u. E. Walter;False;-23.20661295 , 16.76797525793718;;;;False;Asclepias fruticosa L.;;;;
B;Herbarium Berolinense;B101124510;10;8501351;Apocynaceae;indet.;sp.;;Namibia;False;;;;Kunene;;;;15/02/1953 - 15/02/1953;False;False;G. Schwerdtfeger;;False;2/2;False;H. Huber;;False;Südwestafrika, F. Münsterland, Bezirk: Outjo, in sandigem Rivier;False;;H. u. E. Walter;False;-20.198756 , 15.892709;;;;False;Gomphocarpus fruticosus (L.) W.T.Aiton;;;;
B;Herbarium Berolinense;B100013883;10;8501351;Apocynaceae;indet.;sp.;;Südafrika;False;;;;Mpumalanga;;;;17/10/1991 - 17/10/1991;False;False;M. Stalmans;;False;2396;False;K. Balkwill;;False;Kangwane. Transvaal, Eerstehoek District. Songomivelo Nature Reserve, Laaggenoeg. Laaggenoeg-Doornhoek boundary. Alt.: 820 m. Recently burned, open woodland. In well drained rocky, loamy sand. On gentle slope. In full sun.;False;False;;True;-26.010254 , 30.90913;;;;False;Asclepias fruticosa L.;;;;
B;Herbarium Berolinense;B101098795;10;8501351;Apocynaceae;indet.;sp.;;Kroatien;False;;;;Dubrovačko-Neretvanska;;;False;01/05/1930 - 31/05/1930;;;Otto Nebel;;False;;True;;;True;Ragusa [Dubrovnik];;False;Otto Nebel;False;42.64873625 , 18.094680152605108;;;;False;Gomphocarpus fruticosus (L.) R.Br.;;;;
B;Herbarium Berolinense;B100758639;10;8501351;Apocynaceae;indet.;sp.;;Italien;;;;False;Sardegna;;;False;01/05/1827 - 31/05/1827;;;Franz August Müller;;;;True;;;True;In ruderatis prope Carloforte, insulae St. Pietro;;False;;True;39.14504518672282 , 8.305664062500002;;;;;Gomphocarpus fruticosus (L.) W.T.Aiton;;;;
B;Herbarium Berolinense;B100014463;10;8501351;Apocynaceae;indet.;sp.;;Spanien;;;;False;Cádiz;;;False;07/05/1982 - 07/05/1982;;;S. Talavera & B. Valdés;;;27;;J. Pastor;;;Algeciras. El Cobre. Parte baja del Arroyo de la Miel;;False;;True;36.11146817496523 , -5.483808517456056;;;;;Gomphocarpus fruticosus (L.) W.T.Aiton;;;;
B;Herbarium Berolinense;B101124509;10;8501351;Apocynaceae;indet.;sp.;;Georgien;False;;;;Samegrelo-Zemo Svaneti;;;False;28/07/1980 - 28/07/1980;False;False;V. Vašák;;False;;True;;;True;Cochis: distr. Poti, in vicinitate lacus Paleostomi. Alt. 2-10 m s. m.;False;;V. Vašák;False;42.117571 , 41.727277;;;;False;Gomphocarpus fruticosus (L.) R.Br.;;;;
B;Herbarium Berolinense;B101124508;10;8501351;Apocynaceae;indet.;sp.;;Kroatien;False;;;;Dubrovačko-Neretvanska;;;;01/08/1899 - 31/08/1899;False;False;A. Rudolph;;False;;True;;;True;Dalmatien, Gravosa: Meeresstrand bei Stihovica - Ombla.;False;;Behrendsen;False;42.67705 , 18.074735;;;;False;Gomphocarpus fruticosus (L.) R.Br.;;;;
B;Herbarium Berolinense;B101124507;10;8501351;Apocynaceae;indet.;sp.;;Kroatien;False;;;;Dubrovačko-Neretvanska;;;;01/08/1899 - 31/08/1899;;False;A. Rudolph;;False;;True;;;True;Gravosa ad litora maris pr. Stihovica - Ombla;;False;;True;42.6839427186384 , 18.054270744323734;;;;;Gomphocarpus fruticosus (L.) R.Br.;;;;
B;Herbarium Berolinense;B101124506;10;8501351;Apocynaceae;indet.;sp.;;Tunesien;False;;;;Zaghouan;;;;01/08/1854 - 01/08/1854;False;False;L. Kralik;;False;383;False;;;True;In collibus, Zaghouan;False;;;True;36.407739 , 10.140247;;;;False;Gomphocarpus fruticosus (L.) R.Br.;;;;
B;Herbarium Berolinense;B100511546;10;8501351;Apocynaceae;indet.;sp.;;Spanien;False;;;;Málaga;;;;15/10/1978 - 15/10/1978;False;False;B. Nowak;;False;;True;B. Nowak;;False;"Sierra Tejada zw. Alhama de Granada und Velez Malaga; 1000 m ü.NN.";False;;Bernd Nowak;;36.837294 , -4.063893;;;;False;Gomphocarpus fruticosus (L.) W.T.Aiton;;;;
B;Herbarium Berolinense;B100556560;10;8501351;Apocynaceae;indet.;sp.;;Spanien;False;;;;Almería;;;;26/04/1983 - 26/04/1983;False;False;G. Kunkel;;False;20423;False;;;True;Pechina, 75 m;False;;G. Kunkel;False;36.916592 , -2.438944;;;;False;Gomphocarpus fruticosus (L.) R.Br.;;;;
B;Herbarium Berolinense;B100537000;10;8501351;Apocynaceae;indet.;sp.;;Spanien;True;;;False;Almería;;;False;04/06/1986 - 04/06/1986;;;G. Kunkel;;;21447;;;;True;Pechina;;False;G. Kunkel;False;36.91532791398657 , -2.439823150634766;;;;;Gomphocarpus fruticosus (L.) R.Br.;;;;
B;Herbarium Berolinense;B101008235;10;8501351;Apocynaceae;indet.;sp.;;Frankreich;False;;;;Corse;;;;25/08/1849 - 25/08/1849;False;False;L. Kralik;;False;694 a;False;;;True;Bords des ruisseaux, Belgodere.;False;;;True;42.605797 , 9.009442;;;;False;Gomphocarpus fruticosus (L.) R.Br.;;;;
B;Herbarium Berolinense;B101124505;10;8501351;Apocynaceae;indet.;sp.;;Frankreich;False;;;;Corse;;;;25/07/1995 - 25/07/1995;False;False;J. Lambinon;;False;95/493;False;J. Lambinon;;False;Embouchure de l'Ostriconi, au pont de la route Calvi-Saint-Florent (dép. Haute-Corse), friche herbeuse près du ruisseau, ombragée d'Alnus glutinosa.;;False;;True;42.654141 , 9.060239;;;;False;Asclepias fruticosa L.;;;;
B;Herbarium Berolinense;B100508221;10;8501351;Apocynaceae;indet.;sp.;;Frankreich;;;;False;Corse;;;False;26/07/1961 - 26/07/1961;;;Berger-Landefeldt;;;;True;;;True;Tal des Porto nahe seiner Mündung, ostwärts des Weilers Porto, Flussaue;False;;Ulrich Berger-Landefeldt;;42.266775 , 8.692863;;;;;Asclepias fruticosa L.;;;;
B;Herbarium Berolinense;B100508226;10;8501351;Apocynaceae;indet.;sp.;;Frankreich;False;;;;Corse;;;;26/07/1961 - 26/07/1961;False;False;Berger-Landefeld;;False;;True;;;True;Korsika, Tal des Porto nahe seiner Mündung, ostwärts des Weilers Porto. Flussaue.;;False;Ulrich Berger-Landefeldt;False;42.26419297503097 , 8.704304695129396;;;;False;Asclepias fruticosa L.;;;;
B;Herbarium Berolinense;B100549053;10;8501351;Apocynaceae;indet.;sp.;;Frankreich;;;;False;Corse;;;False;26/07/1961 - 26/07/1961;;;;;True;26;;;;True;Tal des Porto nahe seiner Mündung, ostwärts des Weilers Porto, S. Flußaue;;False;U. Berger-Landefeldt;;42.26358991886203 , 8.706021308898928;;;;False;Asclepias fruticosa L.;;;;
B;Herbarium Berolinense;B101124504;10;8501351;Apocynaceae;indet.;sp.;;Frankreich;;;;False;Corse;;;False;;;True;;;True;68611;;;;True;Bastia;;False;;True;42.685964 , 9.437483;;;;;Asclepias fruticosa L.;;;;
B;Herbarium Berolinense;B100710881;10;8501351;Apocynaceae;indet.;sp.;;Frankreich;;;;False;Corse;;;False;27/08/1990 - 27/08/1990;;;M. Erben;;;;True;;;True;Haute-Corse: an der Straße D 6 [D 8] von Ponte Leccia nach I'Ile-Rousse, ca. 2 km unterhalb des Dorfes Urtica [Urtaca];;False;M. Erben;False;42.580933 , 9.159914;;;;;Gomphocarpus fruticosus (L.) R.Br.;;;;
B;Herbarium Berolinense;B101124503;10;8501351;Apocynaceae;indet.;sp.;;Frankreich;False;;;;Corse;;;;20/07/1869 - 20/07/1869;False;False;O. Debeaux;;False;;True;;;True;Bastia;False;;;True;42.7008676 , 9.4512866;;;;False;Gomphocarpus fruticosus (L.) R.Br.;;;;
B;Herbarium Berolinense;B101124502;10;8501351;Apocynaceae;indet.;sp.;;Frankreich;False;;;;Corse;;;;12/09/1850 - 12/09/1850;False;False;L. Caldesi;;;;True;;;True;Corsica presso Bastia.;;False;;True;42.683835 , 9.428667;;;;False;Asclepias fruticosa L.;;;;
B;Herbarium Berolinense;B101124501;10;8501351;Apocynaceae;indet.;sp.;;Frankreich;;;;False;Corse;;;False;27/06/1916 - 27/06/1916;;;G. Kükenthal;;;1657;;;;True;Bachufer bei Algajola. 20 m.;;False;J. Bornmüller;;42.60721434277468 , 8.879442214965822;;;;;Gomphocarpus fruticosus (L.) R.Br.;;;;
B;Herbarium Berolinense;B101124500;10;8501351;Apocynaceae;indet.;sp.;;Frankreich;False;;;;Corse;;;;16/09/1971 - 16/09/1971;False;False;K. Faber & al.;;False;110;False;;;True;Marana bei Bastia;False;;Kurt Faber;False;42.54979784089101 , 9.441890716552736;;;;False;Gomphocarpus fruticosus (L.) R.Br.;;;;
B;Herbarium Berolinense;B101124499;10;8501351;Apocynaceae;indet.;sp.;;Frankreich;False;;;;Corse;;;;30/07/1961 - 30/07/1961;False;False;;;True;724;False;;;True;An der Lagune des Ficarellabaches ostwärts Calvi auf Korsika.;;False;;True;42.55813 , 8.78784;;;;;Gomphocarpus fruticosus (L.) R.Br.;;;;
B;Herbarium Berolinense;B100010471;10;8501351;Apocynaceae;indet.;sp.;;Frankreich;False;;;;Corse;;;;15/07/1977 - 15/07/1977;False;False;Coppejans, E.;;False;3115;False;;;True;"Corse du Nord, valée de la Marsolino; à l'intérieur du pays, entre Calvi et Galeria. Alt. 100 m, bords de route à travers le maquis. Plante importée d'Afrique du Sud, mais très fréquente en Corse maintenant";False;;;True;42.45156 , 8.74358;;;;False;Gomphocarpus fruticosus (L.) W.T.Aiton;;;;
