specimen - institute;specimen - collection;specimen - code;mission - id;mission - originalID;specimen - family;specimen - genus;specimen - specific_epithet;unusable - cause;country - country;country - growned_plant;country - guessed;country - not_sure;country - no_info;region1 - region;region1 - guessed;region1 - not_sure;region1 - no_info;collect_date - collect_date;collect_date - not_sure;collect_date - no_info;onecollector - collector;onecollector - not_sure;onecollector - no_info;collect_number - ;collect_number - no_info;identifier - identifier;identifier - not_sure;identifier - no_info;locality - locality;locality - not_sure;locality - no_info;owner - question_1;owner - no_info;geo - position;geo - radius;geo - description;geo - not_sure;geo - no_info;aizoaceae_scientific_name - scientific_name;aizoaceae_scientific_name - species_name_not_in_list;aizoaceae_scientific_name - genus_name_not_in_list;aizoaceae_scientific_name - no_info;aizoaceae_scientific_name - not_sure
B;Herbarium Berolinense;B101072757;9;8501354;Aizoaceae;indet.;sp.;;Südafrika;False;;;False;Eastern Cape;;;;18/11/1913 - 18/11/1913;False;False;A. Peter;;False;50785;False;;;True;Kapland: Red House bei Port Elisab.;False;;A. Peter, Reisen in Afrika;False;-33.840036 , 25.569068;;;;False;Aizoaceae;;;;
B;Herbarium Berolinense;B101072729;9;8501354;Aizoaceae;indet.;sp.;"""mehrere Belege mit widersprüchlichen Angaben""";;;;;;;;;;;;True;;;True;;True;;;True;;;True;A. Braun;False;;;;;;;;;;
B;Herbarium Berolinense;B101072725;9;8501354;Aizoaceae;indet.;sp.;;Italien;True;;;;Lazio;;;;01/06/1955 - 30/06/1955;False;False;;;True;;True;;;True;Rom. Forum Romanum.;False;;;True;41.892325 , 12.485478;;;;False;Mesembryanthemum L.;;;;
B;Herbarium Berolinense;B101072735;9;8501354;Aizoaceae;indet.;sp.;;Deutschland;True;;;;Hessen;;;;;;True;[L. C. Treviranus];;False;;True;;;True;Hort. Marburg;False;;L. C. Treviranus;False;;;;;True;Mesembryanthemum falcatum L.;;;;
B;Herbarium Berolinense;B101073263;9;8501354;Aizoaceae;indet.;sp.;;Angola;False;;;;Huíla;;;;;;True;Antunes;;False;A. 192;False;;;True;Huilla.;False;;;True;;;;;True;;;;;
B;Herbarium Berolinense;B101072692;9;8501354;Aizoaceae;indet.;sp.;;Namibia;False;;;;Erongo;;;;01/02/1955 - 01/02/1955;False;False;R. Seydel;;False;388;False;L[oretta] van Zyl;;False;S. W. Afrika. Swakop-Mündung im Flussbett u. Dünenvorland. Swakopmund. Altitudo: 2-3 m;False;;R. Seydel;False;-22.651826 , 14.592967;;;;False;Tetragonia L.;;;;
B;Herbarium Berolinense;B101072690;9;8501354;Aizoaceae;indet.;sp.;;Namibia;False;;;;Hardap;;;;01/05/1949 - 31/05/1949;False;False;Liebenberg;;False;5125;;;;True;Bullspoort S. W. A. [Büllsport];;False;;True;-24.14761499438226 , 16.36349210574716;;;;False;Tetragonia L.;;;;
B;Herbarium Berolinense;B101072688;9;8501354;Aizoaceae;indet.;sp.;;Südafrika;False;;;;Northern Cape;;;;12/10/1958 - 12/10/1958;False;False;E. Werdermann et H.-D. Oberdieck;;False;560;False;;;True;"Kap Prov. Namaqualand ; Holgat River (nördlich Port Nolloth), 50-100 m";False;;;True;-28.933527 , 16.772884;;;;False;Tetragonia L.;;;;
B;Herbarium Berolinense;B101072689;9;8501354;Aizoaceae;indet.;sp.;;Südafrika;False;;;;Northern Cape;;;;12/10/1958 - 12/10/1958;False;False;E. Werdermann et H.-D. Oberdieck;;False;560;False;;;True;"Kap Prov. Namaqualand ; Holgat River (nördlich Port Nolloth), 50-100 m";False;;;True;-28.936788 , 16.786769;;;;False;Tetragonia L.;;;;
B;Herbarium Berolinense;B101072716;9;8501354;Aizoaceae;indet.;sp.;;Namibia;False;;;;Karas;;;;01/08/1923 - 31/08/1923;False;False;Dinter;;False;4781;False;H. Ch. Friedrich;;False;Kl.-Karas;False;;;True;-27.57137 , 18.09877;;;;False;Titanopsis schwantesii (Dinter) Schwantes;;;;
B;Herbarium Berolinense;B101072715;9;8501354;Aizoaceae;indet.;sp.;;Namibia;;;;False;Karas;;;False;05/11/1923 - 05/11/1923;;;Dinter;;;4758;;H. Ch. Friedrich;;;Kl.-Karas;;False;;True;-27.564 , 18.075;;;;;Titanopsis schwantesii (Dinter) Schwantes;;;;
B;Herbarium Berolinense;B101072714;9;8501354;Aizoaceae;indet.;sp.;;Namibia;;;;False;Karas;;;False;;;True;Dinter;;;;True;H.Ch. Friedrich;;;Kl.-Karas;;False;;True;-27.564 , 18.075;;;;;Titanopsis Schwantes;;;;
B;Herbarium Berolinense;B101072713;9;8501354;Aizoaceae;indet.;sp.;;Namibia;False;;;;Karas;;;False;17/12/1934 - 17/12/1934;False;False;Dinter;;False;8250;False;H. Ch. Friedrich;;False;20 km südlich Gubub [Kubub];False;;;True;-26.96118815244132 , 16.34902954101563;;;;;Titanopsis schwantesii (Dinter) Schwantes;;;;
B;Herbarium Berolinense;B101072712;9;8501354;Aizoaceae;indet.;sp.;;Namibia;False;;;;Karas;;;;01/09/1923 - 30/09/1923;False;False;K. Dinter;;False;;True;H. Ch. Friedrich;;;Südwest-Afrika: Gross-Nama-Land. Kl.-Karas;False;;;True;-27.571392 , 18.100271;;;;False;Titanopsis schwantesii (Dinter) Schwantes;;;;
B;Herbarium Berolinense;B101072711;9;8501354;Aizoaceae;indet.;sp.;;Namibia;;;;False;Karas;;;False;14/06/1924 - 14/06/1924;;;Dinter;;;5193;;H. Ch. Friedrich;;False;Südwest-Afrika: Gross-Nama-Land. Vahldorn [Vaaldoorn];False;False;;True;-28.630677 , 19.100178;;;;;Titanopsis hugo-schlechteri (Tischer) Dinter & Schwantes;;;;
B;Herbarium Berolinense;B101072710;9;8501354;Aizoaceae;indet.;sp.;;;False;;;True;;;;True;;;True;Marloth;;False;;True;H. Ch. Friedrich;;False;;;True;;True;;;;;True;Titanopsis calcarea (Marloth) Schwantes;;;;
B;Herbarium Berolinense;B100121452;9;8501354;Aizoaceae;indet.;sp.;;Jemen;False;;;;Hadramaut;;;;22/09/2001 - 22/09/2001;False;False;N. Kilian & P. Hein;;False;YP346;;;;True;Kor Seiban, confluence of the (N-S-running) wadi immediately W of the highest point with the larger wadi running W-E, 1850 m;False;;;True;14.8194 , 48.8055;;;;False;Trianthema L.;;;;
B;Herbarium Berolinense;B101024975;9;8501354;Aizoaceae;indet.;sp.;;Schweiz;False;;;;Solothurn(Soleure);;;;21/06/1931 - 23/09/1931;False;False;Probst;;False;;True;K. von Friesen;;False;Wolladventiv Derendingen;False;;;True;47.19858230057204 , 7.5841712951660165;;;;False;Trianthema L.;;;;
B;Herbarium Berolinense;B101072724;9;8501354;Aizoaceae;indet.;sp.;;Australien;;;;False;Western Australia;;;False;19/04/1901 - 19/04/1901;;;L. Diels;;;2770;;;;True;Dewitt: Roeburne. ca 15 m ü. M.;;False;;True;-20.77252616455897 , 117.1395778656006;;;;;Trianthema turgidifolia F.Muell.;;;;
B;Herbarium Berolinense;B101072723;9;8501354;Aizoaceae;indet.;sp.;;Australien;False;;;;Western Australia;;;;10/09/1961 - 10/09/1961;False;False;F. Smith;;False;;True;;;True;In red sand. 30 mls. E. of Onslow;False;;;True;-21.721011 , 115.711167;;;;False;Trianthema turgidifolia F.Muell.;;;;
B;Herbarium Berolinense;B101072722;9;8501354;Aizoaceae;indet.;sp.;;Australien;;;;False;;;;True;01/01/1801 - 31/12/1805;;;R. Brown;;;;True;;;True;Australien;;False;R. Brown, Iter Australiense;False;;;;;True;Trianthema rhynchocalyptra F.Muell.;;;;
B;Herbarium Berolinense;B101072720;9;8501354;Aizoaceae;indet.;sp.;;Australien;False;;;;Western Australia;;;;11/09/1961 - 11/09/1961;False;False;F. Smith;;False;;True;;;True;Minilya River, W. A.;False;;;True;;;;;True;Trianthema pilosa F.Muell.;;;;
B;Herbarium Berolinense;B101072721;9;8501354;Aizoaceae;indet.;sp.;;Australien;False;;;;Northern Territory;;;;03/03/1973 - 03/03/1973;False;False;M. Lazarides;;False;7990;False;M. Lazarides;;False;"(Q 327; c. 17 miles N. of Mt. Evelyn). Common near spring on gentle slope in deep gray sandy soil, with Pandanus, Eugenia, annual Sorghum, Platyzoma and other ferns.";False;;;True;-13.35 , 132.9;;;;False;Trianthema pilosa F.Muell.;;;;
B;Herbarium Berolinense;B100599004;9;8501354;Aizoaceae;indet.;sp.;;Australien;False;;;;Western Australia;;;False;29/09/1995 - 29/09/1995;;;S. Hunger & N. Kilian;;;4113;;S. Hunger & N. Kilian;;False;Carnarvon Region. Bullara Giralia Rd, dune belt. Peculiar scrub vegetation, strikingly different to the gravelly surroundings. Dominated by 4108, 4108, also with Triodia pungens.;;False;;True;-22.7277778 , 114.36861111111111;;;;False;Trianthema pilosa F.Muell.;;;;
B;Herbarium Berolinense;B100471594;9;8501354;Aizoaceae;indet.;sp.;;Australien;;;;False;Northern Territory;;;False;23/04/2008 - 23/04/2008;;;Cowie, I. D.;;;12039;;;;True;"Limmen NP; c 25 km S of Ranger Station. abundant on sandy outwash from sandstone gorge, withTriodia.";False;;;True;-15.7966 , 135.4305;;;;;Trianthema pilosa F.Muell.;;;;
B;Herbarium Berolinense;B101072719;9;8501354;Aizoaceae;indet.;sp.;;Australien;;;;False;Queensland;;;False;;;True;R. Brown;;False;;True;;;True;Carpentaria;;False;;True;;;;;True;Trianthema pilosa F.Muell.;;;;
B;Herbarium Berolinense;B101072718;9;8501354;Aizoaceae;indet.;sp.;;Australien;False;;;;Western Australia;;;;;;True;E. Clement;;False;;True;;;True;N.W. Australia. Between the Ashburton and De Gray rivers.;False;;;True;;;;;True;Trianthema pilosa F.Muell.;;;;
B;Herbarium Berolinense;B101072717;9;8501354;Aizoaceae;indet.;sp.;;Australien;False;;;;Northern Territory;;;;27/07/1967 - 27/07/1967;False;False;J. R. Maconochie;;False;418;False;J. R. Maconochie;;False;26m S Tennant Creek. In clusters growing over sandy ridge on side of road. Sandy plain with stones and covered by 'spinifex'.;False;;;True;-19.640630714955712 , 134.2021179199219;;;;;Trianthema pilosa F.Muell.;;;;
B;Herbarium Berolinense;B100597485;9;8501354;Aizoaceae;indet.;sp.;;Sudan;False;;;;Northern;;;;25/11/1991 - 25/11/1991;False;False;N. Altmann;;False;T 702;False;M. Hakki;;False;Wadi Melik;False;;;True;17.2833333 , 30.4;;;;False;Trianthema crystallina (Forssk.) Vahl;;;;
B;Herbarium Berolinense;B101073203;9;8501354;Aizoaceae;indet.;sp.;;Namibia;;;;False;Erongo;;;False;16/02/1953 - 16/02/1953;;;H. u. E. Walter;;;1323;;H. C. Friedrich;;;Karibib Bezirk: Karibib;;False;H. u. E. Walter;;-21.9358722 , 15.8540947;;;;;Tribulocarpus dimorphanthus (Pax) S.Moore;;;;
B;Herbarium Berolinense;B101073202;9;8501354;Aizoaceae;indet.;sp.;;Namibia;False;;;;Omaheke;;;;22/02/1953 - 22/02/1953;False;False;H. u. E. Walter;;False;1447;False;Friedrich;;False;Südwestafrika. Farm Otjozondu. Bezirk: Karibib. Granitverwitterungsfläche;False;;H. u. E. Walter;False;-21.109368 , 18.519779;;;;False;Tribulocarpus dimorphanthus (Pax) S.Moore;;;;
B;Herbarium Berolinense;B101073200;9;8501354;Aizoaceae;indet.;sp.;;Namibia;False;;;;Erongo;;;False;12/02/1953 - 12/02/1953;False;False;H. Walter;;False;1191;False;H. C. Friedrich;;False;"Farm Nudis, Bezirk; Karibib. Altenbrunn auf Oberflächenkalk";;False;H. u. E. Walter;False;-22.166667 , 15.583333;;;;;Tribulocarpus dimorphanthus (Pax) S.Moore;;;;
B;Herbarium Berolinense;B101073199;9;8501354;Aizoaceae;indet.;sp.;;Namibia;False;;;;Erongo;;;;15/10/1985 - 15/10/1985;False;False;W. Greuter;;False;20322;False;;;True;Farm Ameib am S-Fuß des Erongo (ca. 30 km N von Usakos), ca. 1100 m ü. M., Sandflächen mit Akaziengebüsch;False;;;True;-21.8099 , 15.5004;;;;False;Tribulocarpus dimorphanthus (Pax) S.Moore;;;;
B;Herbarium Berolinense;B101073201;9;8501354;Aizoaceae;indet.;sp.;;Namibia;False;;;;Erongo;;;;12/02/1953 - 12/02/1953;False;False;H. Walter;;False;1191;False;H. C. Friedrich;;False;Südwestafrika. Farm Nudis. Bezirk: Karibib. Altenbrunn auf Oberflächenkalk;False;;H. u. E. Walter;False;-22.167 , 15.583;;;;False;Tribulocarpus dimorphanthus (Pax) S.Moore;;;;
B;Herbarium Berolinense;B101073198;9;8501354;Aizoaceae;indet.;sp.;;Namibia;False;;;;Erongo;;;;08/05/1906 - 08/05/1906;False;False;Dinter;;False;201;False;;;True;Dtsch. S. W. Afrika: Dorstrivier;False;;;True;-22.354815002660064 , 15.533294677734377;;;;False;Tetragonia dimorphantha Pax;;;;
B;Herbarium Berolinense;B101073197;9;8501354;Aizoaceae;indet.;sp.;;Namibia;;;;False;Erongo;;;;05/04/1913 - 05/04/1913;;;A. Engler;;;6142;False;H. C. Friedrich;;False;Deutsch-Südwestafrika. Damarabezirk: Kubas - Ababis, um 1100 m ü. M. Buschsteppe.;;False;A. Engler;False;-22.20967746050914 , 15.661010742187502;;;;;Tribulocarpus dimorphanthus (Pax) S.Moore;;;;
B;Herbarium Berolinense;B101073196;9;8501354;Aizoaceae;indet.;sp.;;Namibia;;;;False;;;;True;01/12/1885 - 28/02/1886;;;Aug. Lüderitz;;;159;;H. C. Friedrich;;;Südwest-Afrika: Reise von Walfishbay nach Odyitambi. [Otjitambi];False;;;True;;;;;True;Tribulocarpus dimorphanthus (Pax) S.Moore;;;;
B;Herbarium Berolinense;B101073195;9;8501354;Aizoaceae;indet.;sp.;;Namibia;False;;;;Erongo;;;;14/01/1935 - 14/01/1935;False;False;Dinter;;False;6805;False;H. C. Friedrich;;False;Karibib, in der Kalksteppe;False;;;True;-21.936335 , 15.85839;;;;False;Tribulocarpus dimorphanthus (Pax) S.Moore;;;;
B;Herbarium Berolinense;B101073194;9;8501354;Aizoaceae;indet.;sp.;;Namibia;False;;;;Erongo;;;;01/01/1953 - 31/12/1954;False;False;R. Seydel;;False;101;False;;;True;SW-Afrika. Altenbronn,Farm Nudis;;False;H. u. E. Walter;False;-22.166667 , 15.583333;;;;False;Tetragonia dimorphantha Pax;;;;
B;Herbarium Berolinense;B101073193;9;8501354;Aizoaceae;indet.;sp.;;Namibia;False;;;;Erongo;;;;23/03/1925 - 23/03/1925;False;False;Dinter;;False;5931;False;H. C. Friedrich;;False;Usakos;False;;;True;-21.996963 , 15.5874;;;;False;Tribulocarpus dimorphanthus (Pax) S.Moore;;;;
B;Herbarium Berolinense;B101073192;9;8501354;Aizoaceae;indet.;sp.;;Namibia;False;;;;Erongo;;;;23/03/1925 - 23/03/1925;False;False;Dinter;;False;6902;False;H. C. Friedrich;;False;Usakos;False;False;;True;-22.002433 , 15.588675;;;;False;Tribulocarpus dimorphanthus (Pax) S.Moore;;;;
B;Herbarium Berolinense;B101073191;9;8501354;Aizoaceae;indet.;sp.;;Namibia;False;;;;Karas;;;;17/02/1885 - 17/02/1885;False;False;W. Belck;;;30;False;H. C. Friedrich;;False;Süd-Africa. Namib: Ameib. Auf kiesigem Boden.;False;;;True;-28.405337 , 17.667382;;;;False;Tribulocarpus dimorphanthus (Pax) S.Moore;;;;
B;Herbarium Berolinense;B100153196;9;8501354;Aizoaceae;indet.;sp.;"""mehrere Belege mit widersprüchlichen Angaben""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B;Herbarium Berolinense;B101073212;9;8501354;Aizoaceae;indet.;sp.;;Namibia;False;;;;;;;True;25/02/1959 - 25/02/1959;False;False;E. Werdermann et H.-D. Oberdieck;;False;2297;False;;;True;"Zwischen Karibib u. Outjo; 1100 m - 1300 m.";False;;;True;;;;;True;Tribulocarpus dimorphanthus (Pax) S.Moore;;;;
B;Herbarium Berolinense;B101073211;9;8501354;Aizoaceae;indet.;sp.;;Namibia;;;;False;;;;True;25/02/1959 - 25/02/1959;;;E. Werdermann et H.-D. Oberdieck;;;2297;;;;True;"Südwestafrika. Zwischen Karibib u. Outjo; 1100-1300 m.";;False;;True;;;;;True;Tribulocarpus dimorphanthus (Pax) S.Moore;;;;
B;Herbarium Berolinense;B101073210;9;8501354;Aizoaceae;indet.;sp.;;Namibia;;;;False;;;;True;09/03/1953 - 09/03/1953;;;R. Seydel;;;101;;;;True;Südwest-Afrika. Vorwiegend auf Flächen.;False;;R. Seydel;False;;;;;True;Tetragonia dimorphantha Pax;;;;
B;Herbarium Berolinense;B101073209;9;8501354;Aizoaceae;indet.;sp.;;Namibia;;;;False;Erongo;;;False;26/03/1957 - 26/03/1957;;;R. Seydel;;;1041;;;;True;Fläche Farm Karibib ca. 1100 m;;False;R. Seydel;;-21.935192903613707 , 15.850481986999513;;;;;Tetragonia dimorphantha Pax;;;;
B;Herbarium Berolinense;B101073208;9;8501354;Aizoaceae;indet.;sp.;;Namibia;False;;;;Erongo;;;;26/03/1957 - 26/03/1957;False;False;R. Seydel;;False;1041;False;;;True;Südwest-Afrika. Fläche Farm Karibib ca. 1100 m;False;;;True;-21.93694 , 15.856163;;;;False;Tetragonia dimorphantha Pax;;;;
B;Herbarium Berolinense;B101073207;9;8501354;Aizoaceae;indet.;sp.;;Namibia;False;;;;;;;True;22/04/1954 - 22/04/1954;False;False;R. Seydel;;False;331;;;;True;Südwest-Afrika. Vorwiegend auf Flächen, nicht selten.;;False;R. Seydel;False;;;;;True;Tetragonia dimorphantha Pax;;;;
B;Herbarium Berolinense;B101073206;9;8501354;Aizoaceae;indet.;sp.;;Namibia;False;;;;;;;True;22/04/1954 - 22/04/1954;False;False;R. Seydel;;False;331;False;;;True;Südwest-Afrika. Vorwiegend auf Flächen, nicht selten.;False;;R. Seydel;False;;;;;True;Tetragonia dimorphantha Pax;;;;
B;Herbarium Berolinense;B101073205;9;8501354;Aizoaceae;indet.;sp.;;Namibia;False;;;;Otjozondjupa;;;;20/02/1963 - 20/02/1963;False;False;R. Seydel;;;3370;False;;;True;Namibrand Karibib, Otjosondu. Auf Granitriff am Weg zum Kudduberg. – Bisher nur in Randgebiet gefunden. Altitudo: ca 1300 m;False;;R. Seydel;False;-21.24292 , 17.88088;;;;False;Tetragonia dimorphantha Pax;;;;
B;Herbarium Berolinense;B101073204;9;8501354;Aizoaceae;indet.;sp.;;Namibia;False;;;;Erongo;;;False;20/02/1963 - 20/02/1963;False;False;R. Seydel;;False;3370;False;;;True;Namibrand Karibib, Regio: Otjosondu. Auf Granitriff am Wege zum Kudduberg. Bisher nur im Randgebiet gefunden. Altitudo: ca 1300m;False;;R. Seydel;False;-21.675662971340863 , 15.76194763183594;;;;;Tetragonia dimorphantha Pax;;;;
B;Herbarium Berolinense;B101073261;9;8501354;Aizoaceae;indet.;sp.;;Tansania;False;;;;Tanga;;;False;20/08/1957 - 20/08/1957;False;False;H. G. Faulkner;;False;2058;False;Hartmann;;False;Tanganyika. Tanga dist. Sawa. Waste ground and native fields;False;;;True;;;;;True;Zaleya redimita (Melville) H.E.K.Hartmann;;;;
B;Herbarium Berolinense;B101073260;9;8501354;Aizoaceae;indet.;sp.;;Tansania;False;;;;Mara;;;;06/11/1953 - 06/11/1953;False;False;R. Tanner;;False;1716;False;Hartmann;;False;Tanganyika: Magungu River. Banagi Area. Musoma. Lake Prov. Alt. 4500 ft.;;False;;True;-2.3040104358395253 , 34.8373031616211;;;;;Zaleya redimita (Melville) H.E.K.Hartmann;;;;
B;Herbarium Berolinense;B101073262;9;8501354;Aizoaceae;indet.;sp.;;Tansania;;;;False;Tanga;;;False;01/05/1953 - 01/05/1953;;;R. B. Drummond and J. H. Hemsley;;;2331;;Hartmann;;;Tanganyika: Lushoto District. Mazinde. 435 m. Roadside and margins of cultivation.;;False;;True;-4.807851 , 38.210004;;;;;Zaleya redimita (Melville) H.E.K.Hartmann;;;;
B;Herbarium Berolinense;B101073259;9;8501354;Aizoaceae;indet.;sp.;;Deutschland;True;;;;Berlin;;;;29/06/1989 - 29/06/1989;False;False;Schwerdtfeger;;False;25112;False;B. Leuenberger;;False;Kultiviert im Botanischen Garten Berlin-Dahlem, Revier: 5;;False;;True;;;;;True;Zaleya pentandra (L.) C.Jeffrey;;;;
B;Herbarium Berolinense;B101073258;9;8501354;Aizoaceae;indet.;sp.;;Kenia;;;;False;Coast;;;False;21/09/1961 - 21/09/1961;;;R. Polhill and S. Paulo;;;530;;;;True;Kurawa, 30 ml. S of Garsen, Tana River Dist.  Kenya, 50 ft.;;False;;True;-2.632406338964408 , 40.19970417022705;;;;;Zaleya pentandra (L.) C.Jeffrey;;;;
B;Herbarium Berolinense;B101073257;9;8501354;Aizoaceae;indet.;sp.;;Tansania;False;;;False;Dar es Salaam;;;;17/02/1968 - 17/02/1968;False;False;B. J. Harris;;False;1394;False;EAH;;False;Kunduchi, sea level, sand at HWM;False;;;True;-6.673304158979126 , 39.22136306762695;;;;False;Zaleya pentandra (L.) C.Jeffrey;;;;
B;Herbarium Berolinense;B101073256;9;8501354;Aizoaceae;indet.;sp.;;Botswana;;;;False;North-West;;;False;23/01/1972 - 23/01/1972;;;H. Biegel & G. Russell;;;3738;;;;True;Alt. 910 m  17 km SE of Maun at Samadupe Drift over Botlete river. Among Tribulus terrestris on Kalahari sand on over-grazed area.;;False;;True;-20.111715169989818 , 23.526363372802738;;;;;Zaleya pentandra (L.) C.Jeffrey;;;;
B;Herbarium Berolinense;B101073269;9;8501354;Aizoaceae;indet.;sp.;;Saudi-Arabien;False;;;;Makkah;;;;03/03/1986 - 03/03/1986;False;False;A. A. Fayed;;False;1267;False;;;True;Taif: Taif-Mecca highway, about 10 km from Taif.;False;;;True;21.347426 , 40.31604;;;;False;Zaleya pentandra (L.) C.Jeffrey;;;;
B;Herbarium Berolinense;B101073268;9;8501354;Aizoaceae;indet.;sp.;;;False;;;True;;;;True;;;True;T. T. [Thomas Thomson];;;;True;;;True;Himal. Bor. Occ. Regio. trop.;False;;;True;;;;;True;Trianthema pentandra L.;;;;
B;Herbarium Berolinense;B101073267;9;8501354;Aizoaceae;indet.;sp.;;Pakistan;False;;;;Punjab;;;False;22/09/1970 - 22/09/1970;False;False;M. Qaiser;;False;2721;False;;;True;6 miles from Hoshab on way to Sargodha. Common in cultivated field.;False;;;True;32.2672489279976 , 72.46307373046876;;;;;Trianthema pentandra L.;;;;
B;Herbarium Berolinense;B101073266;9;8501354;Aizoaceae;indet.;sp.;;Indien;False;;;;Rajasthan;;;;14/07/1956 - 14/07/1956;False;False;Hira Lal & Party;;False;34442;False;;;True;Alwar to Balafourt [Bala Quila];False;;;True;27.540855 , 76.632019;;;;;Trianthema pentandra L.;;;;
B;Herbarium Berolinense;B100423564;9;8501354;Aizoaceae;indet.;sp.;;Äthiopien;;;;False;Oromia;;;False;25/11/1972 - 25/11/1972;;;C. J. P. Seegeler;;;2944;False;J. de Bruijn;;;Harerge, Mulu (near Hieso), in the village. Side of path near fence around garden. Alt: 1260m;;False;;True;9.2833333 , 40.833333333333336;;;;;Zaleya pentandra (L.) C.Jeffrey;;;;
B;Herbarium Berolinense;B101073265;9;8501354;Aizoaceae;indet.;sp.;;Jemen;False;;;;Sokotra;;;;01/02/1880 - 31/03/1880;False;False;;;True;63;False;;;True;Socotra.;False;;A. Engler;False;;;;;True;Trianthema pentandra L.;;;;
