specimen - institute;specimen - collection;specimen - code;mission - id;mission - originalID;specimen - family;specimen - genus;specimen - specific_epithet;unusable - cause;country - country;country - growned_plant;country - guessed;country - not_sure;country - no_info;region1 - region;region1 - guessed;region1 - not_sure;region1 - no_info;collect_date - collect_date;collect_date - not_sure;collect_date - no_info;collector - collector;collector - other_collectors;collector - not_sure;collector - no_info;identifier - identifier;identifier - not_sure;identifier - no_info;locality - locality;locality - not_sure;locality - no_info;geo - position;geo - description;geo - not_sure;geo - no_info
BGBM;B;B 30 0310017;1;14;; ;Pohlia bulbifera;;Deutschland;;False;False;False;Rheinland-Pfalz;False;False;False;05/12/2004 - 05/12/2004;False;False;Frahm;;False;False;;;True;"Kr. Rhein-Lahn-Kreis; Gelbachtal, ehem. Grube Leopoldine-Luise; Abraumhalde aus Schiefer; MTB: 5613C; Höhe: 180 m";False;False;50.3244 , 7.85813;;False;False
BGBM;B;B 30 0310018;1;14;; ;Pohlia bulbifera;;Frankreich;;False;False;False;Franche-Comté;False;False;False;02/10/2004 - 02/10/2004;False;False;Jan-Peter Frahm;;False;False;;;True;Vogesen/Frankreich. Dépt. La Saulotte E Faucogney. Karte : 3520A Höhe (m): 750;False;False;47.8695 , 6.63394;;False;False
BGBM;B;B 30 0310019;1;14;; ;Pohlia bulbifera;;Schweden;;False;False;False;Västra Götalands län;False;False;False;28/07/1974 - 28/07/1974;False;False;Frahm;;False;False;;;True;Västergötland, Linköping, East coast of the peninsula Kollan in the lake Vänern, moist sandy soil;False;False;58.6036 , 13.1158;;False;False
BGBM;B;B 30 0310020;1;14;; ;Pohlia bulbifera;;Frankreich;;False;False;False;Franche-Comté;False;False;False;03/09/1995 - 03/09/1995;False;False;Frahm;;False;False;;;True;Dép. Haute-Saône, La Montagne, Étang de la Macelotte 770m, Teichrand;False;False;47.9296 , 6.59618;;False;False
BGBM;B;B 30 0310021;1;14;; ;Pohlia bulbifera;;Polen;;False;False;False;Pomorskie;False;False;False;21/09/1989 - 21/09/1989;False;False;L. Gos & H. Bednarek-Ochyra & R. Ochyra;;False;False;L. Gos & H. Bednarek-Ochyra & R. Ochyra;False;False;"West Pomerania, Pobrzeze Koszalinskie, Slowinski National Park; Mierzeja Lebska (Leba Spit), ca. 10 km E of Leba (UTM grid XA3, ATPOL grid Ac34). On moist sand in interdune depression, associated with Polytrichum commune var. perigoniale.";False;False;54.7422 , 17.382;;False;False
BGBM;B;B 30 0310022;1;14;; ;Pohlia bulbifera;;Russland;;False;False;False;Leningrad oblast(Ленинградская область);False;False;False;11/07/1959 - 11/07/1959;False;False;I. I. Abramov;;False;False;I. I. Abramov;False;False;European Part. Leningrad Province, Kerlian Isthmus, Roshchino District, Ushkovo Settlement. Along road-side canal.;False;False;60.2116 , 29.6203;;False;False
BGBM;B;B 30 0310023;1;14;; ;Pohlia bulbifera;;Polen;;False;False;False;Zachodniopomorskie;False;False;False;23/08/2013 - 23/08/2013;False;False;F. Hintze;;False;False;;;True;Pommern: Ubedel [Ubiedrze], Rötsee;False;False;54.02 , 16.5269;;False;False
BGBM;B;B 30 0310024;1;14;; ;Pohlia bulbifera;;Deutschland;;False;False;False;Schleswig-Holstein;False;False;False;15/11/1969 - 15/11/1969;False;False;Frahm;;False;False;;;True;"Einfelder See Kr. Rendsburg; auf feuchtem Sand am SO Ufer; Fossombronia incurva. Riccardia incurv. pp.";False;False;54.1345 , 10.0023;;False;False
BGBM;B;B 30 0310025;1;14;; ;Pohlia bulbifera;;Deutschland;;False;False;False;Nordrhein-Westfalen;False;False;False;24/09/1995 - 24/09/1995;False;False;Frahm;;False;False;;;True;Kreis Köln, Wahner Heide, Panzerübungsgelände am Planitzweg, auf feuchtem Sand ca 100 m NN, MTB 5208;False;False;50.8453 , 7.15428;;False;False
BGBM;B;B 30 0310026;1;14;; ;Pohlia bulbifera;;Belgien;;False;False;False;Anvers(Antwerpen);False;False;False;29/08/1982 - 29/08/1982;False;False;T. Arts;;False;False;T. Arts;False;False;Belgium, prov. Antwerp, Brasschaat, Fort van Braschaat, on moist sandy soil, along the anti-tank channel.;False;False;51.3289 , 4.49574;;False;False
BGBM;B;B 30 0310027;1;14;; ;Pohlia bulbifera;;Deutschland;;False;False;False;Niedersachsen;False;False;False;10/03/1991 - 10/03/1991;False;False;Frahm;;False;False;;;True;Sandgrube bei Okel suedlich Bremen, MZB 3019, winters ueberflutete freigelegte Sandflaechen.;False;False;52.9431 , 8.88129;;False;False
BGBM;B;B 30 0310028;1;14;; ;Pohlia bulbifera;;Frankreich;;False;False;False;Franche-Comté;False;False;False;20/05/1991 - 20/05/1991;False;False;Frahm;;False;False;;;True;Dep. Haute-Saône, La Montagne, in Norden von Faucogney, 650 m., Grabenrand;False;False;47.9183 , 6.59834;;False;False
BGBM;B;B 30 0310029;1;14;; ;Pohlia bulbifera;;Finnland;;False;False;False;Itä-Suomen lääni(Östra Finlands län);False;False;False;07/08/1972 - 07/08/1972;False;False;S.R. Gradstein & J.G. de Molenaar;;False;False;S. R. Gradstein & J. G. de Molenaar;False;False;N.Karelia: Tohmajärvi, along Luosionjoki river near Votkanluoso, on loamy roadtrack in meadow;False;False;62.2027 , 30.2684;;False;False
BGBM;B;B 30 0310030;1;14;; ;Pohlia bulbifera;;Schweden;;False;False;False;Västra Götalands län;False;False;False;16/09/2034 - 16/09/2034;False;False;Carl Stenholm;;False;False;;;True;Schweden: Västergötland, Bollebygd sn., Ingelsered.;False;False;57.7724 , 13.0257;;False;False
BGBM;B;B 30 0310031;1;14;; ;Pohlia bulbifera;;Deutschland;;False;False;False;Schleswig-Holstein;False;False;False;01/08/1962 - 01/08/1962;False;False;Mechmershausen;;False;False;;;True;Elmenhorst Kr. Lauenburg, am Wege zur Sandkuhle;False;False;53.7635 , 10.2625;;False;False
BGBM;B;B 30 0310032;1;14;; ;Pohlia bulbifera;;Deutschland;;False;False;False;Hessen;False;False;False;26/08/1968 - 26/08/1968;False;False;G. Schwab;;False;False;G. Schwab;False;False;Kreis Groß-Gerau, auf nassem Schlammbode am Rande eines kleinen Teiches westlich der Grohhausschneise zwischen der Forstschneise und dem Bischofsheimer Grenzweg im Wald zwischen Walldorf und Reunheim;False;False;50.0008 , 8.51577;;False;False
BGBM;B;B 30 0310033;1;14;; ;Pohlia bulbifera;;Niederlande;;False;False;False;Friesland;False;False;False;01/09/1973 - 30/09/1973;False;False;Frahm;;False;False;t. No-Richter;False;False;Insel Vlieland. Ijsbaan bei Oost-Vlieland auf feuchtem Sand;False;False;53.2828 , 5.0132;;False;False
BGBM;B;B 30 0310034;1;14;; ;Pohlia bulbifera;;Niederlande;;False;False;False;Friesland;False;False;False;01/09/1973 - 30/09/1973;False;False;Frahm;;False;False;t. No-Richter;False;False;"""Ijsbaan"" bei Ooster-Vliesland auf feuchtem Sand";False;False;53.3003 , 5.06971;;False;False
BGBM;B;B 30 0310035;1;14;; ;Mniobryum calcareum;;Kroatien;;False;False;False;Zadarska;False;False;False;17/04/2014 - 17/04/2014;False;False;Julius  Baumgartner;;False;False;;;True;Dalmatien: Insel Pago, an quelligen Stellen im Vallone di Pago, Flysch, in Strandnähe gegenüber der Stadt Pago;False;False;44.4432 , 15.0515;;False;False
BGBM;B;B 30 0310036;1;14;; ;Mniobryum calcareum;;Kroatien;;False;False;False;Primorsko-Goranska;False;False;False;20/04/2009 - 20/04/2009;False;False;Julius Baumgärtner;;False;False;;;True;Dalmatien: Insel Arbe, Curka, über der Stadt Arbe, auf lehmigen Abhängen an einem Bache, Kalk, an 50 m s.m.;False;False;44.7824 , 14.7525;;False;False
BGBM;B;B 30 0310037;1;14;; ;Mniobryum calcareum;;Kroatien;;False;False;False;Primorsko-Goranska;False;False;False;02/04/2026 - 02/04/2026;False;False;Julius Baumgärtner;;False;False;;;True;S. H. S: Insel Arbe (Rab), Quelle am Abfalle der Digna rosa, lehmiger Kalkboden, etwa 300 m s.m.;False;False;44.7524 , 14.813;;False;False
BGBM;B;B 30 0310038;1;14;; ;Pohlia annotina;;Deutschland;;False;False;False;Thüringen;False;False;False;21/07/2013 - 21/07/2013;False;False;Loeske;;False;False;;;True;Thüringen, Amphibolitsteinbruch beim Bahnhofe Ruhla, meist unter Gebüsch auf Halden, zum Teil in Mauerritzen  380 - 400 msm;False;False;50.8967 , 10.3715;;False;False
BGBM;B;B 30 0310039;1;14;; ;Pohlia annotina;;Vereinigtes Königreich;;False;False;False;Warrington;False;False;False;03/06/2043 - 03/06/2043;False;False;W. Wilson;;False;False;;;True;Padgate Lane;False;False;53.3982 , -2.57087;;False;False
BGBM;B;B 30 0310040;1;14;; ;Pohlia annotina;;Deutschland;;False;False;False;Nordrhein-Westfalen;False;False;False;10/08/1992 - 10/08/1992;False;False;Abts;;False;False;Abts;False;False;"Deutschland. Nordrhein-Westfalen, Niederrhein, Kr. Kleve, Wachtendonk, Wankumer Heide, Sandgrube; sehr feuchte Sande/Lehme, MTB 4603/21, No.: 3132";False;False;51.3703 , 6.28444;;False;False
BGBM;B;B 30 0310041;1;14;; ;Pohlia annotina;;Deutschland;;False;False;False;Baden-Württemberg;False;False;False;02/06/2002 - 02/06/2002;False;False;Frahm;;False;False;;;True;Schwarzwald, Schauinsland, oberhalb Hofsgrund, Bergwerkshalde;False;False;47.91 , 7.8983;;False;False
BGBM;B;B 30 0310042;1;14;; ;Pohlia annotina;;Österreich;;False;False;False;Steiermark;False;False;False;18/05/1975 - 18/05/1975;False;False;J. Breidler;;False;False;M. Suanjak;False;False;Gräben an der Eisenbahn bei Deutsch Landsberg in Steiermark;False;False;46.8202 , 15.2285;;False;False
BGBM;B;B 30 0310043;1;14;; ;Pohlia camptotrachela;;Frankreich;;False;False;False;Franche-Comté;False;False;False;06/09/1985 - 06/09/1985;False;False;Frahm/Gradstein/Mues/Philippi/Schumacker;;False;False;;;True;"Dep. Haute-Saone; Zwischen Col de Mont de Fourche und Col de la Croix; Auf dem Boden eines abgelassenen Stauweihers; ca. 700 m NN";False;False;47.8907 , 6.67151;;False;False
BGBM;B;B 30 0310044;1;14;; ;Pohlia camptotrachela;;Schweden;;False;False;False;Västra Götalands län;False;False;False;16/10/2021 - 16/10/2021;False;False;P. A. Larsson;;False;False;;;True;Dalsland, Bäcke sn., Vättungen, Stora Ödegården, ein Waldabhang;False;False;58.797 , 12.176;;False;False
BGBM;B;B 30 0310045;1;14;; ;Pohlia camptotrachela;;Schweden;;False;False;False;Örebro län;False;False;False;19/05/2007 - 19/05/2007;False;False;E. Jäderholm;;False;False;;;True;Närke, Örebro;False;False;59.2753 , 15.2134;;False;False
BGBM;B;B 30 0310046;1;14;; ;Pohlia annotina;;Deutschland;;False;False;False;Schleswig-Holstein;False;False;False;04/10/1969 - 04/10/1969;False;False;Frahm;;False;False;;;True;Schl.-Holst, Grossholz sö Schönkirchen Kr. Plön Wagenspur in einem lehmigen Waldweg ;False;False;54.337 , 10.2284;;False;False
BGBM;B;B 30 0310047;1;14;; ;Pohlia annotina;;Deutschland;;False;False;False;Schleswig-Holstein;False;False;False;09/10/1968 - 09/10/1968;False;False;Frahm;;False;False;;;True;Elmenhorst Kr. Lauenburg auf feuchtem Boden einer Sandgrube;False;False;53.7635 , 10.2625;;False;False
BGBM;B;B 30 0310048;1;14;; ;Pohlia camptotrachela;;Finnland;;False;False;False;Itä-Suomen lääni(Östra Finlands län);False;False;False;06/08/1972 - 06/08/1972;False;False;S. R. Gradstein & J.G. de Molenaar;;False;False;S. R. Gradstein & J.G. de Molenaar;False;False;N. karelia: Tohmajärvi, Akkala, Hiidenvaara hill on steep shaded, NE facing, diabasic cliffs;False;False;62.193 , 30.2836;;False;False
BGBM;B;B 30 0310049;1;14;; ;Pohlia annotina;;Deutschland;;False;False;False;Berlin;False;False;False;25/05/2006 - 31/05/2006;False;False;K. Osterwald;;False;False;;;True;Brandenburg: Berlin, Ausstich bei Buch;False;False;52.6438 , 13.4712;;False;False
BGBM;B;B 30 0310050;1;14;; ;Pohlia annotina;;Tschechien;;False;False;False;Královéhradecký kraj;False;False;False;01/09/2049 - 30/09/2049;False;False;Zd. Pilous;;False;False;;;True;Bohemia. Montes Krkonoše,  in terra nuda vallis Obrí dul, 930 m.;False;False;50.7052 , 15.7447;;False;False
BGBM;B;B 30 0310051;1;14;; ;Pohlia annotina;;Schweden;;False;False;False;Västernorrlands län;False;False;False;13/07/2021 - 13/07/2021;False;False;C. Jensen;;False;False;;;True;Nordingrå, Stortorget;False;False;62.9227 , 18.2986;;False;False
BGBM;B;B 30 0310052;1;14;; ;Pohlia annotina;;Frankreich;;False;False;False;Nord-Pas-de-Calais;False;False;False;17/12/1972 - 17/12/1972;False;False;Frahm;;False;False;;;True;Frankreich. [Dépt. Nord], Odomez bei Lille, in einem feuchten Sandausstich im Wald bei Odomez.;False;False;50.4485 , 3.53665;;False;False
BGBM;B;B 30 0310053;1;14;; ;Bryum bicolor;;Deutschland;;False;False;False;Rheinland-Pfalz;False;False;False;13/06/1968 - 13/06/1968;False;False;G.Schwab;;False;False;G.Schwab;False;False;Kreis Speyer auf feuchtem Sand mit Bryum affine am Rande einder alten Sandgrube westlich von Mechtersheim;False;False;49.2677 , 8.38289;;False;False
BGBM;B;B 30 0310054;1;14;; ;Pohlia camptotrachela;;Deutschland;;False;False;False;Schleswig-Holstein;False;False;False;18/06/1962 - 18/06/1962;False;False;Mechmershausen;;False;False;;;True;Elmenhorst Kr. Lauenburg;False;False;53.538 , 10.5349;;False;False
BGBM;B;B 30 0310055;1;14;; ;Pohlia annotina;;Deutschland;;False;False;False;Nordrhein-Westfalen;False;False;False;25/09/1973 - 25/09/1973;False;False;Frahm;;False;False;;;True;Kr. Duisburg Forst Heltorf bei Duisburg-Wedau, grandiger, feuchter Waldwegrand;False;False;51.3414 , 6.7857;;False;False
BGBM;B;B 30 0310056;1;14;; ;Bryum bicolor;;Deutschland;;False;False;False;Nordrhein-Westfalen;False;False;False;24/02/1974 - 24/02/1974;False;False;Frahm;;False;False;;;True;Kreis Düsseldorf - Mettmann, im Angerbachtal oberhalb der Angermühle an einem Wegrand, mit Aloina rigida;False;False;51.3069 , 6.91553;;False;False
BGBM;B;B 30 0310057;1;14;; ;Pohlia proligera;;Niederlande;;False;False;False;Limburg;False;False;False;28/04/1974 - 28/04/1974;False;False;Frahm;;False;False;;;True;Heerlen Prov. Limburg, Schinveldsche Bos  Hab. quelliger Hang an einem ehemaligen Braunkohlenabbau;False;False;50.967 , 5.99879;;False;False
BGBM;B;B 30 0310058;1;14;; ;Pohlia carnea;;Griechenland;;False;False;False;Chania(Νομός Χανίων);False;False;False;19/03/2007 - 19/03/2007;False;False;Frahm;;False;False;;;True;"Griechenland-Kreta. Chania. Westliche Küstenstraße zw. Platanos und Sfinari; Sickerfeuchte kalkreiche Stelle in der Phrygana, Lok. 20, Höhe: 200 m, No.: K-241";False;False;35.4469 , 23.5812;;False;False
BGBM;B;B 30 0310059;1;14;; ;Pohlia commutata;;Schweiz;;False;False;False;Bern(Berne);False;False;False;02/09/2005 - 02/09/2005;False;False;P. Culmann;;False;False;;;True;Kanton Bern , an der Grimselstrasse auf Gneissand, 2050-2100 m.s.m.;False;False;46.5646 , 8.33771;;False;False
BGBM;B;B 30 0310060;1;14;; ;Pohlia commutata;;Slowenien;;False;False;False;Tržič;False;False;False;20/07/1998 - 20/07/1998;False;False;J. Glowacki;;False;False;;;True;Korosica-Alm in den sanntaler Alpen;False;False;46.4343 , 14.2915;;False;False
BGBM;B;B 30 0310061;1;14;; ;Pohlia cruda;;Tschechien;;False;False;False;Liberecký kraj;False;False;False;01/09/2003 - 30/09/2003;False;False;Prof. Matouschek;;False;False;;;True;Nordböhmen: Jeschkengebirge, schattige Phyllitklüfte am Abhang des Hammersteins;False;False;50.7875 , 14.9731;;False;False
BGBM;B;B 30 0310062;1;14;; ;Pohlia cruda;;Frankreich;;False;False;False;Auvergne;False;False;False;04/04/2002 - 04/04/2002;False;False;Frahm;;False;False;;;True;Dept. Puy-de-Dome, Mont Dore, Grand Cascade ca. 1300 msm;False;False;45.5662 , 2.81988;;False;False
BGBM;B;B 30 0310063;1;14;; ;Pohlia cruda;;Norwegen;;False;False;False;Finnmark;False;False;False;23/07/1968 - 23/07/1968;False;False;J. E. Zetterstedt;;False;False;;;True;Norwegen: Finmarken, am Fusse von Kaafjordfjellet.;False;False;;;;
BGBM;B;B 30 0310064;1;14;; ;Pohlia cruda;;Schweden;;False;False;False;Jämtlands län;False;False;False;11/08/1981 - 11/08/1981;False;False;J.-P. Frahm;;False;False;;;True;Schweden: Härjedalen, 15 km SSE Tännäs an der Str. 311, ca. 30 km SSE Funasdalen, S-exp. Felswand an E-Ende des Fräsjön, Birken-Fichtenwald, ca. 700 msm.;False;False;62.3667 , 12.8;;False;False
BGBM;B;B 30 0310065;1;14;; ;Pohlia cruda;;Schweden;;False;False;False;Skåne län;False;False;False;18/04/2027 - 18/04/2027;False;False;Åke Hovgard;;False;False;;;True;Röstånga sn., Odensjön;False;False;56.0023 , 13.2714;;False;False
BGBM;B;B 30 0310066;1;14;; ;Pohlia cruda;;Schweden;;False;False;False;Jämtlands län;False;False;False;07/08/1981 - 07/08/1981;False;False;J.-P. Frahm;;False;False;;;True;Schweden: Härjedalen, Ormberget NE Funäsdalen, ESE-exponierte Felsklippen im subalpinen Birkenwald, 800-900 msm.;False;False;62.5801 , 12.5499;;False;False
BGBM;B;B 30 0310067;1;14;; ;Pohlia cruda;;Schweden;;False;False;False;Jämtlands län;False;False;False;07/08/1981 - 07/08/1981;False;False;J.-P. Frahm;;False;False;;;True;Haerjedalen, Ormberget NE Funäsdalen, ESE-exponierte Felsklippen im subalpinen Birkenwald 800-900 msm, ca. 62° 35' N, 12° 33' E;False;False;62.586 , 12.573;;False;False
BGBM;B;B 30 0310068;1;14;; ;Pohlia cruda;;Finnland;;False;False;False;Oulun lääni(Uleåborgs län);False;False;False;16/08/1976 - 16/08/1976;False;False;JS;;False;False;JS;False;False;Finlande, province de Kuusamo, village de Vuotunki, rivière Kuusinkijoki, rapides de Kiukaankorva, alt. env. 200 m;False;False;66.2012 , 29.6308;;False;False
BGBM;B;B 30 0310069;1;14;; ;Pohlia cruda;;Frankreich;;False;False;False;Franche-Comté;False;False;False;17/05/1984 - 17/05/1984;False;False;Frahm & Schumacker;;False;False;;;True;"Frankreich, Territoire de Belfort; Ballon d'Alsace; SE-Hang ca. 1200 m, Granitklippen";False;False;47.8222 , 6.84602;;False;False
BGBM;B;B 30 0310070;1;14;; ;Pohlia cruda;;Island;;False;False;False;Vestfirðir;False;False;False;06/07/1973 - 06/07/1973;False;False;J.-P. & G. Frahm;;False;False;J.-P. & G. Frahm;False;False;Flora von Island. Norvesturland: Djupifjördur an der Südküste von Vestfirdir.;False;False;65.5576 , -22.3114;;False;False
BGBM;B;B 30 0310071;1;14;; ;Pohlia cruda;;Tschechien;;False;False;False;Královéhradecký kraj;False;False;False;01/10/2049 - 31/10/2049;False;False;Zd. Pilous;;False;False;;;True;Ceská Skalice, Babiccino údolí, 280 m;False;False;50.415 , 16.0528;;False;False
BGBM;B;B 30 0310072;1;14;; ;Pohlia cruda;;Polen;;False;False;False;Zachodniopomorskie;False;False;False;20/05/1958 - 20/05/1958;False;False;S. Lisowski;;False;False;;;True;Pomerania Occidentalis, insula Wolin. Ad viam in associatione Quercetum medioeuropaeum Br. - Bl. prope lacum Grodno.;False;False;53.9642 , 14.5267;;False;False
BGBM;B;B 30 0310073;1;14;; ;Pohlia cruda;;Österreich;;False;False;False;Tirol;False;False;False;01/09/1964 - 30/09/1964;False;False;Mulsow;;False;False;Fr. ;False;False;;;True;47.2537 , 11.6015;;False;False
BGBM;B;B 30 0310074;1;14;; ;Pohlia cruda;;Island;;False;False;False;Vesturland;False;False;False;11/07/1973 - 11/07/1973;False;False;J.-P. & G. Frahm,;;False;False;G. & J.-P. Frahm;False;False;Nordvesturland: Brekkudalur am Ende des Gilsfjördur, ca. 300 msm;False;False;65.4227 , -21.6826;;False;False
BGBM;B;B 30 0310075;1;14;; ;Pohlia cruda;;Island;;False;False;False;Vesturland;False;False;False;05/07/1973 - 05/07/1973;False;False;J.-P. & G.Frahm;;False;False;J.-P. & G. Frahm;False;False;Midvesturland: Skogaströnd an der Nordküste von Snaefellsness;False;False;64.8703 , -23.1136;;False;False
BGBM;B;B 30 0310076;1;14;; ;Bryum caespiticium;;Island;;False;False;False;Suðurland;False;False;False;26/06/1973 - 26/06/1973;False;False;J.-P. & G. Frahm;;False;False;J.-P. & G. Frahm;False;False;Sudvesturland: Eldborgarhraun nördl. Thorlakshöfn (Reykjanes);False;False;63.9562 , -21.4283;;False;False
BGBM;B;B 30 0310077;1;14;; ;Pohlia cruda;;Italien;;False;False;False;Bolzano;False;False;False;18/04/1974 - 18/04/1974;False;False;J.-P. Frahm;;False;False;J.-P. Frahm;False;False;Flora von Italien. Eppan, Prov. Bozen, in tiefen Spalten der Blockhalde an den Eislöchern soc. Plagioth.neglect.;False;False;46.4456 , 11.2458;;False;False
BGBM;B;B 30 0310078;1;14;; ;Pohlia cruda;;Island;;False;False;False;;;;;08/07/1973 - 08/07/1973;False;False;J.-P. & G. Frahm;;False;False;J.-P. & G. Frahm;False;False;Nordvesturland: unterhalb Hallufjall nördl. Brånslaekur;False;False;65.53 , -23.19;;False;False
BGBM;B;B 30 0310079;1;14;; ;Pohlia cruda;;Island;;False;False;False;Höfuðborgarsvæði;False;False;False;26/07/1972 - 26/07/1972;False;False;Frahm;;False;False;;;True;"Island. Thingvellir [Þingvellir], Almanna[g]já; in schattigen Basaltfelsklüften.";False;False;64.2647 , -21.1247;;False;False
BGBM;B;B 30 0310080;1;14;; ;Pohlia cruda;;Finnland;;False;False;False;Itä-Suomen lääni(Östra Finlands län);False;False;False;04/08/1972 - 04/08/1972;False;False;S. R. Gradstein & J.G. de Molenaar;;False;False;S. R. Gradstein & J. G. de Molenaar;False;False;Kuopio, Kallavesi Lake, Laivonsaari Island  on gneiss-granite rocks in spruce forest;False;False;62.942 , 27.5672;;False;False
BGBM;B;B 30 0310081;1;14;; ;Pohlia cruda;;Island;;False;False;False;Suðurland;False;False;False;07/08/1972 - 07/08/1972;False;False;Frahm;;False;False;;;True;Hekla, Lavastrom aus dem 18.Jahrhundert, in senkrechten achattigen Klüften;False;False;63.9923 , -19.6658;;False;False
BGBM;B;B 30 0310082;1;14;; ;Pohlia cruda;;Svalbard und Jan Mayen;;False;False;False;(Svalbard Et Île Jan Mayen);False;False;False;14/08/1976 - 16/08/1976;False;False;J.-P. & G. Frahm, H. Usinger;;False;False;;;True;Vestspitzbergen, Kongsfjorden, Ny Ålesund, Bröggerhalvöya;False;False;78.9146 , 11.736;;False;False
