specimen - institute;specimen - collection;specimen - code;mission - id;mission - originalID;specimen - family;specimen - genus;specimen - specific_epithet;unusable - cause;country - country;country - growned_plant;country - guessed;country - not_sure;country - no_info;region1 - region;region1 - guessed;region1 - not_sure;region1 - no_info;region2 - region;region2 - guessed;region2 - not_sure;region2 - no_info;collect_date - collect_date;collect_date - not_sure;collect_date - no_info;onecollector - collector;onecollector - not_sure;onecollector - no_info;collect_number - ;collect_number - no_info;owner - question_1;owner - no_info;identifier - identifier;identifier - not_sure;identifier - no_info;scientific_name - scientific_name;locality - locality;locality - not_sure;locality - no_info;geo - position;geo - radius;geo - description;geo - not_sure;geo - no_info
B;Herbarium Berolinense;B 10 1176796;7;7895457;Balsaminaceae;Impatiens;sp.;;Tansania;;;;False;Tanga;;;False;;;;;15/04/1916 - 15/04/1916;;;A. Peter;;;16494;;A. Peter, Reisen in Afrika 1913/16;False;G. M. Schulze;;;;D Ost Afrika, W Usambara: Kamm des Kisimba bei Mazumbai, Urwald. c. 1900 m ü. M., V.- Z.3;;False;-4.823406143695463 , 38.49594354629517;;;;
B;Herbarium Berolinense;B 10 1176795;7;7895457;Balsaminaceae;Impatiens;sp.;;Tansania;False;;;;Manyara;;;;;;;;05/05/1962 - 05/05/1962;False;False;R. Polhill and S. Paulo;;False;2340;False;;True;;;True;;Tanganyika: Great North Road, Pienaars Heights, 120 ml. S. of Arusha, Mbulu Distr., 6000 ft. Rotting logs in upland rain forest, including Chrysophyllum, Aningeria, Macaranga, Bridelia, Rapanea, Ficus.;False;;-4.21667 , 35.75;;;;
B;Herbarium Berolinense;B 10 1176800;7;7895457;Balsaminaceae;Impatiens;sp.;;Tansania;False;;;;Kilimanjaro;;;;;;;;28/03/1914 - 28/03/1914;False;False;A. Peter;;False;3060;False;A. Peter, Reisen in Afrika 1913-1919;False;G. M. Schulze;;False;;D Ost Afrika, Kilimandscharo: Urwald über Moschi;False;;-3.2999090547701897 , 37.41462707519532;;;;False
B;Herbarium Berolinense;B 10 1176799;7;7895457;Balsaminaceae;Impatiens;sp.;;Tansania;;;;False;Kilimanjaro;;;False;;;;;28/03/1914 - 28/03/1914;;;A. Peter;;;3060;;A. Peter, Reisen in Afrika;;G. M. Schulze;;;;D-Ost Afrika, Kilimandscharo: Urwald über Moschi;;False;-3.2675255199616187 , 37.42252349853516;;;;
B;Herbarium Berolinense;B 10 1176798;7;7895457;Balsaminaceae;Impatiens;sp.;;Tansania;False;;;;Kilimanjaro;;;;;;;;28/03/1914 - 28/03/1914;False;False;A. Peter;;False;3060a;False;A. Peter, Reisen in Afrika 1913-1919;False;G. M. Schulze;;False;;D Ost Afrika, Kilimandscharo: Urwald über Moschi;False;;-3.259463322854991 , 37.43350982666016;;;;False
B;Herbarium Berolinense;B 10 1176801;7;7895457;Balsaminaceae;Impatiens;sp.;;Tansania;False;;;;Kilimanjaro;;;;;;;;28/06/1926 - 28/06/1926;False;False;A. Peter;;False;42117;False;A. Peter, Reisen in Afrika 1925/26;False;G. M. Schulze;;False;;Deutsch-Ost Afrika [sic!], Kilimandscharo: Bismarkhütte ➞ Marangu, Urwald. c. 2720 m ü. M., V.1 Z.4;;False;-3.2131 , 37.5107;;;;False
B;Herbarium Berolinense;B 10 1176802;7;7895457;Balsaminaceae;Impatiens;sp.;;Tansania;False;;;;Kilimanjaro;;;;;;;;28/06/1926 - 28/06/1926;False;False;A. Peter;;False;42117;False;A. Peter, Reisen in Afrika;False;G. M. Schulze;;False;;D-Ost Afrika [sic!], Kilimandscharo: Bismarkhütte ➞ Marangu, Urwald, c. 2720 m ü. M.;False;;-3.1879197061031213 , 37.51556396484376;;;;
B;Herbarium Berolinense;B 10 1176803;7;7895457;Balsaminaceae;Impatiens;sp.;;Tansania;False;;;;Arusha;;;;;;;;09/03/1914 - 09/03/1914;False;False;A. Peter;;False;2523d;False;A. Peter, Reisen in Afrika 1913-1919;False;G. M. Schulze;;False;;D OSt Afrika, Meru: im Krater des Meru. 2450 m. ü. M.;False;;-3.290184647453737 , 36.928825378417976;;;;False
B;Herbarium Berolinense;B 10 1176804;7;7895457;Balsaminaceae;Impatiens;sp.;;Tansania;;;;False;Arusha;;;False;;;;;27/02/1914 - 27/02/1914;;;A. Peter;;;1953;;A. Peter, Reisen in Afrika 1913-1919;;G. M. Schulze;;;;D Ost Afrika, Meru: Urwald am Südhang des Meru. 2000 m. ü. M.;;False;-3.308309944661142 , 36.75235748291016;;;;
B;Herbarium Berolinense;B 10 1176805;7;7895457;Balsaminaceae;Impatiens;sp.;;Tansania;;;;False;Arusha;;;False;;;;;27/02/1914 - 27/02/1914;;;A. Peter;;;1953;;A. Peter, Reisen in Afrika;;G. M. Schulze;;;;D-Ost Afrika, Meru: Urwald am Südhang des Meru. c. 2000 m ü. M.;;False;-3.313790607413119 , 36.75201416015626;;;;
B;Herbarium Berolinense;B 10 1176806;7;7895457;Balsaminaceae;Impatiens;sp.;;Tansania;False;;;;Arusha;;;;;;;;11/03/1914 - 11/03/1914;False;False;A. Peter;;False;2633;False;A. Peter, Reisen in Afrika 1913-1919;False;G. M. Schulze;;False;;D Ost Afrika, Meru: bei Ngongongare;False;;-3.3190173779405963 , 36.868314743042;;;;False
B;Herbarium Berolinense;B 10 1176794;7;7895457;Balsaminaceae;Impatiens;sp.;;Tansania;False;;;False;Kilimanjaro;;;;;;;;23/02/1953 - 23/02/1953;False;False;R. B. Drummond & J. H. Hemsley;;False;1286;False;;True;;;True;;Tanganyika: Moshi District, Southern slopes of Kilimanjaro, north of Moshi, 2600 m. Field layer of upland rain forest.;False;;-3.1785241516592375 , 37.35836505889893;;;;False
B;Herbarium Berolinense;B 10 1176793;7;7895457;Balsaminaceae;Impatiens;sp.;"""mehrere Belege mit widersprüchlichen Angaben""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B;Herbarium Berolinense;B 10 1176792;7;7895457;Balsaminaceae;Impatiens;sp.;;Tansania;False;;;;Kilimanjaro;;;;;;;;03/10/1909 - 03/10/1909;False;False;R. Endlich;;False;679;False;;True;;;True;;Deutsch-Ostafrika, Kilimandscharo, am Wege nach dem Kibo. Moschiseite. Gürtelwald. Meereshöhe: 2300 m.;False;;-3.188467713757639 , 37.35476016998292;;;;False
B;Herbarium Berolinense;B 10 1176791;7;7895457;Balsaminaceae;Impatiens;sp.;;Tansania;False;;;;Arusha;;;;;;;;22/11/1901 - 22/11/1901;False;False;C. Uhlig;;False;655;False;;True;C. Grey Wilson;;False;;Untere Bambusgrenze über Aruscha Höhe ü. d. M. c. 2200 m.;False;;-3.3009969375849697 , 36.73895906973258;;;;False
B;Herbarium Berolinense;B 10 1176789;7;7895457;Balsaminaceae;Impatiens;sp.;;Tansania;False;;;;Kilimanjaro;;;;;;;;03/11/1915 - 03/11/1915;False;False;A. Peter;;False;14337;False;A. Peter, Reisen in Afrika 1913-1915;False;G. M. Schulze;;False;;D Ost Afrika, Nord Paregebirge: Urwaldrest am Berge Kwa Muala über Schigatini. c. 1680 m ü. M. V.1  Z.3;False;;-3.6666279484924695 , 37.651219367980964;;;;False
B;Herbarium Berolinense;B 10 1176790;7;7895457;Balsaminaceae;Impatiens;sp.;;Tansania;;;;False;Kilimanjaro;;;False;;;;;03/11/1915 - 03/11/1915;;;A. Peter;;;14337;;A. Peter, Reisen in Afrika;;G. M. Schulze;;;;D-Ost Afrika, Nord Paregeb.: Urwaldrest am Berge Kwa Muala über Schigatini, c. 1680 m ü. M.;;False;-3.666628 , 37.651219;;;;
B;Herbarium Berolinense;B 10 1176788;7;7895457;Balsaminaceae;Impatiens;sp.;;Tansania;False;;;;Kilimanjaro;;;;;;;;13/02/1915 - 13/02/1915;False;False;A. Peter;;False;8884;False;A. Peter, Reisen in Afrika 1913-1915;False;G. M. Schulze;;False;;D Ost Afrika, Süd Pare: Wald- u. Buschrand am grossen Hochmoor westl. Tona. c. 1800 m ü. M., V.- Z.3;False;;-4.2 , 37.884;;;;
B;Herbarium Berolinense;B 10 1176787;7;7895457;Balsaminaceae;Impatiens;sp.;;Tansania;False;;;;Kilimanjaro;;;;;;;;13/02/1915 - 13/02/1915;False;False;A. Peter;;False;8884;False;A. Peter, Reisen in Afrika;False;G. M. Schulze;;False;;D-Ost Afrika, Süd Pare: Wald- u. Buschrand am grossen Hochmoor westl. Tona, c. 1800 m ü. M.;False;;-4.17549 , 37.908787;;;;False
B;Herbarium Berolinense;B 10 1176786;7;7895457;Balsaminaceae;Impatiens;sp.;;Tansania;False;;;;Kilimanjaro;;;;;;;;13/02/1915 - 13/02/1915;False;False;A. Peter;;False;8884;False;A. Peter, Reisen in Afrika;False;G. M. Schulze;;False;;D-Ost Afrika, Süd-Pare: Wald- u. Buschrand am grossen Hochmoor westl. Tona. c. 1800 m ü. M.;False;;-4.174881993074697 , 37.905664443969734;;;;False
B;Herbarium Berolinense;B 10 1176785;7;7895457;Balsaminaceae;Impatiens;sp.;;Tansania;False;;;;Kilimanjaro;;;;;;;;11/02/1915 - 11/02/1915;False;False;A. Peter;;False;8781;False;A. Peter, Reisen in Afrika;False;G. M. Schulze;;False;;D-Ost Afrika, Süd-Pare: im Walde am Moor westl. Tona. c. 1800 m ü. M.;False;;-4.174263335222149 , 37.906351089477546;;;;False
B;Herbarium Berolinense;B 10 1176784;7;7895457;Balsaminaceae;Impatiens;sp.;;Tansania;;;;False;Kilimanjaro;;;False;;;;;02/02/1915 - 02/02/1915;;;A. Peter;;;8781;;A. Peter, Reisen in Afrika 1913-1915;;G. M. Schulze;;;;D Ost Afrika, Süd Pare: im Walde am Moor westl. Tona, c. 1800 m ü. M.,  V.1  Z.3;;False;-4.180660169960315 , 37.91029930114747;;;;
B;Herbarium Berolinense;B 10 1176783;7;7895457;Balsaminaceae;Impatiens;sp.;;Tansania;;;;False;Kilimanjaro;;;False;;;;;15/06/1926 - 15/06/1926;;;A. Peter;;;41470;;A. Peter, Reisen in Afrika;;G. M. Schulze;;;;D-Ost Afrika, Süd-Pare: Wudee ➞ Tona, Kleines Moor bei Tona, c. 1800 m ü. M.;;False;-4.1754 , 37.9087;;;;
B;Herbarium Berolinense;B 10 1176782;7;7895457;Balsaminaceae;Impatiens;sp.;;Tansania;;;;False;Kilimanjaro;;;False;;;;;15/06/1926 - 15/06/1926;;;A. Peter;;;41470;;A. Peter, Reisen in Afrika 1925/26;;G. M. Schulze;;;;Deutsch-Ost Afrika [sic!], Süd Pare Gebirge: Wudee ➞ Tona, kleines Moor bei Tona, c. 1800 m ü. M.  V.1  Z.2;;False;-4.175353541297651 , 37.90532112121583;;;;False
B;Herbarium Berolinense;B 10 1176781;7;7895457;Balsaminaceae;Impatiens;sp.;;Tansania;;;;False;Kilimanjaro;;;False;;;;;27/06/1915 - 27/06/1915;;;A. Peter;;;11567;;A. Peter, Reisen in Afrika 1913-1915;;G. M. Schulze;;;;D Ost Afrika, Nord Pare: Bergheide Kilomeni ➞ Kissangara, c. 1550 m ü. M.;;False;-3.755 , 37.632;;;;
B;Herbarium Berolinense;B 10 1176780;7;7895457;Balsaminaceae;Impatiens;sp.;;Tansania;False;;;;Kilimanjaro;;;;;;;;27/06/1915 - 27/06/1915;False;False;A. Peter;;False;11567;False;A. Peter, Reisen in Afrika;False;G. M. Schulze;;False;;D-Ost Afrika, Nord-Pare: Bergheide Kilomeni ➞ Kissangara, c. 1550 m ü. M.;False;;-3.755 , 37.632;;;;False
B;Herbarium Berolinense;B 10 1176779;7;7895457;Balsaminaceae;Impatiens;sp.;;Tansania;False;;;;Kilimanjaro;;;;;;;;27/06/1915 - 27/06/1915;False;False;A. Peter;;False;11567;False;A. Peter, Reisen in Afrika;False;G. M. Schulze;;False;;D-Ost Afrika, Landschaft Nord-Pare: Bergheide Kilomeni - Kissangara. c. 1550 m ü. M.;False;;-3.7612256998594087 , 37.634439155659464;;;;False
B;Herbarium Berolinense;B 10 1176778;7;7895457;Balsaminaceae;Impatiens;sp.;;Tansania;;;;False;Kilimanjaro;;;False;;;;;27/06/1915 - 27/06/1915;;;A. Peter;;;11567;;A. Peter, Reisen in Afrika;;G. M. Schulze;;;;D-Ost Afrika, Nord-Para: Bergheide Kilomeni → Kissangara. c. 1550 m ü. M.;;False;-3.751977198523685 , 37.635469436645515;;;;
B;Herbarium Berolinense;B 10 1176776;7;7895457;Balsaminaceae;Impatiens;sp.;;Tansania;;;;False;Kilimanjaro;;;False;;;;;11/07/1915 - 11/07/1915;;;A. Peter;;;12003;;A. Peter, Reisen in Afrika;;G. M. Schulze;;;;D-Ost Afrika, Süd-Pare: bei Tona am Rande des Moores, c. 1750 m ü. M.;;False;-4.175490092417325 , 37.90878653526307;;;;
B;Herbarium Berolinense;B 10 1176777;7;7895457;Balsaminaceae;Impatiens;sp.;;Tansania;False;;;;Kilimanjaro;;;;;;;;11/07/1915 - 11/07/1915;False;False;A. Peter;;False;12003;False;A. Peter, Reisen in Afrika 1913-1915;False;G. M. Schulze;;False;;D Ost Afrika, Süd Paregebirge: bei Tona am  Rande des Moores, c. 1750 m ü. M.  V.1  Z.3;False;;-4.2 , 37.884;;;;False
B;Herbarium Berolinense;B 10 1176773;7;7895457;Balsaminaceae;Impatiens;sp.;;Tansania;False;;;;Kilimanjaro;;;;;;;;16/02/1915 - 16/02/1915;False;False;A. Peter;;False;9022;False;A. Peter, Reisen in Afrika 1913-1915;False;G. M. Schulze;;False;;D Ost Afrika, Süd Pare: Höhlen des Schengena, c. 2220 m ü. M.  Z.4;False;;-4.259196325666641 , 37.93171405792237;;;;False
B;Herbarium Berolinense;B 10 1176775;7;7895457;Balsaminaceae;Impatiens;sp.;;Tansania;False;;;;Kilimanjaro;;;;;;;;16/02/1915 - 16/02/1915;False;False;A. Peter;;False;9022;False;A. Peter, Reisen in Afrika;False;G. M. Schulze;;False;;D-Ost Afrika, Süd-Pare: Höhlen des Schengena, c. 2220 m ü. M.;False;;-4.2678178 , 37.9315143;;;;False
B;Herbarium Berolinense;B 10 1176774;7;7895457;Balsaminaceae;Impatiens;sp.;;Tansania;;;;False;Kilimanjaro;;;False;;;;;16/02/1915 - 16/02/1915;;;A. Peter;;;9022;;A. Peter, Reisen in Afrika 1913-15;;;;True;;D-Ost Afrika, Süd-Pare: Höhlen des Schengena, c. 2220 m ü. M.  Z. 4;;False;-4.2678178 , 37.9315143;;;;False
B;Herbarium Berolinense;B 10 1176772;7;7895457;Balsaminaceae;Impatiens;sp.;;Tansania;;;;False;Kilimanjaro;;;False;;;;;12/02/1915 - 12/02/1915;;;A. Peter;;;8840a;;A. Peter, Reisen in Afrika;False;G. M. Schulze;;;;D Ost Afrika, Süd Pare: unter dem Dorf  Tona im Gebüsch, c. 1800 m ü. M.;;False;-4.17908304907673 , 37.919139862060554;;;;
B;Herbarium Berolinense;B 10 1176771;7;7895457;Balsaminaceae;Impatiens;sp.;;Tansania;False;;;;Arusha;;;;;;;;25/02/1914 - 25/02/1914;False;False;A. Peter;;False;1860;False;A. Peter, Reisen in Afrika;False;G. M. Schulze;;False;;D-Ost Afrika, Meru: Aruscha – Forsthaus;False;;-3.310319 , 36.842995;;;;
B;Herbarium Berolinense;B 10 1176770;7;7895457;Balsaminaceae;Impatiens;sp.;;Tansania;False;;;;Arusha;;;;;;;;25/02/1914 - 25/02/1914;False;False;A. Peter;;False;1860;False;A. Peter, Reisen in Afrika;False;G. M. Schulze;;False;;D-Ost Afrika, Meru: Aruscha - Forsthaus.;False;;-3.316703833770337 , 36.748580932617195;;;;False
B;Herbarium Berolinense;B 10 1176769;7;7895457;Balsaminaceae;Impatiens;sp.;;Tansania;False;;;;Arusha;;;False;;;;;25/02/1914 - 25/02/1914;False;False;A. Peter;;False;1860;False;A. Peter, Reisen in Afrika 1913-1919;False;G. M. Schulze;;False;;D Ost Afrika, Meru: Arusha → Forsthaus;False;;-3.316704 , 36.74858;;;;
B;Herbarium Berolinense;B 10 1176768;7;7895457;Balsaminaceae;Impatiens;sp.;;Pakistan;False;;;;Khyber Pakhtunkhwa;;;;;;;;01/01/1962 - 31/12/1962;False;False;K. H. Rechinger;;False;19600;False;;True;C. Grey-Wilson;;False;;NW-Pakistan, Swat: Himalaya bor.-occid. Utror, substr. granit., ca. 2500 m;False;;35.583333333333336 , 72.41666666666667;;;;False
B;Herbarium Berolinense;B 10 1176762;7;7895457;Balsaminaceae;Impatiens;sp.;;Indien;;;;False;Meghalaya;;;False;;;;;22/09/1886 - 22/09/1886;;;C. B. Clarke;;;45580;;;True;J. D. Hooker;;;;Surareen 5000 Khasia;;False;;;;;True
B;Herbarium Berolinense;B 10 1176763;7;7895457;Balsaminaceae;Impatiens;sp.;;Indien;False;;;;Meghalaya;;;;;;;;10/09/1885 - 10/09/1885;False;False;C. B. Clarke;;False;40342;False;;True;J. D. Hooker;;False;;Suvareen 5000 [ft.] Khasia;False;;;;;;True
B;Herbarium Berolinense;B 10 1176761;7;7895457;Balsaminaceae;Impatiens;sp.;;Indien;False;;;;Meghalaya;;;;;;;;21/09/1886 - 21/09/1886;False;False;C. B. Clarke;;False;45229;False;;True;J. D. Hooker;;False;;Vale of Rock, 5000[ft.] Khasia;False;;25.5 , 91.5;;;;False
B;Herbarium Berolinense;B 10 1176766;7;7895457;Balsaminaceae;Impatiens;sp.;;Indien;False;;;;Meghalaya;;;;;;;;;;True;Griffith;;False;;True;;True;;;True;;Khasya Hills;False;;;;;;True
B;Herbarium Berolinense;B 10 1176760;7;7895457;Balsaminaceae;Impatiens;sp.;"""Kein Belege""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B;Herbarium Berolinense;B 10 1176759;7;7895457;Balsaminaceae;Impatiens;sp.;;China;False;;;;Sichuan(四川);;;;;;;;;;True;A. E. Pratt;;False;466;False;;True;J. D. Hooker;;;;West Szechuen and Tibetan Frontier: chiefly near Tachienlu, at 9,000 - 13,500 feet.;;False;29.99537840819535 , 101.96754455566408;;;;
B;Herbarium Berolinense;B 10 1176758;7;7895457;Balsaminaceae;Impatiens;sp.;;China;False;;;;Sichuan(四川);;;;;;;;;;True;Pratt;;False;466;False;;True;J. D. Hooker;;False;;West Szechuen;False;;;;;;True
B;Herbarium Berolinense;B 10 1176757;7;7895457;Balsaminaceae;Impatiens;sp.;"""Kein Belege""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B;Herbarium Berolinense;B 10 1176840;7;7895457;Balsaminaceae;Impatiens;sp.;;Malawi;False;;;;Mulanje;;;;;;;;06/04/1970 - 06/04/1970;False;False;R. K. Brummitt;;False;9638;False;;True;;;True;;"Southern Region, Mlanje District. Mlanje Mountain, path from Tuchila Hut to head of Ruo Basin; shrubby hillside (Helichrysum, Vellozia, Kotschya, etc.); alt. 1980-2130 m; U.T.M. grid ref. 780:8241.";False;;-15.895465086316703 , 35.60960769653321;;;;False
B;Herbarium Berolinense;B 10 1176839;7;7895457;Balsaminaceae;Impatiens;sp.;;Malawi;False;;;;Mulanje;;;;;;;;06/04/1970 - 06/04/1970;False;False;R. K. Brummitt;;False;9638;False;;True;C. Grey-Wilson;;False;;"Mlanje Mountain, path from Tuchila Hut to head of Ruo Basin; shrubby hillside (Helichrysum, Vellozia, Kotschya etc.); alt. 1980-2130 m: U.T.M. grid ref. 780:8241";False;;-15.899452390362173 , 35.60767650604249;;;;False
B;Herbarium Berolinense;B 10 1176841;7;7895457;Balsaminaceae;Impatiens;sp.;;Malawi;False;;;;Mulanje;;;;;;;;05/06/1970 - 05/06/1970;False;False;R. K. Brummitt;;False;11271;False;;True;C. Grey-Wilson;;False;;"Southern Region, Mlanje Mountain, Sombani Basin, 2 km above hut; small evergreen (not Widdringtonia) forest patch; alt. 2070 m; U.T.M. grid ref. 787:8240.";False;;-15.88498455259114 , 35.69779872894288;;;;False
B;Herbarium Berolinense;B 10 1176837;7;7895457;Balsaminaceae;Impatiens;sp.;"""Kein Belege""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B;Herbarium Berolinense;B 10 1176823;7;7895457;Balsaminaceae;Impatiens;sp.;;Ruanda;False;;;;Ouest;;;;;;;;24/08/1974 - 24/08/1974;False;False;P. Van der Veken;;False;10967;False;;True;;;True;;2 km avant Gisakura (venant de la route Butare-Cyangugu), Altitude: 1900 m, Préfecture: Cyangugu, bord de la route qui traverse la forêt de montagne à Syzygium;False;;-2.429379206758523 , 29.08561706542969;;;;False
B;Herbarium Berolinense;B 10 1176831;7;7895457;Balsaminaceae;Impatiens;sp.;;Demokratische Republik Kongo;;;;False;Nord-Kivu;;;False;;;;;01/03/1932 - 31/03/1932;;;Lebrun;;False;5301;False;;True;;;True;;"Entre Walikale et Kalehe; Forêt, ruisseau";;False;-1.866667 , 28.416668;;;;
B;Herbarium Berolinense;B 10 1176832;7;7895457;Balsaminaceae;Impatiens;sp.;;Demokratische Republik Kongo;False;;;;;;;True;;;;;01/03/1932 - 31/03/1932;;False;Lebrun;;False;5301;False;;True;;;True;;Entre Walikale et Kalehe, Forêt, ruisseau;;False;;;;;True
B;Herbarium Berolinense;B 10 1176833;7;7895457;Balsaminaceae;Impatiens;sp.;;;False;;;True;;;;True;;;;;;;True;Lebrun;;False;5301;False;;True;;;True;;;;True;;;;;True
B;Herbarium Berolinense;B 10 1176829;7;7895457;Balsaminaceae;Impatiens;sp.;;Demokratische Republik Kongo;False;;;;;;;True;;;;;01/03/1932 - 31/03/1932;False;False;Jean Lebrun;;False;5301;False;;True;;;True;;"Entre Walikale et Kalehe (Kivu); Altitude 1220 m; Formation Forêt; ruisseau";False;;;;;;True
B;Herbarium Berolinense;B 10 1176830;7;7895457;Balsaminaceae;Impatiens;sp.;;Demokratische Republik Kongo;;;;False;;;;True;;;;;01/03/1932 - 31/03/1932;;;Lebrun;;;5301;;;True;;;True;;;;True;;;;;True
B;Herbarium Berolinense;B 10 1176834;7;7895457;Balsaminaceae;Impatiens;sp.;;Demokratische Republik Kongo;False;;;False;;;;True;;;;;;;True;Lebrun;;False;5301;False;;True;;;True;;;;True;;;;;True
B;Herbarium Berolinense;B 10 1176835;7;7895457;Balsaminaceae;Impatiens;sp.;;Demokratische Republik Kongo;;;;False;Nord-Kivu;;;False;;;;;01/03/1932 - 31/03/1932;;False;Lebrun;;;5301;;;True;Fischer & Holstein;;False;;Entre Walikale et Kalehe. Forêt, ruisseau;;False;-1.866667 , 28.4166668;;;;False
B;Herbarium Berolinense;B 10 1176836;7;7895457;Balsaminaceae;Impatiens;sp.;;Demokratische Republik Kongo;False;;;;;;;True;;;;;01/03/1932 - 31/03/1932;False;False;Jean Lebrun;;False;5301;False;;True;;;True;;"Entre Walikale et Kalehe (Kivu) Altitude 1220 m. Forêt; ruisseau";False;;;;;;True
B;Herbarium Berolinense;B 10 1176825;7;7895457;Balsaminaceae;Impatiens;sp.;;Demokratische Republik Kongo;;;;False;Sud-Kivu;;;False;;;;;01/02/1929 - 31/03/1929;;;H. Humbert;;;7755;;;True;;;True;;Montagnes a l'ouest du Lac Kivu (Congo Belge) forèt. Altitude: 2000 - 2400 m.;;False;;;;;True
B;Herbarium Berolinense;B 10 1176826;7;7895457;Balsaminaceae;Impatiens;sp.;;Demokratische Republik Kongo;False;;;;Sud-Kivu;;;;;;;;01/02/1929 - 31/03/1929;False;False;H. Humbert;;False;7755;False;;True;;;True;;Montagnes a l'Ouest du Lac Kivu (Congo belge) Forêt, Altitude: 2000-2400m;False;;;;;;True
B;Herbarium Berolinense;B 10 1176828;7;7895457;Balsaminaceae;Impatiens;sp.;;Demokratische Republik Kongo;False;;;;Sud-Kivu;;;;;;;;01/02/1929 - 31/03/1929;False;False;H. Humbert;;False;7755;False;;True;;;True;;Montagnes à l'ouest du Lac Kivu (Congo Belge), Forêt, Altitude: 2000-2400 m.;False;;;;;;True
